ndc	atc	description
11822-8802-30	S01XA	Other ophthalmologicals
11822-8802-40	A11GA	Ascorbic acid (vitamin C), plain
11822-8802-40	G01AD	Organic acids
11822-8802-40	S01XA	Other ophthalmologicals
11822-8802-50	A11GA	Ascorbic acid (vitamin C), plain
11822-8802-50	G01AD	Organic acids
11822-8802-50	S01XA	Other ophthalmologicals
11822-8802-60	A11GA	Ascorbic acid (vitamin C), plain
11822-8802-60	G01AD	Organic acids
11822-8802-60	S01XA	Other ophthalmologicals
11822-8802-70	A11GA	Ascorbic acid (vitamin C), plain
11822-8802-70	G01AD	Organic acids
11822-8802-70	S01XA	Other ophthalmologicals
11822-8802-80	A11GA	Ascorbic acid (vitamin C), plain
11822-8802-80	G01AD	Organic acids
11822-8802-80	S01XA	Other ophthalmologicals
11822-8803-00	A11GA	Ascorbic acid (vitamin C), plain
11822-8803-00	G01AD	Organic acids
11822-8803-00	S01XA	Other ophthalmologicals
11822-8803-10	A11GA	Ascorbic acid (vitamin C), plain
11822-8803-10	G01AD	Organic acids
11822-8803-10	S01XA	Other ophthalmologicals
11822-8803-20	A11GA	Ascorbic acid (vitamin C), plain
11822-8803-20	G01AD	Organic acids
11822-8803-20	S01XA	Other ophthalmologicals
11822-8803-30	A11GA	Ascorbic acid (vitamin C), plain
11822-8803-30	G01AD	Organic acids
11822-8803-30	S01XA	Other ophthalmologicals
11822-8803-40	A11GA	Ascorbic acid (vitamin C), plain
11822-8803-40	G01AD	Organic acids
11822-8803-40	S01XA	Other ophthalmologicals
11822-8804-00	A02AC	Calcium compounds
11822-8804-00	A12AA	Calcium
11822-8805-90	A11HA	Other plain vitamin preparations
11822-8806-00	A11HA	Other plain vitamin preparations
11822-8806-10	A11HA	Other plain vitamin preparations
11822-8806-40	A11HA	Other plain vitamin preparations
11822-8807-80	B03BB	Folic acid and derivatives
11822-8807-80	V04CX	Other diagnostic agents
11822-8809-00	M01AX	Other antiinflammatory and antirheumatic agents, non-steroids
11822-8809-40	B05XB	Amino acids
11822-8809-50	B05XB	Amino acids
11822-8809-80	N05CH	Melatonin receptor agonists
11822-8810-60	C04AC	Nicotinic acid and derivatives
11822-8810-60	C10AD	Nicotinic acid and derivatives
11822-8810-70	A12BA	Potassium
11822-8810-80	A12BA	Potassium
11822-8812-30	A12CB	Zinc
11822-8812-50	M01AX	Other antiinflammatory and antirheumatic agents, non-steroids
11822-8891-70	A02AC	Calcium compounds
11822-8891-70	A12AA	Calcium
11822-8947-40	R01AA	Sympathomimetics, plain
11822-8947-40	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-8947-40	S01GA	Sympathomimetics used as decongestants
11822-8977-30	A02BA	H2-receptor antagonists
11822-9143-70	C01BB	Antiarrhythmics, class Ib
11822-9143-70	C05AD	Local anesthetics
11822-9143-70	D04AB	Anesthetics for topical use
11822-9143-70	N01BB	Amides
11822-9143-70	R02AD	Anesthetics, local
11822-9143-70	S01HA	Local anesthetics
11822-9143-70	S02DA	Analgesics and anesthetics
11822-9443-90	R05CA	Expectorants
11822-9673-10	A11CC	Vitamin D and analogues
11822-9674-10	A11HA	Other plain vitamin preparations
11822-9852-10	G02CC	Antiinflammatory products for vaginal administration
11822-9852-10	M01AE	Propionic acid derivatives
11822-9852-10	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-9852-20	G02CC	Antiinflammatory products for vaginal administration
11822-9852-20	M01AE	Propionic acid derivatives
11822-9852-20	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-9889-90	C05AD	Local anesthetics
11822-9889-90	D04AB	Anesthetics for topical use
11822-9889-90	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-9889-90	A07AA	Antibiotics
11822-9889-90	B05CA	Antiinfectives
11822-9889-90	D06AX	Other antibiotics for topical use
11822-9889-90	J01GB	Other aminoglycosides
11822-9889-90	R02AB	Antibiotics
11822-9889-90	S01AA	Antibiotics
11822-9889-90	S02AA	Antiinfectives
11822-9889-90	S03AA	Antiinfectives
11822-9889-90	J01XB	Polymyxins
11822-9894-20	B05CX	Other irrigating solutions
11822-9894-20	V04CA	Tests for diabetes
11822-9894-20	V06DC	Carbohydrates
11822-9894-40	B05CX	Other irrigating solutions
11822-9894-40	V04CA	Tests for diabetes
11822-9894-40	V06DC	Carbohydrates
11822-9894-50	B05CX	Other irrigating solutions
11822-9894-50	V04CA	Tests for diabetes
11822-9894-50	V06DC	Carbohydrates
11822-9894-70	A01AD	Other agents for local oral treatment
11822-9894-70	B01AC	Platelet aggregation inhibitors excl. heparin
11822-9894-70	N02BA	Salicylic acid and derivatives
11822-9895-40	N02BE	Anilides
11822-9899-50	A11GA	Ascorbic acid (vitamin C), plain
11822-9899-50	G01AD	Organic acids
11822-9899-50	S01XA	Other ophthalmologicals
11822-9902-60	A02AC	Calcium compounds
11822-9902-60	A12AA	Calcium
11822-9902-60	A12CB	Zinc
11822-9902-60	A02AA	Magnesium compounds
11822-9902-60	A06AD	Osmotically acting laxatives
11822-9902-60	A12CC	Magnesium
11822-9902-70	A02AC	Calcium compounds
11822-9902-70	A12AA	Calcium
11822-9902-70	A12CB	Zinc
11822-9902-70	A02AA	Magnesium compounds
11822-9902-70	A06AD	Osmotically acting laxatives
11822-9902-70	A12CC	Magnesium
11822-9932-30	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-9932-40	C01EB	Other cardiac preparations
11822-9932-50	B03AA	Iron bivalent, oral preparations
11822-9932-50	B03AD	Iron in combination with folic acid
17856-3117-30	A02AC	Calcium compounds
17856-3117-30	A12AA	Calcium
50428-0026-62	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0026-62	A07AC	Imidazole derivatives
50428-0026-62	D01AC	Imidazole and triazole derivatives
50428-0026-62	G01AF	Imidazole derivatives
50428-0026-62	J02AB	Imidazole derivatives
50428-0026-62	S02AA	Antiinfectives
50428-0028-24	C01EB	Other cardiac preparations
50428-0028-24	G02CC	Antiinflammatory products for vaginal administration
50428-0028-24	M01AE	Propionic acid derivatives
50428-0028-24	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0028-24	R02AX	Other throat preparations
50428-0042-12	C01EB	Other cardiac preparations
50428-0042-12	G02CC	Antiinflammatory products for vaginal administration
50428-0042-12	M01AE	Propionic acid derivatives
50428-0042-12	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0042-12	R02AX	Other throat preparations
50428-0049-62	C02DC	Pyrimidine derivatives
50428-0049-62	D11AX	Other dermatologicals
50428-0053-45	B03BA	Vitamin B12 (cyanocobalamin and analogues)
50428-0061-66	C01EB	Other cardiac preparations
50428-0061-66	G02CC	Antiinflammatory products for vaginal administration
50428-0061-66	M01AE	Propionic acid derivatives
50428-0061-66	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0061-66	R02AX	Other throat preparations
50428-0062-05	A12CA	Sodium
50428-0062-05	B05CB	Salt solutions
50428-0062-05	B05XA	Electrolyte solutions
50428-0065-20	A11CC	Vitamin D and analogues
50428-0085-17	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0085-17	D01AC	Imidazole and triazole derivatives
50428-0085-17	G01AF	Imidazole derivatives
50428-0090-61	C01EB	Other cardiac preparations
50428-0090-61	G02CC	Antiinflammatory products for vaginal administration
50428-0090-61	M01AE	Propionic acid derivatives
50428-0090-61	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0090-61	R02AX	Other throat preparations
50428-0092-56	A06AB	Contact laxatives
50428-0092-56	A06AG	Enemas
50428-0096-91	C01EB	Other cardiac preparations
50428-0096-91	G02CC	Antiinflammatory products for vaginal administration
50428-0096-91	M01AE	Propionic acid derivatives
50428-0096-91	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0096-91	R02AX	Other throat preparations
50428-0114-34	A02BA	H2-receptor antagonists
50428-0128-88	A11HA	Other plain vitamin preparations
50428-0138-31	R05DA	Opium alkaloids and derivatives
50428-0138-31	R05CA	Expectorants
50428-0138-47	D04AA	Antihistamines for topical use
50428-0138-47	R06AA	Aminoalkyl ethers
50428-0146-77	A11CC	Vitamin D and analogues
50428-0151-44	A11CC	Vitamin D and analogues
50428-0151-68	A06AA	Softeners, emollients
50428-0151-69	A06AA	Softeners, emollients
50428-0161-83	A11CC	Vitamin D and analogues
50428-0165-16	A11CC	Vitamin D and analogues
50428-0165-28	N07BA	Drugs used in nicotine dependence
50428-0166-38	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0166-38	A07AC	Imidazole derivatives
50428-0166-38	D01AC	Imidazole and triazole derivatives
50428-0166-38	G01AF	Imidazole derivatives
50428-0166-38	J02AB	Imidazole derivatives
50428-0166-38	S02AA	Antiinfectives
50428-0172-36	A06AA	Softeners, emollients
50428-0219-63	D06AX	Other antibiotics for topical use
50428-0219-63	J01XX	Other antibacterials
50428-0219-63	R02AB	Antibiotics
50428-0250-36	B03BB	Folic acid and derivatives
50428-0250-36	V04CX	Other diagnostic agents
50428-0252-04	A01AD	Other agents for local oral treatment
50428-0252-04	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0252-04	N02BA	Salicylic acid and derivatives
50428-0252-04	N02BE	Anilides
50428-0252-04	N06BC	Xanthine derivatives
50428-0264-96	A06AB	Contact laxatives
50428-0268-53	A02AB	Aluminium compounds
50428-0268-53	A02AA	Magnesium compounds
50428-0268-53	G04BX	Other urologicals
50428-0268-73	C01CA	Adrenergic and dopaminergic agents
50428-0268-73	R01AA	Sympathomimetics, plain
50428-0268-73	R01AB	Sympathomimetics, combinations excl. corticosteroids
50428-0268-73	R01BA	Sympathomimetics
50428-0268-73	S01FB	Sympathomimetics excl. antiglaucoma preparations
50428-0268-73	S01GA	Sympathomimetics used as decongestants
50428-0269-27	N05CH	Melatonin receptor agonists
50428-0269-54	A02BC	Proton pump inhibitors
50428-0271-19	A01AD	Other agents for local oral treatment
50428-0271-19	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0271-19	N02BA	Salicylic acid and derivatives
50428-0272-21	A11GA	Ascorbic acid (vitamin C), plain
50428-0272-21	G01AD	Organic acids
50428-0272-21	S01XA	Other ophthalmologicals
50428-0273-15	N02BE	Anilides
50428-0276-46	B03BA	Vitamin B12 (cyanocobalamin and analogues)
50428-0276-84	N05CH	Melatonin receptor agonists
50428-0278-40	C05AD	Local anesthetics
50428-0278-40	D04AB	Anesthetics for topical use
50428-0279-15	A06AB	Contact laxatives
50428-0279-41	R05CA	Expectorants
50428-0280-15	A02BA	H2-receptor antagonists
50428-0280-46	A11CC	Vitamin D and analogues
50428-0280-46	A12AA	Calcium
50428-0280-92	A01AD	Other agents for local oral treatment
50428-0280-92	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0280-92	N02BA	Salicylic acid and derivatives
50428-0281-10	A11CC	Vitamin D and analogues
50428-0281-97	R06AX	Other antihistamines for systemic use
50428-0283-60	A01AD	Other agents for local oral treatment
50428-0283-60	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0283-60	N02BA	Salicylic acid and derivatives
50428-0285-52	N02BE	Anilides
50428-0286-93	A11GA	Ascorbic acid (vitamin C), plain
50428-0286-93	G01AD	Organic acids
50428-0286-93	S01XA	Other ophthalmologicals
50428-0288-42	A11GA	Ascorbic acid (vitamin C), plain
50428-0288-42	G01AD	Organic acids
50428-0288-42	S01XA	Other ophthalmologicals
50428-0290-18	D04AA	Antihistamines for topical use
50428-0290-18	R06AA	Aminoalkyl ethers
50428-0290-88	C05AD	Local anesthetics
50428-0290-88	D04AB	Anesthetics for topical use
50428-0290-88	A16AX	Various alimentary tract and metabolism products
50428-0291-31	R06AX	Other antihistamines for systemic use
50428-0291-31	R01BA	Sympathomimetics
50428-0292-14	A11DA	Vitamin B1, plain
50428-0293-91	A11GA	Ascorbic acid (vitamin C), plain
50428-0293-91	G01AD	Organic acids
50428-0293-91	S01XA	Other ophthalmologicals
50428-0294-49	B03AA	Iron bivalent, oral preparations
50428-0294-49	B03AD	Iron in combination with folic acid
50428-0294-52	B05CX	Other irrigating solutions
50428-0294-52	V04CA	Tests for diabetes
50428-0294-52	V06DC	Carbohydrates
50428-0294-64	A06AB	Contact laxatives
50428-0294-64	A06AA	Softeners, emollients
50428-0295-27	A09AA	Enzyme preparations
50428-0296-73	A02AB	Aluminium compounds
50428-0296-73	A02AA	Magnesium compounds
50428-0296-73	G04BX	Other urologicals
50428-0297-30	D04AA	Antihistamines for topical use
50428-0297-30	R06AA	Aminoalkyl ethers
50428-0297-79	A01AD	Other agents for local oral treatment
50428-0297-79	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0297-79	N02BA	Salicylic acid and derivatives
50428-0297-79	N02BE	Anilides
50428-0297-79	N06BC	Xanthine derivatives
50428-0298-21	R05CA	Expectorants
50428-0298-28	B03AA	Iron bivalent, oral preparations
50428-0299-36	B03BA	Vitamin B12 (cyanocobalamin and analogues)
50428-0300-81	R05DA	Opium alkaloids and derivatives
50428-0300-81	R05CA	Expectorants
50428-0301-29	N05CH	Melatonin receptor agonists
50428-0302-08	A01AC	Corticosteroids for local oral treatment
50428-0302-08	A07EA	Corticosteroids acting locally
50428-0302-08	C05AA	Corticosteroids
50428-0302-08	D07AA	Corticosteroids, weak (group I)
50428-0302-08	D07XA	Corticosteroids, weak, other combinations
50428-0302-08	H02AB	Glucocorticoids
50428-0302-08	S01BA	Corticosteroids, plain
50428-0302-08	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
50428-0302-08	S02BA	Corticosteroids
50428-0302-75	A01AD	Other agents for local oral treatment
50428-0302-75	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0302-75	N02BA	Salicylic acid and derivatives
50428-0302-78	N05CH	Melatonin receptor agonists
50428-0304-12	N05CH	Melatonin receptor agonists
50428-0307-16	A01AD	Other agents for local oral treatment
50428-0307-16	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0307-16	N02BA	Salicylic acid and derivatives
50428-0307-74	C01EB	Other cardiac preparations
50428-0307-74	G02CC	Antiinflammatory products for vaginal administration
50428-0307-74	M01AE	Propionic acid derivatives
50428-0307-74	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0307-74	R02AX	Other throat preparations
50428-0310-46	C01EB	Other cardiac preparations
50428-0310-75	D04AA	Antihistamines for topical use
50428-0310-75	R06AA	Aminoalkyl ethers
50428-0312-51	A11HA	Other plain vitamin preparations
50428-0313-42	A11CC	Vitamin D and analogues
50428-0315-75	D04AA	Antihistamines for topical use
50428-0315-75	R06AA	Aminoalkyl ethers
50428-0318-18	N05CH	Melatonin receptor agonists
50428-0320-67	D04AA	Antihistamines for topical use
50428-0320-67	R06AA	Aminoalkyl ethers
50428-0323-92	A01AD	Other agents for local oral treatment
50428-0323-92	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0323-92	N02BA	Salicylic acid and derivatives
50428-0324-17	R06AA	Aminoalkyl ethers
50428-0326-17	R06AA	Aminoalkyl ethers
50428-0332-22	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0332-22	D08AX	Other antiseptics and disinfectants
50428-0332-22	D11AX	Other dermatologicals
50428-0332-22	S02AA	Antiinfectives
50428-0337-46	A12CB	Zinc
50428-0337-53	B05CX	Other irrigating solutions
50428-0337-53	V04CA	Tests for diabetes
50428-0337-53	V06DC	Carbohydrates
50428-0337-99	C01CA	Adrenergic and dopaminergic agents
50428-0337-99	R01AA	Sympathomimetics, plain
50428-0337-99	R01AB	Sympathomimetics, combinations excl. corticosteroids
50428-0337-99	R01BA	Sympathomimetics
50428-0337-99	S01FB	Sympathomimetics excl. antiglaucoma preparations
50428-0337-99	S01GA	Sympathomimetics used as decongestants
50428-0338-41	D10AE	Peroxides
50428-0338-47	D04AA	Antihistamines for topical use
50428-0338-47	R06AA	Aminoalkyl ethers
50428-0338-47	A16AX	Various alimentary tract and metabolism products
50428-0338-92	D04AA	Antihistamines for topical use
50428-0338-92	R06AA	Aminoalkyl ethers
50428-0340-17	A09AA	Enzyme preparations
50428-0341-38	N05CH	Melatonin receptor agonists
50428-0341-74	D04AA	Antihistamines for topical use
50428-0341-74	R06AA	Aminoalkyl ethers
50428-0344-00	N05CH	Melatonin receptor agonists
50428-0345-03	C01EB	Other cardiac preparations
50428-0345-03	G02CC	Antiinflammatory products for vaginal administration
50428-0345-03	M01AE	Propionic acid derivatives
50428-0345-03	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0345-03	R02AX	Other throat preparations
50428-0345-41	A02AB	Aluminium compounds
50428-0345-41	A02AA	Magnesium compounds
50428-0345-41	G04BX	Other urologicals
50428-0346-18	D08AX	Other antiseptics and disinfectants
50428-0347-61	P03AX	Other ectoparasiticides, incl. scabicides
50428-0348-19	M02AB	Capsaicin and similar agents
50428-0348-19	N01BX	Other local anesthetics
50428-0349-18	A01AD	Other agents for local oral treatment
50428-0349-18	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0349-18	N02BA	Salicylic acid and derivatives
50428-0350-25	N05CH	Melatonin receptor agonists
50428-0352-63	S01KA	Viscoelastic substances
50428-0353-77	A11GA	Ascorbic acid (vitamin C), plain
50428-0353-77	G01AD	Organic acids
50428-0353-77	S01XA	Other ophthalmologicals
50428-0355-54	A11CC	Vitamin D and analogues
50428-0355-72	C01EB	Other cardiac preparations
50428-0356-05	R06AX	Other antihistamines for systemic use
50428-0358-13	C01EB	Other cardiac preparations
50428-0358-13	G02CC	Antiinflammatory products for vaginal administration
50428-0358-13	M01AE	Propionic acid derivatives
50428-0358-13	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0358-13	R02AX	Other throat preparations
50428-0358-66	A02AC	Calcium compounds
50428-0358-66	A12AA	Calcium
50428-0359-80	B03AA	Iron bivalent, oral preparations
50428-0359-80	B03AD	Iron in combination with folic acid
50428-0361-31	R01AA	Sympathomimetics, plain
50428-0361-31	R01AB	Sympathomimetics, combinations excl. corticosteroids
50428-0361-31	S01GA	Sympathomimetics used as decongestants
50428-0364-35	D06AX	Other antibiotics for topical use
50428-0364-35	J01XX	Other antibacterials
50428-0364-35	R02AB	Antibiotics
50428-0370-10	A11HA	Other plain vitamin preparations
50428-0371-94	C01EB	Other cardiac preparations
50428-0371-94	G02CC	Antiinflammatory products for vaginal administration
50428-0371-94	M01AE	Propionic acid derivatives
50428-0371-94	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0371-94	R02AX	Other throat preparations
50428-0374-38	N05CH	Melatonin receptor agonists
50428-0374-39	A02AB	Aluminium compounds
50428-0374-39	A02AA	Magnesium compounds
50428-0374-39	G04BX	Other urologicals
50428-0376-24	B03BA	Vitamin B12 (cyanocobalamin and analogues)
50428-0376-83	R05DA	Opium alkaloids and derivatives
50428-0376-83	R05CA	Expectorants
50428-0378-37	A06AB	Contact laxatives
50428-0378-37	A06AA	Softeners, emollients
50428-0381-32	C01EB	Other cardiac preparations
50428-0381-58	A11GA	Ascorbic acid (vitamin C), plain
50428-0381-58	G01AD	Organic acids
50428-0381-58	S01XA	Other ophthalmologicals
50428-0383-00	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0383-00	A07AC	Imidazole derivatives
50428-0383-00	D01AC	Imidazole and triazole derivatives
50428-0383-00	G01AF	Imidazole derivatives
50428-0383-00	J02AB	Imidazole derivatives
50428-0383-00	S02AA	Antiinfectives
50428-0385-55	A11HA	Other plain vitamin preparations
50428-0387-06	N02BE	Anilides
50428-0387-30	N02BE	Anilides
50428-0387-71	N05CH	Melatonin receptor agonists
50428-0391-31	R06AX	Other antihistamines for systemic use
50428-0391-31	R01BA	Sympathomimetics
50428-0394-70	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0394-70	A07AC	Imidazole derivatives
50428-0394-70	D01AC	Imidazole and triazole derivatives
50428-0394-70	G01AF	Imidazole derivatives
50428-0394-70	J02AB	Imidazole derivatives
50428-0394-70	S02AA	Antiinfectives
50428-0395-71	A06AG	Enemas
50428-0395-71	A06AX	Other drugs for constipation
50428-0395-86	A11CC	Vitamin D and analogues
50428-0396-91	N02BE	Anilides
50428-0405-25	R06AE	Piperazine derivatives
50428-0406-18	R06AX	Other antihistamines for systemic use
50428-0406-47	N07BA	Drugs used in nicotine dependence
50428-0407-92	R06AX	Other antihistamines for systemic use
50428-0410-18	D08AG	Iodine products
50428-0410-18	D09AA	Medicated dressings with antiinfectives
50428-0410-18	D11AC	Medicated shampoos
50428-0410-18	G01AX	Other antiinfectives and antiseptics
50428-0410-18	R02AA	Antiseptics
50428-0410-18	S01AX	Other antiinfectives
50428-0411-28	D04AA	Antihistamines for topical use
50428-0411-28	R06AA	Aminoalkyl ethers
50428-0411-81	A11GA	Ascorbic acid (vitamin C), plain
50428-0411-81	G01AD	Organic acids
50428-0411-81	S01XA	Other ophthalmologicals
50428-0413-12	A01AD	Other agents for local oral treatment
50428-0413-12	B01AC	Platelet aggregation inhibitors excl. heparin
50428-0413-12	N02BA	Salicylic acid and derivatives
50428-0416-70	R06AX	Other antihistamines for systemic use
50428-0416-70	R01BA	Sympathomimetics
50428-0419-24	N02BE	Anilides
50428-0420-15	A01AC	Corticosteroids for local oral treatment
50428-0420-15	A07EA	Corticosteroids acting locally
50428-0420-15	C05AA	Corticosteroids
50428-0420-15	D07AA	Corticosteroids, weak (group I)
50428-0420-15	D07XA	Corticosteroids, weak, other combinations
50428-0420-15	H02AB	Glucocorticoids
50428-0420-15	S01BA	Corticosteroids, plain
50428-0420-15	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
50428-0420-15	S02BA	Corticosteroids
50428-0420-91	A06AD	Osmotically acting laxatives
50428-0420-91	A12CC	Magnesium
50428-0420-91	B05XA	Electrolyte solutions
50428-0420-91	D11AX	Other dermatologicals
50428-0420-91	V04CC	Tests for bile duct patency
50428-0421-36	C05AD	Local anesthetics
50428-0421-36	D04AB	Anesthetics for topical use
50428-0421-36	N01BB	Amides
50428-0421-36	S01HA	Local anesthetics
50428-0421-36	S02DA	Analgesics and anesthetics
50428-0423-88	N05CH	Melatonin receptor agonists
50428-0427-52	N02BE	Anilides
50428-0427-99	R06AX	Other antihistamines for systemic use
50428-0427-99	R01BA	Sympathomimetics
50428-0430-04	A11GA	Ascorbic acid (vitamin C), plain
50428-0430-04	G01AD	Organic acids
50428-0430-04	S01XA	Other ophthalmologicals
50428-0430-35	C01EB	Other cardiac preparations
50428-0430-35	G02CC	Antiinflammatory products for vaginal administration
50428-0430-35	M01AE	Propionic acid derivatives
50428-0430-35	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0430-35	R02AX	Other throat preparations
50428-0431-61	N02BE	Anilides
50428-0434-05	A02AC	Calcium compounds
50428-0434-05	A12AA	Calcium
50428-0436-41	R01BA	Sympathomimetics
50428-0438-90	A11HA	Other plain vitamin preparations
50428-0440-29	R06AX	Other antihistamines for systemic use
50428-0441-92	R06AE	Piperazine derivatives
50428-0445-88	C01EB	Other cardiac preparations
50428-0445-88	G02CC	Antiinflammatory products for vaginal administration
50428-0445-88	M01AE	Propionic acid derivatives
50428-0445-88	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0445-88	R02AX	Other throat preparations
50428-0450-30	R05CA	Expectorants
50428-0451-51	R05CA	Expectorants
50428-0455-52	R05CA	Expectorants
50428-0455-63	R06AE	Piperazine derivatives
50428-0460-55	B03AA	Iron bivalent, oral preparations
50428-0460-55	B03AD	Iron in combination with folic acid
50428-0460-94	A01AC	Corticosteroids for local oral treatment
50428-0460-94	A07EA	Corticosteroids acting locally
50428-0460-94	C05AA	Corticosteroids
50428-0460-94	D07AA	Corticosteroids, weak (group I)
50428-0460-94	D07XA	Corticosteroids, weak, other combinations
50428-0460-94	H02AB	Glucocorticoids
50428-0460-94	S01BA	Corticosteroids, plain
50428-0460-94	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
50428-0460-94	S02BA	Corticosteroids
50428-0462-67	R06AE	Piperazine derivatives
50428-0464-75	C05AD	Local anesthetics
50428-0464-75	D04AB	Anesthetics for topical use
50428-0464-75	N01BA	Esters of aminobenzoic acid
50428-0464-75	R02AD	Anesthetics, local
50428-0465-07	R05DA	Opium alkaloids and derivatives
50428-0468-15	D10AE	Peroxides
50428-0469-05	A12CA	Sodium
50428-0469-05	B05CB	Salt solutions
50428-0469-05	B05XA	Electrolyte solutions
50428-0470-56	D10AE	Peroxides
50428-0471-21	D04AA	Antihistamines for topical use
50428-0471-21	R06AA	Aminoalkyl ethers
50428-0471-81	A06AA	Softeners, emollients
50428-0472-15	D07AC	Corticosteroids, potent (group III)
50428-0472-15	R01AD	Corticosteroids
50428-0472-15	R03BA	Glucocorticoids
50428-0472-80	D10AE	Peroxides
50428-0473-77	D08AX	Other antiseptics and disinfectants
50428-0479-89	B03BB	Folic acid and derivatives
50428-0479-89	V04CX	Other diagnostic agents
50428-0481-36	D08AG	Iodine products
50428-0481-36	D09AA	Medicated dressings with antiinfectives
50428-0481-36	D11AC	Medicated shampoos
50428-0481-36	G01AX	Other antiinfectives and antiseptics
50428-0481-36	R02AA	Antiseptics
50428-0481-36	S01AX	Other antiinfectives
50428-0481-56	B03BA	Vitamin B12 (cyanocobalamin and analogues)
50428-0482-29	A11HA	Other plain vitamin preparations
50428-0482-29	S01XA	Other ophthalmologicals
50428-0485-45	A11DA	Vitamin B1, plain
50428-0485-72	R06AX	Other antihistamines for systemic use
50428-0485-72	R01BA	Sympathomimetics
50428-0486-03	A11HA	Other plain vitamin preparations
50428-0489-77	D01AE	Other antifungals for topical use
50428-0489-77	S01BC	Antiinflammatory agents, non-steroids
50428-0494-35	A11GA	Ascorbic acid (vitamin C), plain
50428-0494-35	G01AD	Organic acids
50428-0494-35	S01XA	Other ophthalmologicals
50428-0512-06	B03BA	Vitamin B12 (cyanocobalamin and analogues)
50428-0519-62	C01EB	Other cardiac preparations
50428-0519-62	G02CC	Antiinflammatory products for vaginal administration
50428-0519-62	M01AE	Propionic acid derivatives
50428-0519-62	M02AA	Antiinflammatory preparations, non-steroids for topical use
50428-0519-62	R02AX	Other throat preparations
50428-0529-20	N02BE	Anilides
50428-0530-37	R06AX	Other antihistamines for systemic use
50428-0530-37	R01BA	Sympathomimetics
50428-0533-89	A01AC	Corticosteroids for local oral treatment
50428-0533-89	C05AA	Corticosteroids
50428-0533-89	D07AB	Corticosteroids, moderately potent (group II)
50428-0533-89	D07XB	Corticosteroids, moderately potent, other combinations
50428-0533-89	H02AB	Glucocorticoids
50428-0533-89	R01AD	Corticosteroids
50428-0533-89	R03BA	Glucocorticoids
50428-0533-89	S01BA	Corticosteroids, plain
50428-0536-31	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0536-31	B05CA	Antiinfectives
50428-0536-31	D08AC	Biguanides and amidines
50428-0536-31	D09AA	Medicated dressings with antiinfectives
50428-0536-31	R02AA	Antiseptics
50428-0536-31	S01AX	Other antiinfectives
50428-0536-31	S02AA	Antiinfectives
50428-0536-31	S03AA	Antiinfectives
50428-0538-95	A01AB	Antiinfectives and antiseptics for local oral treatment
50428-0538-95	B05CA	Antiinfectives
50428-0538-95	D08AC	Biguanides and amidines
50428-0538-95	D09AA	Medicated dressings with antiinfectives
50428-0538-95	R02AA	Antiseptics
50428-0538-95	S01AX	Other antiinfectives
50428-0538-95	S02AA	Antiinfectives
50428-0538-95	S03AA	Antiinfectives
50428-0540-31	A02AD	Combinations and complexes of aluminium, calcium and magnesium compounds
50428-0540-31	A02AA	Magnesium compounds
50428-0540-31	A06AD	Osmotically acting laxatives
50428-0540-31	A02AB	Aluminium compounds
50428-0540-89	A11CC	Vitamin D and analogues
50428-0542-08	C01BB	Antiarrhythmics, class Ib
50428-0542-08	C05AD	Local anesthetics
50428-0542-08	D04AB	Anesthetics for topical use
50428-0542-08	N01BB	Amides
50428-0542-08	R02AD	Anesthetics, local
