***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
J2920	"Injection, methylprednisolone sodium succinate, up to 40 mg"	Methylprednisolone injection
J2930	"Injection, methylprednisolone sodium succinate, up to 125 mg"	Methylprednisolone injection
J2940	"Injection, somatrem, 1 mg"	Somatrem injection
J2941	"Injection, somatropin, 1 mg"	Somatropin injection
J2950	"Injection, promazine hcl, up to 25 mg"	Promazine hcl injection
J2993	"Injection, reteplase, 18.1 mg"	Reteplase injection
J2995	"Injection, streptokinase, per 250,000 iu"	Inj streptokinase /250000 iu
J2997	"Injection, alteplase recombinant, 1 mg"	Alteplase recombinant
J3000	"Injection, streptomycin, up to 1 gm"	Streptomycin injection
J3010	"Injection, fentanyl citrate, 0.1 mg"	Fentanyl citrate injection
J3030	"Injection, sumatriptan succinate, 6 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"	Sumatriptan succinate / 6 mg
J3060	"Injection, taliglucerase alfa, 10 units"	"Inj, taliglucerase alfa 10 u"
J3070	"Injection, pentazocine, 30 mg"	Pentazocine injection
J3090	"Injection, tedizolid phosphate, 1 mg"	Inj tedizolid phosphate
J3095	"Injection, telavancin, 10 mg"	Telavancin injection
J3101	"Injection, tenecteplase, 1 mg"	Tenecteplase injection
J3105	"Injection, terbutaline sulfate, up to 1 mg"	Terbutaline sulfate inj
J3110	"Injection, teriparatide, 10 mcg"	Teriparatide injection
J3120	"Injection, testosterone enanthate, up to 100 mg"	Testosterone enanthate inj
J3121	"Injection, testosterone enanthate, 1 mg"	Inj testostero enanthate 1mg
J3130	"Injection, testosterone enanthate, up to 200 mg"	Testosterone enanthate inj
J3140	"Injection, testosterone suspension, up to 50 mg"	Testosterone suspension inj
J3145	"Injection, testosterone undecanoate, 1 mg"	Testosterone undecanoate 1mg
J3150	"Injection, testosterone propionate, up to 100 mg"	Testosteron propionate inj
J3230	"Injection, chlorpromazine hcl, up to 50 mg"	Chlorpromazine hcl injection
J3240	"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial"	Thyrotropin injection
J3243	"Injection, tigecycline, 1 mg"	Tigecycline injection
J3246	"Injection, tirofiban hcl, 0.25 mg"	Tirofiban hcl
J3250	"Injection, trimethobenzamide hcl, up to 200 mg"	Trimethobenzamide hcl inj
J3260	"Injection, tobramycin sulfate, up to 80 mg"	Tobramycin sulfate injection
J3262	"Injection, tocilizumab, 1 mg"	Tocilizumab injection
J3265	"Injection, torsemide, 10 mg/ml"	Injection torsemide 10 mg/ml
J3280	"Injection, thiethylperazine maleate, up to 10 mg"	Thiethylperazine maleate inj
J3285	"Injection, treprostinil, 1 mg"	Treprostinil injection
J3300	"Injection, triamcinolone acetonide, preservative free, 1 mg"	Triamcinolone a inj prs-free
J3301	"Injection, triamcinolone acetonide, not otherwise specified, 10 mg"	Triamcinolone acet inj nos
J3302	"Injection, triamcinolone diacetate, per 5 mg"	Triamcinolone diacetate inj
J3303	"Injection, triamcinolone hexacetonide, per 5 mg"	Triamcinolone hexacetonl inj
J3305	"Injection, trimetrexate glucuronate, per 25 mg"	Inj trimetrexate glucoronate
J3310	"Injection, perphenazine, up to 5 mg"	Perphenazine injeciton
J3315	"Injection, triptorelin pamoate, 3.75 mg"	Triptorelin pamoate
J3320	"Injection, spectinomycin dihydrochloride, up to 2 gm"	Spectinomycn di-hcl inj
J3350	"Injection, urea, up to 40 gm"	Urea injection
J3355	"Injection, urofollitropin, 75 iu"	"Urofollitropin, 75 iu"
J3357	"Ustekinumab, for subcutaneous injection, 1 mg"	"Ustekinumab sub cu inj, 1 mg"
J3358	"Ustekinumab, for intravenous injection, 1 mg"	"Ustekinumab, iv inject, 1 mg"
J3360	"Injection, diazepam, up to 5 mg"	Diazepam injection
J3364	"Injection, urokinase, 5000 iu vial"	Urokinase 5000 iu injection
J3365	"Injection, iv, urokinase, 250,000 i.u. vial"	"Urokinase 250,000 iu inj"
J3370	"Injection, vancomycin hcl, 500 mg"	Vancomycin hcl injection
J3380	"Injection, vedolizumab, 1 mg"	"Injection, vedolizumab"
J3385	"Injection, velaglucerase alfa, 100 units"	Velaglucerase alfa
J3396	"Injection, verteporfin, 0.1 mg"	Verteporfin injection
J3400	"Injection, triflupromazine hcl, up to 20 mg"	Triflupromazine hcl inj
J3410	"Injection, hydroxyzine hcl, up to 25 mg"	Hydroxyzine hcl injection
J3411	"Injection, thiamine hcl, 100 mg"	Thiamine hcl 100 mg
J3415	"Injection, pyridoxine hcl, 100 mg"	Pyridoxine hcl 100 mg
J3420	"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg"	Vitamin b12 injection
J3430	"Injection, phytonadione (vitamin k), per 1 mg"	Vitamin k phytonadione inj
J3465	"Injection, voriconazole, 10 mg"	"Injection, voriconazole"
J3470	"Injection, hyaluronidase, up to 150 units"	Hyaluronidase injection
J3471	"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)"	"Ovine, up to 999 usp units"
J3472	"Injection, hyaluronidase, ovine, preservative free, per 1000 usp units"	"Ovine, 1000 usp units"
J3473	"Injection, hyaluronidase, recombinant, 1 usp unit"	Hyaluronidase recombinant
J3475	"Injection, magnesium sulfate, per 500 mg"	Inj magnesium sulfate
J3480	"Injection, potassium chloride, per 2 meq"	Inj potassium chloride
J3485	"Injection, zidovudine, 10 mg"	Zidovudine
J3486	"Injection, ziprasidone mesylate, 10 mg"	Ziprasidone mesylate
J3489	"Injection, zoledronic acid, 1 mg"	Zoledronic acid 1mg
J3490	Unclassified drugs	Drugs unclassified injection
J3520	"Edetate disodium, per 150 mg"	Edetate disodium per 150 mg
J3530	Nasal vaccine inhalation	Nasal vaccine inhalation
J3535	Drug administered through a metered dose inhaler	Metered dose inhaler drug
J3570	"Laetrile, amygdalin, vitamin b17"	Laetrile amygdalin vit b17
J3590	Unclassified biologics	Unclassified biologics
J7030	"Infusion, normal saline solution , 1000 cc"	Normal saline solution infus
J7040	"Infusion, normal saline solution, sterile (500 ml = 1 unit)"	Normal saline solution infus
J7042	5% dextrose/normal saline (500 ml = 1 unit)	5% dextrose/normal saline
J7050	"Infusion, normal saline solution, 250 cc"	Normal saline solution infus
J7060	5% dextrose/water (500 ml = 1 unit)	5% dextrose/water
J7070	"Infusion, d5w, 1000 cc"	D5w infusion
J7100	"Infusion, dextran 40, 500 ml"	Dextran 40 infusion
J7110	"Infusion, dextran 75, 500 ml"	Dextran 75 infusion
J7120	"Ringers lactate infusion, up to 1000 cc"	Ringers lactate infusion
J7121	"5% dextrose in lactated ringers infusion, up to 1000 cc"	5% dextrose in lac ringers
J7131	"Hypertonic saline solution, 1 ml"	Hypertonic saline sol
J7175	"Injection, factor x, (human), 1 i.u."	"Inj, factor x, (human), 1iu"
J7178	"Injection, human fibrinogen concentrate, 1 mg"	Human fibrinogen conc inj
J7179	"Injection, von willebrand factor (recombinant), (vonvendi), 1 i.u. vwf:rco"	Vonvendi inj 1 iu vwf:rco
J7180	"Injection, factor xiii (antihemophilic factor, human), 1 i.u."	Factor xiii anti-hem factor
J7181	"Injection, factor xiii a-subunit, (recombinant), per iu"	Factor xiii recomb a-subunit
J7182	"Injection, factor viii, (antihemophilic factor, recombinant), (novoeight), per iu"	Factor viii recomb novoeight
J7183	"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco"	Wilate injection
J7185	"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u."	Xyntha inj
J7186	"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u."	Antihemophilic viii/vwf comp
J7187	"Injection, von willebrand factor complex (humate-p), per iu vwf:rco"	"Humate-p, inj"
J7188	"Injection, factor viii (antihemophilic factor, recombinant), (obizur), per i.u."	Factor viii recomb obizur
J7189	"Factor viia (antihemophilic factor, recombinant), per 1 microgram"	Factor viia
J7190	"Factor viii (antihemophilic factor, human) per i.u."	Factor viii
J7191	"Factor viii (antihemophilic factor (porcine)), per i.u."	Factor viii (porcine)
J7192	"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified"	Factor viii recombinant nos
J7193	"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u."	Factor ix non-recombinant
J7194	"Factor ix, complex, per i.u."	Factor ix complex
J7195	"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified"	Factor ix recombinant nos
J7196	"Injection, antithrombin recombinant, 50 i.u."	Antithrombin recombinant
J7197	"Antithrombin iii (human), per i.u."	Antithrombin iii injection
J7198	"Anti-inhibitor, per i.u."	Anti-inhibitor
J7199	"Hemophilia clotting factor, not otherwise classified"	Hemophilia clot factor noc
J7200	"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu"	Factor ix recombinan rixubis
J7201	"Injection, factor ix, fc fusion protein, (recombinant), alprolix, 1 i.u."	Factor ix alprolix recomb
J7202	"Injection, factor ix, albumin fusion protein, (recombinant), idelvion, 1 i.u."	Factor ix idelvion inj
J7205	"Injection, factor viii fc fusion protein (recombinant), per iu"	Factor viii fc fusion recomb
J7207	"Injection, factor viii, (antihemophilic factor, recombinant), pegylated, 1 i.u."	Factor viii pegylated recomb
J7209	"Injection, factor viii, (antihemophilic factor, recombinant), (nuwiq), 1 i.u."	Factor viii nuwiq recomb 1iu
J7210	"Injection, factor viii, (antihemophilic factor, recombinant), (afstyla), 1 i.u."	"Inj, afstyla, 1 i.u."
J7211	"Injection, factor viii, (antihemophilic factor, recombinant), (kovaltry), 1 i.u."	"Inj, kovaltry, 1 i.u."
J7296	"Levonorgestrel-releasing intrauterine contraceptive system, (kyleena), 19.5 mg"	"Kyleena, 19.5 mg"
J7297	"Levonorgestrel-releasing intrauterine contraceptive system (liletta), 52 mg"	"Liletta, 52 mg"
J7298	"Levonorgestrel-releasing intrauterine contraceptive system (mirena), 52 mg"	"Mirena, 52 mg"
J7300	Intrauterine copper contraceptive	Intraut copper contraceptive
J7301	"Levonorgestrel-releasing intrauterine contraceptive system (skyla), 13.5 mg"	"Skyla, 13.5 mg"
J7302	"Levonorgestrel-releasing intrauterine contraceptive system, 52 mg"	Levonorgestrel iu 52 mg
J7303	"Contraceptive supply, hormone containing vaginal ring, each"	Contraceptive vaginal ring
J7304	"Contraceptive supply, hormone containing patch, each"	Contraceptive hormone patch
J7306	"Levonorgestrel (contraceptive) implant system, including implants and supplies"	Levonorgestrel implant sys
J7307	"Etonogestrel (contraceptive) implant system, including implant and supplies"	Etonogestrel implant system
J7308	"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)"	Aminolevulinic acid hcl top
J7309	"Methyl aminolevulinate (mal) for topical administration, 16.8%, 1 gram"	"Methyl aminolevulinate, top"
J7310	"Ganciclovir, 4.5 mg, long-acting implant"	Ganciclovir long act implant
J7311	"Fluocinolone acetonide, intravitreal implant"	Fluocinolone acetonide implt
J7312	"Injection, dexamethasone, intravitreal implant, 0.1 mg"	Dexamethasone intra implant
J7313	"Injection, fluocinolone acetonide, intravitreal implant, 0.01 mg"	Fluocinol acet intravit imp
J7315	"Mitomycin, ophthalmic, 0.2 mg"	Ophthalmic mitomycin
J7316	"Injection, ocriplasmin, 0.125 mg"	"Inj, ocriplasmin, 0.125 mg"
J7320	"Hyaluronan or derivitive, genvisc 850, for intra-articular injection, 1 mg"	"Genvisc 850, inj, 1mg"
J7321	"Hyaluronan or derivative, hyalgan, supartz or visco-3, for intra-articular injection, per dose"	Hyalgan supartz visco-3 dose
J7322	"Hyaluronan or derivative, hymovis, for intra-articular injection, 1 mg"	Hymovis injection 1 mg
J7323	"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose"	Euflexxa inj per dose
J7324	"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose"	Orthovisc inj per dose
J7325	"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg"	Synvisc or synvisc-one
J7326	"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose"	Gel-one
J7327	"Hyaluronan or derivative, monovisc, for intra-articular injection, per dose"	Monovisc inj per dose
J7328	"Hyaluronan or derivative, gelsyn-3, for intra-articular injection, 0.1 mg"	Gelsyn-3 injection 0.1 mg
J7330	"Autologous cultured chondrocytes, implant"	Cultured chondrocytes implnt
J7335	"Capsaicin 8% patch, per 10 square centimeters"	Capsaicin 8% patch
J7336	"Capsaicin 8% patch, per square centimeter"	Capsaicin 8% patch
J7340	"Carbidopa 5 mg/levodopa 20 mg enteral suspension, 100 ml"	Carbidopa levodopa ent 100ml
J7342	"Instillation, ciprofloxacin otic suspension, 6 mg"	Ciprofloxacin otic susp 6 mg
J7345	"Aminolevulinic acid hcl for topical administration, 10% gel, 10 mg"	"Aminolevulinic acid, 10% gel"
J7500	"Azathioprine, oral, 50 mg"	Azathioprine oral 50mg
J7501	"Azathioprine, parenteral, 100 mg"	Azathioprine parenteral
J7502	"Cyclosporine, oral, 100 mg"	Cyclosporine oral 100 mg
J7503	"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg"	Tacrol envarsus ex rel oral
J7504	"Lymphocyte immune globulin, antithymocyte globulin, equine, parenteral, 250 mg"	Lymphocyte immune globulin
J7505	"Muromonab-cd3, parenteral, 5 mg"	Monoclonal antibodies
J7506	"Prednisone, oral, per 5 mg"	Prednisone oral
J7507	"Tacrolimus, immediate release, oral, 1 mg"	Tacrolimus imme rel oral 1mg
J7508	"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg"	Tacrol astagraf ex rel oral
J7509	"Methylprednisolone oral, per 4 mg"	Methylprednisolone oral
J7510	"Prednisolone oral, per 5 mg"	Prednisolone oral per 5 mg
J7511	"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25 mg"	Antithymocyte globuln rabbit
J7512	"Prednisone, immediate release or delayed release, oral, 1 mg"	Prednisone ir or dr oral 1mg
J7513	"Daclizumab, parenteral, 25 mg"	"Daclizumab, parenteral"
J7515	"Cyclosporine, oral, 25 mg"	Cyclosporine oral 25 mg
J7516	"Cyclosporin, parenteral, 250 mg"	Cyclosporin parenteral 250mg
J7517	"Mycophenolate mofetil, oral, 250 mg"	Mycophenolate mofetil oral
J7518	"Mycophenolic acid, oral, 180 mg"	Mycophenolic acid
J7520	"Sirolimus, oral, 1 mg"	"Sirolimus, oral"
J7525	"Tacrolimus, parenteral, 5 mg"	Tacrolimus injection
J7527	"Everolimus, oral, 0.25 mg"	Oral everolimus
J7599	"Immunosuppressive drug, not otherwise classified"	Immunosuppressive drug noc
J7604	"Acetylcysteine, inhalation solution, compounded product, administered through dme, unit dose form, per gram"	Acetylcysteine comp unit
J7605	"Arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms"	Arformoterol non-comp unit
J7606	"Formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms"	"Formoterol fumarate, inh"
J7607	"Levalbuterol, inhalation solution, compounded product, administered through dme, concentrated form, 0.5 mg"	Levalbuterol comp con
J7608	"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram"	Acetylcysteine non-comp unit
J7609	"Albuterol, inhalation solution, compounded product, administered through dme, unit dose, 1 mg"	Albuterol comp unit
J7610	"Albuterol, inhalation solution, compounded product, administered through dme, concentrated form, 1 mg"	Albuterol comp con
J7611	"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 1 mg"	Albuterol non-comp con
J7612	"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg"	Levalbuterol non-comp con
J7613	"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg"	Albuterol non-comp unit
J7614	"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg"	Levalbuterol non-comp unit
J7615	"Levalbuterol, inhalation solution, compounded product, administered through dme, unit dose, 0.5 mg"	Levalbuterol comp unit
J7620	"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme"	Albuterol ipratrop non-comp
J7622	"Beclomethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Beclomethasone comp unit
J7624	"Betamethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Betamethasone comp unit
J7626	"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg"	Budesonide non-comp unit
J7627	"Budesonide, inhalation solution, compounded product, administered through dme, unit dose form, up to 0.5 mg"	Budesonide comp unit
J7628	"Bitolterol mesylate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Bitolterol mesylate comp con
J7629	"Bitolterol mesylate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Bitolterol mesylate comp unt
J7631	"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams"	Cromolyn sodium noncomp unit
J7632	"Cromolyn sodium, inhalation solution, compounded product, administered through dme, unit dose form, per 10 milligrams"	Cromolyn sodium comp unit
J7633	"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 0.25 milligram"	Budesonide non-comp con
J7634	"Budesonide, inhalation solution, compounded product, administered through dme, concentrated form, per 0.25 milligram"	Budesonide comp con
J7635	"Atropine, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Atropine comp con
J7636	"Atropine, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Atropine comp unit
J7637	"Dexamethasone, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Dexamethasone comp con
J7638	"Dexamethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Dexamethasone comp unit
J7639	"Dornase alfa, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"	Dornase alfa non-comp unit
J7640	"Formoterol, inhalation solution, compounded product, administered through dme, unit dose form, 12 micrograms"	Formoterol comp unit
J7641	"Flunisolide, inhalation solution, compounded product, administered through dme, unit dose, per milligram"	Flunisolide comp unit
J7642	"Glycopyrrolate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Glycopyrrolate comp con
J7643	"Glycopyrrolate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Glycopyrrolate comp unit
J7644	"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"	Ipratropium bromide non-comp
J7645	"Ipratropium bromide, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Ipratropium bromide comp
J7647	"Isoetharine hcl, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Isoetharine comp con
J7648	"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per milligram"	Isoetharine non-comp con
J7649	"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"	Isoetharine non-comp unit
J7650	"Isoetharine hcl, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Isoetharine comp unit
J7657	"Isoproterenol hcl, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Isoproterenol comp con
J7658	"Isoproterenol hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per milligram"	Isoproterenol non-comp con
J7659	"Isoproterenol hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"	Isoproterenol non-comp unit
J7660	"Isoproterenol hcl, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Isoproterenol comp unit
J7665	"Mannitol, administered through an inhaler, 5 mg"	Mannitol for inhaler
J7667	"Metaproterenol sulfate, inhalation solution, compounded product, concentrated form, per 10 milligrams"	Metaproterenol comp con
J7668	"Metaproterenol sulfate, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 10 milligrams"	Metaproterenol non-comp con
J7669	"Metaproterenol sulfate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams"	Metaproterenol non-comp unit
J7670	"Metaproterenol sulfate, inhalation solution, compounded product, administered through dme, unit dose form, per 10 milligrams"	Metaproterenol comp unit
J7674	"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg"	"Methacholine chloride, neb"
J7676	"Pentamidine isethionate, inhalation solution, compounded product, administered through dme, unit dose form, per 300 mg"	Pentamidine comp unit dose
J7680	"Terbutaline sulfate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Terbutaline sulf comp con
J7681	"Terbutaline sulfate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Terbutaline sulf comp unit
J7682	"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams"	Tobramycin non-comp unit
J7683	"Triamcinolone, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	Triamcinolone comp con
J7684	"Triamcinolone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	Triamcinolone comp unit
J7685	"Tobramycin, inhalation solution, compounded product, administered through dme, unit dose form, per 300 milligrams"	Tobramycin comp unit
J7686	"Treprostinil, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, 1.74 mg"	"Treprostinil, non-comp unit"
J7699	"Noc drugs, inhalation solution administered through dme"	Inhalation solution for dme
J7799	"Noc drugs, other than inhalation drugs, administered through dme"	Non-inhalation drug for dme
J7999	"Compounded drug, not otherwise classified"	"Compounded drug, noc"
J8498	"Antiemetic drug, rectal/suppository, not otherwise specified"	Antiemetic rectal/supp nos
J8499	"Prescription drug, oral, non chemotherapeutic, nos"	Oral prescrip drug non chemo
J8501	"Aprepitant, oral, 5 mg"	Oral aprepitant
J8510	"Busulfan; oral, 2 mg"	Oral busulfan
J8515	"Cabergoline, oral, 0.25 mg"	"Cabergoline, oral 0.25mg"
J8520	"Capecitabine, oral, 150 mg"	"Capecitabine, oral, 150 mg"
J8521	"Capecitabine, oral, 500 mg"	"Capecitabine, oral, 500 mg"
J8530	"Cyclophosphamide; oral, 25 mg"	Cyclophosphamide oral 25 mg
J8540	"Dexamethasone, oral, 0.25 mg"	Oral dexamethasone
J8560	"Etoposide; oral, 50 mg"	Etoposide oral 50 mg
J8562	"Fludarabine phosphate, oral, 10 mg"	Oral fludarabine phosphate
J8565	"Gefitinib, oral, 250 mg"	Gefitinib oral
J8597	"Antiemetic drug, oral, not otherwise specified"	Antiemetic drug oral nos
J8600	"Melphalan; oral, 2 mg"	Melphalan oral 2 mg
J8610	"Methotrexate; oral, 2.5 mg"	Methotrexate oral 2.5 mg
J8650	"Nabilone, oral, 1 mg"	Nabilone oral
J8655	Netupitant 300 mg and palonosetron 0.5 mg	Netupitant palonosetron oral
J8670	"Rolapitant, oral, 1 mg"	"Rolapitant, oral, 1mg"
J8700	"Temozolomide, oral, 5 mg"	Temozolomide
J8705	"Topotecan, oral, 0.25 mg"	Topotecan oral
J8999	"Prescription drug, oral, chemotherapeutic, nos"	Oral prescription drug chemo
J9000	"Injection, doxorubicin hydrochloride, 10 mg"	Doxorubicin hcl injection
J9010	"Injection, alemtuzumab, 10 mg"	Alemtuzumab injection
J9015	"Injection, aldesleukin, per single use vial"	Aldesleukin injection
J9017	"Injection, arsenic trioxide, 1 mg"	Arsenic trioxide injection
J9019	"Injection, asparaginase (erwinaze), 1,000 iu"	Erwinaze injection
J9020	"Injection, asparaginase, not otherwise specified, 10,000 units"	"Asparaginase, nos"
J9022	"Injection, atezolizumab, 10 mg"	"Inj, atezolizumab,10 mg"
J9023	"Injection, avelumab, 10 mg"	"Injection, avelumab, 10 mg"
J9025	"Injection, azacitidine, 1 mg"	Azacitidine injection
J9027	"Injection, clofarabine, 1 mg"	Clofarabine injection
J9031	Bcg (intravesical) per instillation	Bcg live intravesical vac
J9032	"Injection, belinostat, 10 mg"	"Injection, belinostat, 10mg"
J9033	"Injection, bendamustine hcl (treanda), 1 mg"	"Inj., treanda 1 mg"
J9034	"Injection, bendamustine hcl (bendeka), 1 mg"	"Inj., bendeka 1 mg"
J9035	"Injection, bevacizumab, 10 mg"	Bevacizumab injection
J9039	"Injection, blinatumomab, 1 microgram"	"Injection, blinatumomab"
J9040	"Injection, bleomycin sulfate, 15 units"	Bleomycin sulfate injection
J9041	"Injection, bortezomib, 0.1 mg"	Bortezomib injection
J9042	"Injection, brentuximab vedotin, 1 mg"	Brentuximab vedotin inj
J9043	"Injection, cabazitaxel, 1 mg"	Cabazitaxel injection
J9045	"Injection, carboplatin, 50 mg"	Carboplatin injection
J9047	"Injection, carfilzomib, 1 mg"	"Injection, carfilzomib, 1 mg"
J9050	"Injection, carmustine, 100 mg"	Carmustine injection
J9055	"Injection, cetuximab, 10 mg"	Cetuximab injection
J9060	"Injection, cisplatin, powder or solution, 10 mg"	Cisplatin 10 mg injection
J9065	"Injection, cladribine, per 1 mg"	Inj cladribine per 1 mg
J9070	"Cyclophosphamide, 100 mg"	Cyclophosphamide 100 mg inj
J9098	"Injection, cytarabine liposome, 10 mg"	Cytarabine liposome inj
J9100	"Injection, cytarabine, 100 mg"	Cytarabine hcl 100 mg inj
J9120	"Injection, dactinomycin, 0.5 mg"	Dactinomycin injection
J9130	"Dacarbazine, 100 mg"	Dacarbazine 100 mg inj
J9145	"Injection, daratumumab, 10 mg"	"Injection, daratumumab 10 mg"
J9150	"Injection, daunorubicin, 10 mg"	Daunorubicin injection
J9151	"Injection, daunorubicin citrate, liposomal formulation, 10 mg"	Daunorubicin citrate inj
J9155	"Injection, degarelix, 1 mg"	Degarelix injection
J9160	"Injection, denileukin diftitox, 300 micrograms"	Denileukin diftitox inj
J9165	"Injection, diethylstilbestrol diphosphate, 250 mg"	Diethylstilbestrol injection
J9171	"Injection, docetaxel, 1 mg"	Docetaxel injection
J9175	"Injection, elliotts' b solution, 1 ml"	Elliotts b solution per ml
J9176	"Injection, elotuzumab, 1 mg"	"Injection, elotuzumab, 1mg"
J9178	"Injection, epirubicin hcl, 2 mg"	"Inj, epirubicin hcl, 2 mg"
J9179	"Injection, eribulin mesylate, 0.1 mg"	Eribulin mesylate injection
J9181	"Injection, etoposide, 10 mg"	Etoposide injection
J9185	"Injection, fludarabine phosphate, 50 mg"	Fludarabine phosphate inj
J9190	"Injection, fluorouracil, 500 mg"	Fluorouracil injection
J9200	"Injection, floxuridine, 500 mg"	Floxuridine injection
J9201	"Injection, gemcitabine hydrochloride, 200 mg"	Gemcitabine hcl injection
J9202	"Goserelin acetate implant, per 3.6 mg"	Goserelin acetate implant
J9203	"Injection, gemtuzumab ozogamicin, 0.1 mg"	Gemtuzumab ozogamicin 0.1 mg
J9205	"Injection, irinotecan liposome, 1 mg"	Inj irinotecan liposome 1 mg
J9206	"Injection, irinotecan, 20 mg"	Irinotecan injection
J9207	"Injection, ixabepilone, 1 mg"	Ixabepilone injection
J9208	"Injection, ifosfamide, 1 gram"	Ifosfamide injection
J9209	"Injection, mesna, 200 mg"	Mesna injection
J9211	"Injection, idarubicin hydrochloride, 5 mg"	Idarubicin hcl injection
J9212	"Injection, interferon alfacon-1, recombinant, 1 microgram"	Interferon alfacon-1 inj
J9213	"Injection, interferon, alfa-2a, recombinant, 3 million units"	Interferon alfa-2a inj
J9214	"Injection, interferon, alfa-2b, recombinant, 1 million units"	Interferon alfa-2b inj
J9215	"Injection, interferon, alfa-n3, (human leukocyte derived), 250,000 iu"	Interferon alfa-n3 inj
J9216	"Injection, interferon, gamma 1-b, 3 million units"	Interferon gamma 1-b inj
J9217	"Leuprolide acetate (for depot suspension), 7.5 mg"	Leuprolide acetate suspnsion
J9218	"Leuprolide acetate, per 1 mg"	Leuprolide acetate injeciton
