HCPC	Seq Num	RIC	Long Description	Short Description	PI1	PI2	PI3	PI4	MPI	CIM1	CIM2	CIM3	MCM1	MCM2	MCM3	Statute	Lab Cert1	Lab Cert2	Lab Cert3	Lab Cert4	Lab Cert5	Lab Cert6	Lab Cert7	Lab Cert8	X-Ref1	X-Ref2	X-Ref3	X-Ref4	X-Ref5	Coverage	ASC Pay Grp	ASC Pay Grp Eff Date	MOG Pay Grp	MOG Pay Ind	MOG Eff Date	Proc Note	BETOS	FILLER	TOS1	TOS2	TOS3	TOS4	TOS5	Anest Base Units	Code Add Date	Action Eff Date	Term Date	Action Code
K0849	00200	4	TO AND INCLUDING 300 POUNDS																																													
K0850	00100	3	"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT"	PWC gp 3 hd seat/back	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0850	00200	4	CAPACITY 301 TO 450 POUNDS																																													
K0851	00100	3	"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY"	PWC gp 3 hd cap chair	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0851	00200	4	301 TO 450 POUNDS																																													
K0852	00100	3	"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT"	PWC gp 3 vhd seat/back	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0852	00200	4	WEIGHT CAPACITY 451 TO 600 POUNDS																																													
K0853	00100	3	"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT"	PWC gp 3 vhd cap chair	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0853	00200	4	CAPACITY 451 TO 600 POUNDS																																													
K0854	00100	3	"POWER WHEELCHAIR, GROUP 3 EXTRA HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT"	PWC gp 3 xhd seat/back	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0854	00200	4	WEIGHT CAPACITY 601 POUNDS OR MORE																																													
K0855	00100	3	"POWER WHEELCHAIR, GROUP 3 EXTRA HEAVY DUTY, CAPTAINS CHAIR, PATIENT WEIGHT"	PWC gp 3 xhd cap chair	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0855	00200	4	CAPACITY 601 POUNDS OR MORE																																													
K0856	00100	3	"POWER WHEELCHAIR, GROUP 3 STANDARD, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK,"	PWC gp3 std sing pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0856	00200	4	PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS																																													
K0857	00100	3	"POWER WHEELCHAIR, GROUP 3 STANDARD, SINGLE POWER OPTION, CAPTAINS CHAIR,"	PWC gp3 std sing pow opt cap	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0857	00200	4	PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS																																													
K0858	00100	3	"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID"	PWC gp3 hd sing pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0858	00200	4	"SEAT/BACK, PATIENT WEIGHT 301 TO 450 POUNDS"																																													
K0859	00100	3	"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, SINGLE POWER OPTION, CAPTAINS CHAIR,"	PWC gp3 hd sing pow opt cap	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0859	00200	4	PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS																																													
K0860	00100	3	"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID"	PWC gp3 vhd sing pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0860	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"																																													
K0861	00100	3	"POWER WHEELCHAIR, GROUP 3 STANDARD, MULTIPLE POWER OPTION, SLING/SOLID"	PWC gp3 std mult pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0861	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"																																													
K0862	00100	3	"POWER WHEELCHAIR, GROUP 3 HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID"	PWC gp3 hd mult pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0862	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"																																													
K0863	00100	3	"POWER WHEELCHAIR, GROUP 3 VERY HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID"	PWC gp3 vhd mult pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0863	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY 451 TO 600 POUNDS"																																													
K0864	00100	3	"POWER WHEELCHAIR, GROUP 3 EXTRA HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID"	PWC gp3 xhd mult pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0864	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY 601 POUNDS OR MORE"																																													
K0868	00100	3	"POWER WHEELCHAIR, GROUP 4 STANDARD, SLING/SOLID SEAT/BACK, PATIENT WEIGHT"	PWC gp 4 std seat/back	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0868	00200	4	CAPACITY UP TO AND INCLUDING 300 POUNDS																																													
K0869	00100	3	"POWER WHEELCHAIR, GROUP 4 STANDARD, CAPTAINS CHAIR, PATIENT WEIGHT CAPACITY UP"	PWC gp 4 std cap chair	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0869	00200	4	TO AND INCLUDING 300 POUNDS																																													
K0870	00100	3	"POWER WHEELCHAIR, GROUP 4 HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT WEIGHT"	PWC gp 4 hd seat/back	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0870	00200	4	CAPACITY 301 TO 450 POUNDS																																													
K0871	00100	3	"POWER WHEELCHAIR, GROUP 4 VERY HEAVY DUTY, SLING/SOLID SEAT/BACK, PATIENT"	PWC gp 4 vhd seat/back	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0871	00200	4	WEIGHT CAPACITY 451 TO 600 POUNDS																																													
K0877	00100	3	"POWER WHEELCHAIR, GROUP 4 STANDARD, SINGLE POWER OPTION, SLING/SOLID SEAT/BACK,"	PWC gp4 std sing pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0877	00200	4	PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS																																													
K0878	00100	3	"POWER WHEELCHAIR, GROUP 4 STANDARD, SINGLE POWER OPTION, CAPTAINS CHAIR,"	PWC gp4 std sing pow opt cap	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0878	00200	4	PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS																																													
K0879	00100	3	"POWER WHEELCHAIR, GROUP 4 HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID"	PWC gp4 hd sing pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0879	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"																																													
K0880	00100	3	"POWER WHEELCHAIR, GROUP 4 VERY HEAVY DUTY, SINGLE POWER OPTION, SLING/SOLID"	PWC gp4 vhd sing pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0880	00200	4	"SEAT/BACK, PATIENT WEIGHT 451 TO 600 POUNDS"																																													
K0884	00100	3	"POWER WHEELCHAIR, GROUP 4 STANDARD, MULTIPLE POWER OPTION, SLING/SOLID"	PWC gp4 std mult pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0884	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS"																																													
K0885	00100	3	"POWER WHEELCHAIR, GROUP 4 STANDARD, MULTIPLE POWER OPTION, CAPTAINS CHAIR,"	PWC gp4 std mult pow opt cap	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0885	00200	4	PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 300 POUNDS																																													
K0886	00100	3	"POWER WHEELCHAIR, GROUP 4 HEAVY DUTY, MULTIPLE POWER OPTION, SLING/SOLID"	PWC gp4 hd mult pow s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0886	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY 301 TO 450 POUNDS"																																													
K0890	00100	3	"POWER WHEELCHAIR, GROUP 5 PEDIATRIC, SINGLE POWER OPTION, SLING/SOLID"	PWC gp5 ped sing pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0890	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 125 POUNDS"																																													
K0891	00100	3	"POWER WHEELCHAIR, GROUP 5 PEDIATRIC, MULTIPLE POWER OPTION, SLING/SOLID"	PWC gp5 ped mult pow opt s/b	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0891	00200	4	"SEAT/BACK, PATIENT WEIGHT CAPACITY UP TO AND INCLUDING 125 POUNDS"																																													
K0898	00100	3	"POWER WHEELCHAIR, NOT OTHERWISE CLASSIFIED"	Power wheelchair NOC	36				A																					C							D1D		A	P	R			  0	20061001	20061001		N
K0899	00100	3	"POWER MOBILITY DEVICE, NOT CODED BY DME PDAC OR DOES NOT MEET CRITERIA"	Pow mobil dev no dmepdac	36				A																					C							D1D		A	P	R			  0	20061001	20100701		S
L0112	00100	3	"CRANIAL CERVICAL ORTHOSIS, CONGENITAL TORTICOLLIS TYPE, WITH OR WITHOUT SOFT"	Cranial cervical orthosis	38				A																					C							D1F		P					  0	20040101	20040101		N
L0112	00200	4	"INTERFACE MATERIAL, ADJUSTABLE RANGE OF MOTION JOINT, CUSTOM FABRICATED"																																													
L0113	00100	3	"CRANIAL CERVICAL ORTHOSIS, TORTICOLLIS TYPE, WITH OR WITHOUT JOINT, WITH OR"	Cranial cervical torticollis	38				A																					C							D1F		P					  0	20090101	20090101		N
L0113	00200	4	"WITHOUT SOFT INTERFACE MATERIAL, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"																																													
L0120	00100	3	"CERVICAL, FLEXIBLE, NON-ADJUSTABLE (FOAM COLLAR)"	Cerv flexible non-adjustable	38				A																					C							D1F		P					  0	19820101	19960101		N
L0130	00100	3	"CERVICAL, FLEXIBLE, THERMOPLASTIC COLLAR, MOLDED TO PATIENT"	Flex thermoplastic collar mo	38				A																					C							D1F		P					  0	19840101	19960101		N
L0140	00100	3	"CERVICAL, SEMI-RIGID, ADJUSTABLE (PLASTIC COLLAR)"	Cervical semi-rigid adjustab	38				A																					C							D1F		P					  0	19820101	19960101		N
L0150	00100	3	"CERVICAL, SEMI-RIGID, ADJUSTABLE MOLDED CHIN CUP (PLASTIC COLLAR WITH"	Cerv semi-rig adj molded chn	38				A																					C							D1F		P					  0	19820101	19960101		N
L0150	00200	4	MANDIBULAR/OCCIPITAL PIECE)																																													
L0160	00100	3	"CERVICAL, SEMI-RIGID, WIRE FRAME OCCIPITAL/MANDIBULAR SUPPORT"	Cerv semi-rig wire occ/mand	38				A																					C							D1F		P					  0	19820101	19960101		N
L0170	00100	3	"CERVICAL, COLLAR, MOLDED TO PATIENT MODEL"	Cervical collar molded to pt	38				A																					C							D1F		P					  0	19860101	19960101		N
L0172	00100	3	"CERVICAL, COLLAR, SEMI-RIGID THERMOPLASTIC FOAM, TWO PIECE"	Cerv col thermplas foam 2 pi	38				A																					C							D1F		P					  0	19880101	19960101		N
L0174	00100	3	"CERVICAL, COLLAR, SEMI-RIGID, THERMOPLASTIC FOAM, TWO PIECE WITH THORACIC"	Cerv col foam 2 piece w thor	38				A																					C							D1F		P					  0	19880101	19960101		N
L0174	00200	4	EXTENSION																																													
L0180	00100	3	"CERVICAL, MULTIPLE POST COLLAR, OCCIPITAL/MANDIBULAR SUPPORTS, ADJUSTABLE"	Cer post col occ/man sup adj	38				A																					C							D1F		P					  0	19840101	19960101		N
L0190	00100	3	"CERVICAL, MULTIPLE POST COLLAR, OCCIPITAL/MANDIBULAR SUPPORTS, ADJUSTABLE"	Cerv collar supp adj cerv ba	38				A																					C							D1F		P					  0	19820101	19960101		N
L0190	00200	4	"CERVICAL BARS (SOMI, GUILFORD, TAYLOR TYPES)"																																													
L0200	00100	3	"CERVICAL, MULTIPLE POST COLLAR, OCCIPITAL/MANDIBULAR SUPPORTS, ADJUSTABLE"	Cerv col supp adj bar & thor	38				A																					C							D1F		P					  0	19840101	19960101		N
L0200	00200	4	"CERVICAL BARS, AND THORACIC EXTENSION"																																													
L0210	00100	3	"THORACIC, RIB BELT"	Thoracic rib belt	38				A																					C							D1F		P					  0	19820101	20100101	20091231	D
L0220	00100	3	"THORACIC, RIB BELT, CUSTOM FABRICATED"	Thor rib belt custom fabrica	38				A																					C							D1F		P					  0	19820101	19960101		N
L0430	00100	3	"SPINAL ORTHOSIS, ANTERIOR-POSTERIOR-LATERAL CONTROL, WITH INTERFACE MATERIAL,"	Dewall posture protector	38				A																					C							D1F		P					  0	19880101	20050101		N
L0430	00200	4	CUSTOM FITTED (DEWALL POSTURE PROTECTOR ONLY)																																													
L0450	00100	3	"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, UPPER THORACIC REGION, PRODUCES"	TLSO flex prefab thoracic	38				A																					C							D1F		P					  0	20030101	20030101		N
L0450	00200	4	INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS WITH RIGID																																													
L0450	00300	4	"STAYS OR PANEL(S), INCLUDES SHOULDER STRAPS AND CLOSURES, PREFABRICATED,"																																													
L0450	00400	4	INCLUDES FITTING AND ADJUSTMENT																																													
L0452	00100	3	"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, UPPER THORACIC REGION, PRODUCES"	tlso flex custom fab thoraci	38				A																					C							D1F		P					  0	20030101	20030101		N
L0452	00200	4	INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS WITH RIGID																																													
L0452	00300	4	"STAYS OR PANEL(S), INCLUDES SHOULDER STRAPS AND CLOSURES, CUSTOM FABRICATED"																																													
L0454	00100	3	"TLSO FLEXIBLE, PROVIDES TRUNK SUPPORT, EXTENDS FROM SACROCOCCYGEAL JUNCTION TO"	TLSO flex prefab sacrococ-T9	38				A																					C							D1F		P					  0	20030101	20030101		N
L0454	00200	4	"ABOVE T-9 VERTEBRA, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL PLANE,"																																													
L0454	00300	4	PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS WITH																																													
L0454	00400	4	"RIGID STAYS OR PANEL(S), INCLUDES SHOULDER STRAPS AND CLOSURES, PREFABRICATED,"																																													
L0454	00500	4	INCLUDES FITTING AND ADJUSTMENT																																													
L0456	00100	3	"TLSO, FLEXIBLE, PROVIDES TRUNK SUPPORT, THORACIC REGION, RIGID POSTERIOR PANEL"	TLSO flex prefab	38				A																					C							D1F		P					  0	20030101	20030101		N
L0456	00200	4	"AND SOFT ANTERIOR APRON, EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND"																																													
L0456	00300	4	"TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, RESTRICTS GROSS TRUNK MOTION IN"																																													
L0456	00400	4	"THE SAGITTAL PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE"																																													
L0456	00500	4	"INTERVERTEBRAL DISKS, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES"																																													
L0456	00600	4	FITTING AND ADJUSTMENT																																													
L0458	00100	3	"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, TWO RIGID PLASTIC"	TLSO 2Mod symphis-xipho pre	38				A																					C							D1F		P					  0	20030101	20030101		N
L0458	00200	4	"SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST"																																													
L0458	00300	4	"INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO"																																													
L0458	00400	4	"THE XIPHOID, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL,"																																													
L0458	00500	4	"AND TRANVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND"																																													
L0458	00600	4	"STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES"																																													
L0458	00700	4	FITTING AND ADJUSTMENT																																													
L0460	00100	3	"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, TWO RIGID PLASTIC"	TLSO2Mod symphysis-stern pre	38				A																					C							D1F		P					  0	20030101	20030101		N
L0460	00200	4	"SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST"																																													
L0460	00300	4	"INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO"																																													
L0460	00400	4	"THE STERNAL NOTCH, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL,"																																													
L0460	00500	4	"CORONAL, AND TRANSVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING"																																													
L0460	00600	4	"PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED,"																																													
L0460	00700	4	INCLUDES FITTING AND ADJUSTMENT																																													
L0462	00100	3	"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, THREE RIGID PLASTIC"	TLSO 3Mod sacro-scap pre	38				A																					C							D1F		P					  0	20030101	20030101		N
L0462	00200	4	"SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST"																																													
L0462	00300	4	"INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO"																																													
L0462	00400	4	"THE STERNAL NOTCH, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL,"																																													
L0462	00500	4	"CORONAL, AND TRANSVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING"																																													
L0462	00600	4	"PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED,"																																													
L0462	00700	4	INCLUDES FITTING AND ADJUSTMENT																																													
L0464	00100	3	"TLSO, TRIPLANAR CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, FOUR RIGID PLASTIC"	TLSO 4Mod sacro-scap pre	38				A																					C							D1F		P					  0	20030101	20030101		N
L0464	00200	4	"SHELLS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION AND TERMINATES JUST"																																													
L0464	00300	4	"INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO THE"																																													
L0464	00400	4	"STERNAL NOTCH, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL,"																																													
L0464	00500	4	"AND TRANSVERSE PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND"																																													
L0464	00600	4	"STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES"																																													
L0464	00700	4	FITTING AND ADJUSTMENT																																													
L0466	00100	3	"TLSO, SAGITTAL CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT ANTERIOR APRON"	TLSO rigid frame pre soft ap	38				A																					C							D1F		P					  0	20030101	20030101		N
L0466	00200	4	"WITH STRAPS, CLOSURES AND PADDING, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL"																																													
L0466	00300	4	"PLANE, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISKS,"																																													
L0466	00400	4	"INCLUDES FITTING AND SHAPING THE FRAME, PREFABRICATED, INCLUDES FITTING AND"																																													
L0466	00500	4	ADJUSTMENT																																													
L0468	00100	3	"TLSO, SAGITTAL-CORONAL CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT"	TLSO rigid frame prefab pelv	38				A																					C							D1F		P					  0	20030101	20030101		N
L0468	00200	4	"ANTERIOR APRON WITH STRAPS, CLOSURES AND PADDING, EXTENDS FROM SACROCOCCYGEAL"																																													
L0468	00300	4	"JUNCTION OVER SCAPULAE, LATERAL STRENGTH PROVIDED BY PELVIC, THORACIC, AND"																																													
L0468	00400	4	"LATERAL FRAME PIECES, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, AND CORONAL"																																													
L0468	00500	4	"PLANES, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISKS,"																																													
L0468	00600	4	"INCLUDES FITTING AND SHAPING THE FRAME, PREFABRICATED, INCLUDES FITTING AND"																																													
L0468	00700	4	ADJUSTMENT																																													
L0470	00100	3	"TLSO, TRIPLANAR CONTROL, RIGID POSTERIOR FRAME AND FLEXIBLE SOFT ANTERIOR APRON"	TLSO rigid frame pre subclav	38				A																					C							D1F		P					  0	20030101	20030101		N
L0470	00200	4	"WITH STRAPS, CLOSURES AND PADDING EXTENDS FROM SACROCOCCYGEAL JUNCTION TO"																																													
L0470	00300	4	"SCAPULA, LATERAL STRENGTH PROVIDED BY PELVIC, THORACIC, AND LATERAL FRAME"																																													
L0470	00400	4	"PIECES, ROTATIONAL STRENGTH PROVIDED BY SUBCLAVICULAR EXTENSIONS, RESTRICTS"																																													
L0470	00500	4	"GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, PROVIDES"																																													
L0470	00600	4	"INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISKS, INCLUDES"																																													
L0470	00700	4	"FITTING AND SHAPING THE FRAME, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"																																													
L0472	00100	3	"TLSO, TRIPLANAR CONTROL, HYPEREXTENSION, RIGID ANTERIOR AND LATERAL FRAME"	TLSO rigid frame hyperex pre	38				A																					C							D1F		P					  0	20030101	20030101		N
L0472	00200	4	EXTENDS FROM SYMPHYSIS PUBIS TO STERNAL NOTCH WITH TWO ANTERIOR COMPONENTS (ONE																																													
L0472	00300	4	"PUBIC AND ONE STERNAL), POSTERIOR AND LATERAL PADS WITH STRAPS AND CLOSURES,"																																													
L0472	00400	4	"LIMITS SPINAL FLEXION, RESTRICTS GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND"																																													
L0472	00500	4	"TRANSVERSE PLANES, INCLUDES FITTING AND SHAPING THE FRAME, PREFABRICATED,"																																													
L0472	00600	4	INCLUDES FITTING AND ADJUSTMENT																																													
L0480	00100	3	"TLSO, TRIPLANAR CONTROL, ONE PIECE RIGID PLASTIC SHELL WITHOUT INTERFACE LINER,"	TLSO rigid plastic custom fa	38				A																					C							D1F		P					  0	20030101	20040101		N
L0480	00200	4	"WITH MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL"																																													
L0480	00300	4	"JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM"																																													
L0480	00400	4	"SYMPHYSIS PUBIS TO STERNAL NOTCH, ANTERIOR OR POSTERIOR OPENING, RESTRICTS"																																													
L0480	00500	4	"GROSS TRUNK MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, INCLUDES A"																																													
L0480	00600	4	"CARVED PLASTER OR CAD-CAM MODEL, CUSTOM FABRICATED"																																													
L0482	00100	3	"TLSO, TRIPLANAR CONTROL, ONE PIECE RIGID PLASTIC SHELL WITH INTERFACE LINER,"	TLSO rigid lined custom fab	38				A																					C							D1F		P					  0	20030101	20030101		N
L0482	00200	4	"MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION"																																													
L0482	00300	4	"AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS"																																													
L0482	00400	4	"PUBIS TO STERNAL NOTCH, ANTERIOR OR POSTERIOR OPENING, RESTRICTS GROSS TRUNK"																																													
L0482	00500	4	"MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, INCLUDES A CARVED PLASTER"																																													
L0482	00600	4	"OR CAD-CAM MODEL, CUSTOM FABRICATED"																																													
L0484	00100	3	"TLSO, TRIPLANAR CONTROL, TWO PIECE RIGID PLASTIC SHELL WITHOUT INTERFACE LINER,"	TLSO rigid plastic cust fab	38				A																					C							D1F		P					  0	20030101	20030101		N
L0484	00200	4	"WITH MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL"																																													
L0484	00300	4	"JUNCTION AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM"																																													
L0484	00400	4	"SYMPHYSIS PUBIS TO STERNAL NOTCH, LATERAL STRENGTH IS ENHANCED BY OVERLAPPING"																																													
L0484	00500	4	"PLASTIC, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL, AND TRANSVERSE"																																													
L0484	00600	4	"PLANES, INCLUDES A CARVED PLASTER OR CAD-CAM MODEL, CUSTOM FABRICATED"																																													
L0486	00100	3	"TLSO, TRIPLANAR CONTROL, TWO PIECE RIGID PLASTIC SHELL WITH INTERFACE LINER,"	TLSO rigidlined cust fab two	38				A																					C							D1F		P					  0	20030101	20030101		N
L0486	00200	4	"MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION"																																													
L0486	00300	4	"AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS"																																													
L0486	00400	4	"PUBIS TO STERNAL NOTCH, LATERAL STRENGTH IS ENHANCED BY OVERLAPPING PLASTIC,"																																													
L0486	00500	4	"RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL, CORONAL, AND TRANSVERSE PLANES,"																																													
L0486	00600	4	"INCLUDES A CARVED PLASTER OR CAD-CAM MODEL, CUSTOM FABRICATED"																																													
L0488	00100	3	"TLSO, TRIPLANAR CONTROL, ONE PIECE RIGID PLASTIC SHELL WITH INTERFACE LINER,"	TLSO rigid lined pre one pie	38				A																					C							D1F		P					  0	20030101	20030101		N
L0488	00200	4	"MULTIPLE STRAPS AND CLOSURES, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION"																																													
L0488	00300	4	"AND TERMINATES JUST INFERIOR TO SCAPULAR SPINE, ANTERIOR EXTENDS FROM SYMPHYSIS"																																													
L0488	00400	4	"PUBIS TO STERNAL NOTCH, ANTERIOR OR POSTERIOR OPENING, RESTRICTS GROSS TRUNK"																																													
L0488	00500	4	"MOTION IN SAGITTAL, CORONAL, AND TRANSVERSE PLANES, PREFABRICATED, INCLUDES"																																													
L0488	00600	4	FITTING AND ADJUSTMENT																																													
