Common name	syn_list
IOBENGUANE	['((3-IODOPHENYL)METHYL)GUANIDINE', '3-IODOBENZYLGUANIDINE', 'M-IODOBENZYLGUANIDINE', 'METAIODOBENZYLGUANIDINE', 'MIBG']
GADOFOSVESET TRISODIUM	['GADOFOSVESET']
ISOMETHEPTENE	['ISOMETEPTENO', 'ISOMETHEPTENE', 'ISOMETHEPTENUM']
LEVONORDEFRIN	['(-)-COBEFRIN', 'ALPHA-METHYLNORADRENALINE', 'CORBADRINA', 'CORBADRINE', 'CORBADRINUM', 'L-ALPHA-METHYLNORADRENALINE', 'L-NORDEFRIN', 'LEVONORDEFRIN', 'NEO-COBEFRIN']
LUMEFANTRINE	['(±)-2,7-DICHLORO-9-((Z)-P-CHLOROBENZYLIDENE)-Α-((DIBUTYLAMINO)METHYL)FLUORENE-4-METHANOL', '2-DIBUTYLAMINO-1-[2,7-DICHLORO-9-(4-CHLORO-BENZYLIDENE)-9H-FLUOREN-4-YL]-ETHANOL', '2-DIBUTYLAMINO-1-{2,7-DICHLORO-9-[1-(4-CHLORO-PHENYL)-METH-(Z)-YLIDENE]-9H-FLUOREN-4-YL}-ETHANOL', 'BENFLUMETOL', 'DL-BENFLUMELOL', 'LUMEFANTRINE']
METHACHOLINE	['ACETYL-BETA-METHYLCHOLINE', 'ACETYLMETHYLCHOLINE', 'BETA-METHYLACETYLCHOLINE', 'MCH', 'METHACHOLINE', 'METHACHOLINUM']
METHYLTESTOSTERONE	['17-BETA-HYDROXY-17-METHYLANDROST-4-EN-3-ONE', '17-METHYLTESTOSTERONE', '17ALPHA-METHYL-3-OXO-4-ANDROSTEN-17BETA-OL', '17ALPHA-METHYLTESTOSTERONE', '17BETA-HYDROXY-17-METHYLANDROST-4-EN-3-ONE', '17Α-METHYL-Δ4-ANDROSTEN-17Β-OL-3-ONE', '17Α-METHYLTESTOSTERONE', '4-ANDROSTENE-17ALPHA-METHYL-17BETA-OL-3-ONE', 'METHYLTESTOSTERONE', 'METHYLTESTOSTERONUM', 'METILTESTOSTERONA']
NAPHAZOLINE	['NAFAZOLIN', 'NAFAZOLINA', 'NAPHAZOLINE']
NILVADIPINE	['NILVADIPINE', 'NILVADIPINO', 'NILVADIPINUM']
NORELGESTROMIN	['17-DEACETYLNORGESTIMATE', '17-DEACYLNORGESTIMATE', '18-METHYLNORETHINDRONE OXIME', 'D-NORGESTREL 3-OXIME', 'DEACETYLNORGESTIMATE', 'LEVONORGESTREL 3-OXIME', 'LEVONORGESTREL OXIME', 'NORELGESTROMIN', 'NORELGESTROMINA', 'NORPLANT 3-OXIME']
PROPYLHEXEDRINE	['PROPYLHEXEDRINE']
POTASSIUM IODIDE	['KALIUMIODID', 'KI', 'POTASIO IODURO', 'POTASSIUM IODIDE']
FOSPROPOFOL	['FOSPROPOFOL']
FOSAPREPITANT	['FOSAPRÉPITANT', 'FOSAPREPITANT', 'FOSAPREPITANTUM']
STANOZOLOL	['ANDROSTANAZOL', 'ANDROSTANAZOLE', 'ESTANOZOLOL']
BUSERELIN	['(DES-GLY10,D-SER(TBU)6,PRO-NHET9)-LHRH', 'BUSERELINA', 'D-SER(TBU)6EA10LHRH', 'ETILAMIDE', 'TILORYTH']
VELAGLUCERASE ALFA	['GA-GCB', 'VELAGLUCERASA ALFA']
ALUMINUM HYDROXIDE	['ALUMINIO HIDRÓXIDO', 'ALUMINIUM HYDROXIDE', 'ALUMINIUM HYDROXIDE GEL, DRIED', 'ALUMINIUM HYDROXIDE, DRIED', 'ALUMINUM HYDROXIDE GEL, DRIED', 'ALUMINUM HYDROXIDE, DRIED', 'DRIED ALUMINIUM HYDROXIDE', 'DRIED ALUMINUM HYDROXIDE GEL']
CALCIUM CARBONATE	['CALCIO CARBONATO', 'CALCIUM CARBONATE (1:1)', 'CALCIUMCARBONAT', 'CARBONATE DE CALCIUM', 'CARBONATO DE CALCIO', 'CARBONIC ACID CALCIUM SALT (1:1)', 'CHALK', 'KALZIUMKARBONAT', 'KOHLENSAURER KALK', 'PRECIPITATED CALCIUM CARBONATE']
LORNOXICAM	['CHLORTENOXICAM', 'LORNOXICAM', 'LORNOXICAMUM']
BUFURALOL	['BUFURALOL', 'BUFURALOLUM']
SPARTEINE	['(-)-SPARTEINE', '6Β,7Α,9Α,11Α-PACHYCARPINE', 'ESPARTEINA', 'LUPINIDINE', 'SPARTEINA', 'SPARTEINE', 'SPARTEINUM']
ANILINE	"['AMINOBENZENE', 'AMINOPHEN', 'ANILIN', 'ANILINA', 'ANILINE OIL', 'ANILINUM', 'BENZENAMINE', 'BENZENEAMINE', 'FENTANYL IMPURITY F', ""HUILE D'ANILINE"", 'KYANOL', 'PHENYLAMINE', 'TRIMETHOPRIM SPECIFIED IMPURITY K']"
SULFAPHENAZOLE	"['1-PHENYL-5-SULFANILAMIDOPYRAZOLE', '3-(P-AMINOBENZENESULFONAMIDO)-2-PHENYLPYRAZOLE', '5-SULFANILAMIDO-1-PHENYLPYRAZOLE', ""N'-(1-PHENYLPYRAZOL-5-YL)SULFANILAMIDE"", 'N(1)-(1-PHENYLPYRAZOL-5-YL)SULFANILAMIDE', 'SULFAFENAZOL', 'SULFAFENAZOLO', 'SULFAPHÉNAZOL', 'SULFAPHENAZOLE', 'SULFAPHENAZOLUM', 'SULPHAPHENAZOLE']"
GESTODENE	['GESTODENE', 'GESTODENO', 'GESTODENUM']
SEPROXETINE	['(S)-NORFLUOXETINE']
BETA-NAPHTHOFLAVONE	['3-PHENYL-1H-NAPHTHO(2,1-B)PYRAN-1-ONE', '5,6-BENZOFLAVONE', 'BETA-NF', 'Β-NF']
BAFILOMYCIN B1	['SETAMYCIN']
ENCLOMIPHENE	['ENCLOMIFENO', 'ENCLOMIFENUM', 'TRANS-CLOMIFENE', 'TRANS-CLOMIPHENE']
ACECLOFENAC	"['2-[(2,6-DICHLOROPHENYL)AMINO]BENZENEACETIC ACID CARBOXYMETHYL ESTER', '2-[(2,6-DICHLOROPHENYL)AMINO]PHENYLACETOXYACETIC ACID', ""2-[(2',6'-DICHLOROPHENYL)AMINO]PHENYLACETOXYACETIC ACID"", 'ACECLOFENAC', 'ACÉCLOFÉNAC', 'ACECLOFENAC BETADEX', 'ACECLOFENACO', 'ACECLOFENACUM', 'GLYCOLIC ACID [O-(2,6-DICHLOROANILINO)PHENYL]ACETATE ESTER']"
ZALTOPROFEN	['ZALTOPROFEN', 'ZALTOPROFENE', 'ZALTOPROFENO', 'ZALTOPROFENUM']
KETOBEMIDONE	['CETOBEMIDONA', 'CETOBEMIDONE', 'CETOBEMIDONUM']
BW-A 58C	"['2-(4-(1,1-DIMETHYLETHYL)CYCLOHEXYL)-3-HYDROXY-1,4-NAPHTHALENEDIONE', '2-(4-TERT-BUTYLCYCLOHEXYL)-3-HYDROXY-1,4-NAPHTHOQUINONE', ""2-(4'-T-BUTYLCYCLOHEXYL)-3-HYDROXY-1,4-NAPHTHOQUINONE"", '2-[4-(1,1-DIMETHYLETHYL)CYCLOHEXYL]-3-HYDROXY-1,4-NAPHTHALENEDIONE']"
AMBROXOL	['AMBROXOLUM', 'BISOLVON METABOLITE VIII', 'BROMHEXINE METABOLITE VIII', 'BROMHEXINE-METABOLITE VIII', 'CYCLOHEXANOL, 4-((2-AMINO-3,5-DIBROMOBENZYL)AMINO)- (E)-', 'N-(2-AMINO-3,4-DIBROMOCICLOHEXIL)-TRANS-4-AMINOCICLOHEXANOL', 'N-(2-AMINO-3,4-DIBROMOCYCLOHEXYL)-TRANS-4-AMINOCYCLOHEXANOL', 'TRANS-4-((2-AMINO-3,5-DIBROMOBENCIL)AMINO)CICLOHEXANOL', 'TRANS-4-((2-AMINO-3,5-DIBROMOBENZYL)AMINE)CYCLOHEXANOL', 'TRANS-4-((2-AMINO-3,5-DIBROMOBENZYL)AMINO)CYCLOHEXANOL']
GINKGOLIDE A	['GINKGOLIDE-A']
GINSENOSIDE C	['GINSENOSIDE RB2']
GINSENOSIDE RB1	['ARASAPONIN E1', 'GRB 1', 'GYNOSAPONIN C', 'GYPENOSIDE III', 'PANAX SAPONIN E', 'PSEUDOGINSENOSIDE D', 'SANCHINOSIDE E1']
GINSENOSIDE RG1	['GINSENOSIDE A2', 'PANAXOSIDE A', 'SANCHINOSIDE C1']
DROTAVERINE	['DROTAVERIN', 'DROTAVERINA', 'DROTAVERINE', 'DROTAVERINUM']
TRICLOFOS	['TRICLOFOS']
BETA CAROTENE	['ALL-TRANS-Β-CAROTENE', 'BETA CAROTENE', 'BETA-CAROTENE', 'BETACAROTENE', 'Β-KAROTIN']
GLYCINE BETAINE	['2-(TRIMETHYLAMMONIO)ACETATE', '2-N,N,N-TRIMETHYLAMMONIO ACETATE', '2-TRIMETHYLAMMONIOACETATE', 'ABROMINE', 'ACIDOL', 'BETAÍNA ANHIDRA', 'BETAINE', 'BETAINE, ANHYDROUS', 'GLYCINEBETAINE', 'N,N,N-TRIMETHYLAMMONIOACETATE', 'N,N,N-TRIMETHYLGLYCINE', 'TMG', 'TRIMETHYLAMINOACETATE', 'TRIMETHYLAMMONIOACETATE', 'TRIMETHYLGLYCINE', 'TRIMETHYLGLYCOCOLL']
PINACIDIL	['PINACIDIL ANHYDROUS']
TETRYZOLINE	['(RS)-2-(1,2,3,4-TETRAHYDRONAPHTHALEN-1-YL)-4,5-DIHYDRO-1H-IMIDAZOLE', '2-(1,2,3,4-TETRAHYDRO-1-NAPHTHYL)-2-IMIDAZOLINE', '2-TETRALIN-1-YL-4,5-DIHYDRO-1H-IMIDAZOLE', '4,5-DIHYDRO-2-(1,2,3,4-TETRAHYDRO-1-NAPHTHALENYL)-1H-IMIDAZOLE', 'TETRAHYDROZOLINE', 'TETRIZOLINA', 'TETRYZOLIN', 'TETRYZOLINA', 'TÉTRYZOLINE', 'TETRYZOLINE', 'TETRYZOLINUM']
ALCAFTADINE	['ALCAFTADINA', 'ALCAFTADINE', 'ALCAFTADINUM']
AMMONIUM LACTATE	['AMMONIUM (+-)-LACTATE', 'AMMONIUM LACTATE', 'LACTIC ACID AMMONIUM SALT']
BENDAMUSTINE	['BENDAMUSTINA', 'BENDAMUSTINE', 'RIBOMUSTINE']
BENZYL ALCOHOL	['(HYDROXYMETHYL)BENZENE', 'ALCOHOLUM BENZYLICUM', 'ALCOOL BENZYLIQUE', 'ALCOOLBENZYLIQUE', 'ALPHA-HYDROXYTOLUENE', 'AROMATIC ALCOHOL', 'BENTALOL', 'BENZALALCOHOL', 'BENZALCOHOL', 'BENZENECARBINOL', 'BENZENEMETHANOL', 'BENZOYL ALCOHOL', 'BENZYL ALCOHOL', 'BENZYLALKOHOL', 'BENZYLIC ALCOHOL', 'HYDROXYMETHYLBENZENE', 'PHENYLCARBINOL', 'PHENYLMETHANOL', 'PHENYLMETHYL ALCOHOL', 'Α-TOLUENOL']
BESIFLOXACIN	['BESIFLOXACIN']
CABAZITAXEL	['CABAZITAXEL', 'CABAZITAXELUM']
HUMAN CALCITONIN	['CALCITONIN (HUMAN SYNTHETIC)', 'CALCITONIN (HUMAN)', 'CALCITONIN HUMAN', 'CALCITONIN, HUMAN', 'CALCITONIN, HUMAN SYNTHETIC']
CAPSAICIN	['(E)-8-METHYL-N-VANILLYL-6-NONENAMIDE', 'CAPSAICIN', 'CAPSAICINA', 'ISODECENOIC ACID VANILLYLAMIDE', 'TRANS-8-METHYL-N-VANILLYL-6-NONENAMIDE']
CARGLUMIC ACID	['(2S)-2-(CARBAMOYLAMINO)PENTANEDIOIC ACID', '(S)-2-UREIDOPENTANEDIOIC ACID', 'ACIDE CARGLUMIQUE', 'ÁCIDO CARGLÚMICO', 'ACIDUM CARGLUMICUM', 'CARBAMINO-L-GLUTAMIC ACID', 'CARBAMYLGLUTAMIC ACID', 'CARGLUMIC ACID', 'L-N-CARBAMOYLGLUTAMIC ACID', 'N-CARBAMOYL-L-GLUTAMIC ACID', 'N-CARBAMYL-L-GLUTAMATE', 'N-CARBAMYLGLUTAMATE', 'UREIDOGLUTARIC ACID']
SODIUM CELLULOSE PHOSPHATE	['CELLULOSE DIHYDROGEN PHOSPHATE, DISODIUM SALT', 'CELLULOSE DISODIUM PHOSPHATE', 'CELLULOSE SODIUM PHOSPHATE']
CHENODEOXYCHOLIC ACID	['3ALPHA,7ALPHA-DIHYDROXY-5BETA-CHOLANIC ACID', '7Α-HYDROXYLITHOCHOLIC ACID', 'ACIDE CHENODEOXYCHOLIQUE', 'ACIDO CHENODEOXICHOLICO', 'ACIDUM CHENODEOXYCHOLICUM', 'ANTHROPODEOXYCHOLIC ACID', 'ANTHROPODESOXYCHOLIC ACID', 'CDCA', 'CHENIC ACID', 'CHENOCHOLIC ACID', 'CHENODEOXYCHOLATE', 'CHENODEOXYCHOLIC ACID', 'CHENODESOXYCHOLIC ACID', 'CHENODIOL', 'GALLODESOXYCHOLIC ACID']
CUPRIC SULFATE	['COPPER MONOSULFATE', 'COPPER MONOSULPHATE', 'COPPER SULFATE', 'COPPER SULFATE (1:1)', 'COPPER SULPHATE', 'COPPER(2+) SULFATE', 'COPPER(II) SULPHATE', 'CUPRIC SULFATE ANHYDROUS', 'CUPRIC SULFATE, ANHYDROUS', 'CUPRIC SULPHATE ANHYDROUS', 'CUPRIC SULPHATE, ANHYDROUS']
DALTEPARIN	['ALPHA-HEPARIN']
DESOXYCORTICOSTERONE ACETATE	['11-DEOXYCORTICOSTERONE ACETATE', 'DEOXYCORTICOSTERONE ACETATE', 'DESOXYCORTICOSTERONE-21-ACETATE', 'DESOXYCORTONE ACETATE', 'DOCA']
DIFLUPREDNATE	['DFBA', 'DIFLUOROPREDNISOLONE BUTYRATE ACETATE', 'DIFLUPREDNATE']
DIMERCAPROL	['1,2-DIMERCAPTO-3-PROPANOL', '1,2-DITHIOGLYCEROL', '2,3-DIMERCAPTO-1-PROPANOL', '2,3-DIMERCAPTOL-1-PROPANOL', '2,3-DIMERCAPTOPROPANOL', '2,3-DITHIOPROPANOL', '2,3-MERCAPTOPROPAN-1-OL', '2,3-MERCAPTOPROPANOL', '3-HYDROXY-1,2-PROPANEDITHIOL', 'BAL', 'BRITISH ANTI-LEWISITE', 'BRITISH ANTILEWISITE', 'DIMERCAPROL', 'DIMERCAPROLUM', 'DIMERCAPTOPROPANOL', 'DITHIOGLYCERINE', 'DITHIOGLYCEROL', 'SULFACTIN', 'Α,Β-DITHIOGLYCEROL']
PRUSSIAN BLUE	['BERLIN BLUE', 'FERRIC FERROCYANIDE', 'FERRIC HEXACYANOFERRATE', 'FERRIC HEXACYANOFERRATE(II)', 'FERROCIN', 'IRON(III) FERROCYANIDE', 'IRON(III) HEXACYANOFERRATE(II)', 'PARIS BLUE', 'PARISIAN BLUE', 'PRUSSIAN BLUE INSOLUBLE']
GALLIUM CITRATE GA 67	['GALLIUM (67 GA) CITRATE', 'GALLIUM CITRATE GA 67', 'GALLIUM CITRATE GA-67', 'GALLIUM-67 CITRATE']
GANIRELIX	['GANIRELIX']
HALCINONIDE	"[""(4AS,4BR,5S,6AS,6BS,9AR,10AS,10BS)-6B-(CHLOROACETYL)-4B-FLUORO-5-HYDROXY-4A,6A,8,8-TETRAMETHYL-3,4,4A,4B,5,6,6A,6B,9A,10,10A,10B,11,12-TETRADECAHYDRO-2H-NAPHTHO[2',1':4,5]INDENO[1,2-D][1,3]DIOXOL-2-ONE"", 'HALCINONID', 'HALCINONIDA', 'HALCINONIDE', 'HALCINONIDUM']"
HISTRELIN	['[(IM-BZL)-D-HIS6,PRO9-NET]-GONADOTROPIN RELEASING HORMONE', '5-OXO-L-PROLYL-L-HISTIDYL-L-TRYPTOPHYL-L-SERYL-L-TYROSYL-1-BENZYL-D-HISTIDYL-L-LEUCYL-L-ARGINYL-N-ETHYL-L-PROLINAMIDE', '5-OXO-L-PROLYL-L-HISTIDYL-L-TRYPTOPHYL-L-SERYL-L-TYROSYL-NΤ-BENZYL-D-HISTIDYL-L-LEUCYL-L-ARGINYL-N-ETHYL-L-PROLINAMIDE', 'HISTRELIN', 'HISTRELINA', 'HISTRELINE', 'HISTRELINUM', 'L-PYROGLUTAMYL-L-HISTIDYL-L-TRYPTOPHYL-L-SERYL-L-TYROSYL-D-NIM-BENZYL-HISTIDYL-L-LEUCYL-L-ARGINYL-L-PROLINE ETHYLAMIDE']
HYDROXYPROGESTERONE CAPROATE	"['17-ALPHA-HYDROXY-PROGESTERONE CAPROATE', '17ALPHA-CAPROYLOXYPREGN-4-ENE-3,20-DIONE', '17ALPHA-HYDROXYPROGESTERONE HEXANOATE', ""CAPROATE D'HYDROXYPROGESTERONE"", 'CAPROATO DE HIDROXIPROGESTERONA', 'HYDROXYPROGESTERONE CAPROATE', 'HYDROXYPROGESTERONE HEXANOATE']"
LANREOTIDE	['LANREOTIDA', 'LANREOTIDE']
LANTHANUM CARBONATE	['LANTHANUM (III) CARBONATE', 'LANTHANUM CARBONATE ANHYDROUS', 'LANTHANUM SESQUICARBONATE', 'LANTHANUM(3+) CARBONATE']
LEVOPROPOXYPHENE	['(-)-PROPOXYPHENE', '(L)-PROPOXYPHENE', 'LEVOPROPOXIFENO', 'LEVOPROPOXYPHENE']
LODOXAMIDE	"['LODOXAMIDA', 'LODOXAMIDE', ""N,N'-(2-CHLORO-5-CYANO-M-PHENYLENE)DIOXAMATE""]"
MAFENIDE	['4-(AMINOMETHYL)BENZENESULFONAMIDE', '4-HOMOSUFANILAMIDE', 'BENSULFAMIDE', 'MAFENIDE', 'MAPHENIDUM']
MEBUTAMATE	['2-METHYL-2-SEC-BUTYL-1,3-PROPANEDIOL DICARBAMATE', '2-SEC-BUTYL-2-METHYL-1,3-PROPANEDIOL DICARBAMATE', '2-SEC-BUTYL-2-METHYLPROPANE-1,3-DIYL DICARBAMATE', '2-SEC-BUTYL-2-METHYLTRIMETHYLENE DICARBAMATE', '2,2-DICARBAMYLOXYMETHYL-3-METHYLPENTANE', 'DICAMOYLMETHTANE', 'MEBUTAMATO', 'MEBUTAMATUM']
METHENAMINE	['1,3,5,7-TETRAAZATRICYCLO[3.3.1.13,7]DECANE', 'HEXAMETHYLENAMINE', 'HEXAMETHYLENE TETRAMINE', 'HEXAMETHYLENETETRAMINE', 'HEXAMETHYLENTETRAMIN', 'HEXAMETHYLENTETRAMINUM', 'HEXAMINE', 'HEXAMINUM', 'HMT', 'HMTA', 'METENAMINA', 'MÉTHÉNAMINE', 'METHENAMINE', 'METHENAMINUM']
METHYLNALTREXONE	['MNTX']
MONOCTANOIN	['1-MONOCAPRYLIN', '2,3-DIHYDROXYPROPYL OCTANOATE', 'CAPRYLIC ACID Α-MONOGLYCERIDE', 'MONOOCTANOIN', 'OCTANOIC ACID 1-MONOGLYCERIDE']
NEPAFENAC	['2-AMINO-3-BENZOYLBENZENEACETAMIDE', 'NEPAFENAC', 'NÉPAFÉNAC', 'NEPAFENACO', 'NEPAFENACUM']
NONOXYNOL-9	['26-(NONYLPHENOXY)-3,6,9,12,15,18,21,24-OCTAOXAHEXACOSAN-1-OL', 'NONAETHYLENE GLYCOL MONO(NONYLPHENYL) ETHER', 'NONAETHYLENE GLYCOL NONYLPHENYL ETHER', 'NONOXYNOL 9', 'NONYLPHENOL OCTA(OXYETHYLENE) ETHANOL', 'P-NONYLPHENYL POLYETHYLENE GLYCOL ETHER', 'PEG-9 NONYL PHENYL ETHER', 'POLYOXYETHYLENE (9) NONYL PHENYL ETHER', 'TERGITOL NP-9', 'TERGITOL NP9']
PHENYL AMINOSALICYLATE	['FENAMISAL', 'FENAMISALUM', 'P-AMINOSALOL', 'PHENYL 4-AMINOSALICYLATE', 'PHENYL PAS']
PLERIXAFOR	['PLERIXAFOR']
PLICAMYCIN	['AUREOLIC ACID', 'MITHRAMYCIN', 'MITHRAMYCINE', 'MITHRAMYCINUM', 'PLICAMICINA', 'PLICAMYCIN', 'PLICAMYCINE', 'PLICAMYCINUM']
POLIDOCANOL	['AETHOXY-SKLEROL', 'LAURETH 9', 'LAURETH-9', 'MACROGOL 9 LAURYL ETHER', 'NONAETHYLENE GLYCOL MONODODECYL ETHER', 'NONAETHYLENE GLYCOL MONOLAURYL ETHER', 'PEG-9 LAURYL ETHER', 'POLYDOCANOL', 'POLYETHYLENE GLYCOL 450 LAURYL ETHER', 'POLYOXYL 9 LAURYL ETHER']
POVIDONE-IODINE	['IODOPOVIDONE', 'POVIDONE IODINE', 'PVP-I']
PRALATREXATE	['(2S)-2-((4-((1RS)-1-((2,4-DIAMINOPTERIDIN-6-YL)METHYL)BUT-3-YNYL)BENZOYL)AMINO)PENTANEDIOIC ACID', '(2S)-2-({4-[1-(2,4-DIAMINOPTERIDIN-6-YL)PENT-4-YN-2-YL]BENZOYL}AMINO)PENTANEDIOIC ACID', '10-PROPARGYL-10-DEAZAAMINOPTERIN', 'N-(4-(1-((2,4-DIAMINO-6-PTERIDINYL)METHYL)-3-BUTYNYL)BENZOYL)-L-GLUTAMIC ACID', 'PDX', 'PRALATREXATE', 'PRALATREXATO', 'PRALATREXATUM']
PROTOKYLOL	['PROTOKYLOLUM', 'PROTOQUILOL']
PYRITHIONE	['2-PYRIDINETHIOL 1-OXIDE', 'OMADINE', 'PYRIDINETHIOL N-OXIDE']
RALTEGRAVIR	['RALTEGRAVIR']
PHENYLBUTYRIC ACID	['4-PHENYL-N-BUTYRIC ACID', '4-PHENYLBUTYRATE', '4-PHENYLBUTYRIC ACID', 'BENZENEBUTYRIC ACID', 'PBA', 'PHENYLBUTYRATE', 'Γ-PHENYL-N-BUTYRIC ACID', 'Γ-PHENYLBUTYRIC ACID', 'Ω-PHENYLBUTANOIC ACID', 'Ω-PHENYLBUTYRIC ACID']
SULCONAZOLE	['SULCONAZOLE']
SULFAMETER	['SULFA-5-METHOXYPYRIMIDINE', 'SULFAMETHOXYDIAZINE', 'SULFAMETOXIDIAZINA', 'SULFAMETOXYDIAZINE', 'SULFAMETOXYDIAZINUM']
TINZAPARIN	['TINZAPARIN SODIUM', 'TINZAPARINA']
TIOPRONIN	['TIOPRONIN', 'TIOPRONINE', 'TIOPRONINO', 'TIOPRONINUM']
TRIETHYLENETETRAMINE	['TETA', 'TRIEN', 'TRIENTINE']
TRIPTORELIN	['(6-D-TRYPTOPHAN)LUTEINIZING HORMONE-RELEASING HORMONE', '(D-TRP6)-GNRH', 'LUTEINIZING HORMONE-RELEASING FACTOR (PIG), 6-D-TRYPTOPHAN', 'PGLU-HIS-TRP-SER-TYR-D-TRP-LEU-ARG-PRO-GLY-NH2', 'TRIPTORELIN', 'TRIPTORELINA', 'TRIPTORELINE', 'TRIPTORELINUM']
UNOPROSTONE	['13,14-DIHYDRO-15-KETO-20-ETHYL PGF2Α', 'UNOPROSTONE']
VIOMYCIN	['VIOMICINA']
ERIBAXABAN	['ERIBAXABÁN', 'ERIBAXABAN']
(R)-ATENOLOL	['(+)-ATENOLOL', '(R)-(+)-ATENOLOL']
HYMECROMONE	['HIMECROMONA', 'HYMECROMONE']
TAMATINIB	['6-({5-FLUORO-2-[(3,4,5-TRIMETHOXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-2,2-DIMETHYL-2H-PYRIDO[3,2-B][1,4]OXAZIN-3(4H)-ONE']
VELIPARIB	['(2R)-2-(7-CARBAMOYL-1H-BENZIMIDAZOL-2-YL)-2-METHYLPYRROLIDINIUM', '2-((2R)-2-METHYLPYRROLIDIN-2-YL)-1H-BENZIMIDAZOLE-4-CARBOXAMIDE', 'VELIPARIB']
BREFELDIN A	['(+)-BREFELDIN A', 'ASCOTOXIN', 'CYANEIN', 'DECUMBIN', 'NECTROLIDE', 'SYNERGISIDIN']
3-(10-METHYL-9-ANTHRYL)PROPANOIC ACID	['3-(10-METHYL-9-ANTHRYL)PROPIONIC ACID', '3-(10-METHYL-ANTHRACEN-9-YL)-PROPIONIC ACID']
(S)-ATROLACTIC ACID	['(S)-(+)-ATROLACTIC ACID', '(S)-2-HYDROXY-2-PHENYLPROPANOIC ACID', '(S)-2-PHENYLLACTIC ACID', '(S)-ATROLACTIC ACID']
AZAPROPAZONE	['1,2-DIHYDRO-3-DIMETHYLAMINO-7-METHYL-1,2-(PROPYLMALONYL)-1,2,4-BENZOTRIAZINE', '3-DIMETHYLAMINO-7-METHYL-1,2-(N-PROPYLMALONYL)-1,2-DIHYDRO-1,2,4-BENZOTRIAZINE', '5-(DIMETHYLAMINO)-9-METHYL-2-PROPYL-1H-PYRAZOLO(1,2-A)(1,2,4)BENZOTRIAZINE-1,3(2H)-DIONE', 'APAZONE', 'AZAPROPAZON', 'AZAPROPAZONA', 'AZAPROPAZONE', 'AZAPROPAZONUM']
S-23	['(+)-S-23', '(2S)-3-(4-CHLORO-3-FLUOROPHENOXY)-N-(4-CYANO-3-(TRIFLUOROMETHYL)PHENYL)-2-HYDROXY-2-METHYLPROPANAMIDE', 'CCTH-METHYLPROPIONAMIDE']
5BETA-DIHYDROTESTOSTERONE	['(5Β,17Β)-17-HYDROXYANDROSTAN-3-ONE', '(5Β,8Α,17Β)-17-HYDROXYANDROSTAN-3-ONE', '17Β-HYDROXYETIOCHOLAN-3-ONE', '5-BETA-DHT', '5Β-ANDROSTAN-17Β-OL-3-ONE', '5Β-DIHYDROTESTOSTERONE', '5Β,17Β-HYDROXYANDROSTAN-3-ONE', 'ETIOCHOLAN-17-BETA-OL-3-ONE']
FELBINAC	['FELBINAC']
ACETYLLEUCYL-LEUCYL-NORLEUCINAL	['AC-LEU-LEU-NLE-AL', 'ACETYL-LEUCYL-LEUCYL-NORLEUCINE-ALDEHYDE', 'ACETYLLEUCYL-LEUCYL-NORLEUCINAL', 'N-AC-LEU-LEU-NORLEUCINAL', 'N-ACETYLLEUCYLLEUCYLNORLEUCINAL']
CHLORAMPHENICOL SUCCINATE	['CHLORAMPHENICOL HEMISUCCINATE']
TRANILAST	['N-(3,4-DIMETHOXYCINNAMOYL)ANTHRANILIC ACID', 'TRANILAST', 'TRANILASTUM']
(2,6-DIMETHYLPHENOXY)ACETIC ACID	['(2,6-XYLYLOXY) ACETIC ACID']
DIBROMOTYROSINE	['3,5-DIBROMO-L-TYROSINE']
2-HYDROXYESTRADIOL	['(17Β)-ESTRA-1,3,5(10)-TRIENE-2,3,17-TRIOL', '2-HYDROXY-17BETA-ESTRADIOL', '2-HYDROXY-17Β-ESTRADIOL', '2-HYDROXYESTRADIOL-17BETA', '2-OH-ESTRADIOL']
EMODIN	['1,3,8-TRIHYDROXY-6-METHYL-9,10-ANTHRACENEDIONE', '1,3,8-TRIHYDROXY-6-METHYL-9,10-ANTHRAQUINONE', 'SCHUTTGELB']
EPIBATIDINE	['(+)-EPIBATIDINE', '(1R,2R,4S)-EPIBATIDINE']
Z-VAL-ALA-ASP FLUOROMETHYL KETONE	['N-[(BENZYLOXY)CARBONYL]-L-VALYL-N-[(2S)-1-CARBOXY-4-FLUORO-3-OXO-2-BUTANYL]-L-ALANINAMIDE', 'Z-VAD-FMK']
EPITESTOSTERONE	['(17-ALPHA)-17-HYDROXYANDROST-4-EN-3-ONE', '17-ALPHA-HYDROXYANDROST-4-EN-3-ONE', '17-ALPHA-TESTOSTERONE', '17-EPITESTOSTERONE', '17ALPHA-CIS-TESTOSTERONE', 'CIS-TESTOSTERONE', 'ISOTESTOSTERONE']
FLAVONE	['2-PHENYL-4-BENZOPYRON', '2-PHENYL-4-CHROMONE', '2-PHENYL-4H-1-BENZOPYRAN-4-ONE', '2-PHENYL-4H-BENZOPYRAN-4-ONE', '2-PHENYL-Γ-BENZOPYRONE', '2-PHENYLBENZOPYRAN-4-ONE', '2-PHENYLCHROMONE', 'FLAVON']
