A	ALIMENTARY TRACT AND METABOLISM
J01F G02	QUINUPRISTIN AND DALFOPRISTIN
J01G	AMINOGLYCOSIDE ANTIBACTERIALS
J01G A	STREPTOMYCINS
J01G A01	STREPTOMYCIN
J01G A02	STREPTODUOCIN
J01G B	OTHER AMINOGLYCOSIDES
J01G B01	TOBRAMYCIN
J01G B03	GENTAMICIN
J01G B04	KANAMYCIN
J01G B05	NEOMYCIN
J01G B06	AMIKACIN
J01G B07	NETILMICIN
J01G B08	SISOMICIN
J01G B09	DIBEKACIN
J01G B10	RIBOSTAMYCIN
J01G B11	ISEPAMICIN
J01G B12	ARBEKACIN
J01G B13	BEKANAMYCIN
J01M	QUINOLONE ANTIBACTERIALS
J01M A	FLUOROQUINOLONES
J01M A01	OFLOXACIN
J01M A02	CIPROFLOXACIN
J01M A03	PEFLOXACIN
J01M A04	ENOXACIN
J01M A05	TEMAFLOXACIN
J01M A06	NORFLOXACIN
J01M A07	LOMEFLOXACIN
J01M A08	FLEROXACIN
J01M A09	SPARFLOXACIN
J01M A10	RUFLOXACIN
J01M A11	GREPAFLOXACIN
J01M A12	LEVOFLOXACIN
J01M A13	TROVAFLOXACIN
J01M A14	MOXIFLOXACIN
J01M A15	GEMIFLOXACIN
J01M A16	GATIFLOXACIN
J01M A17	PRULIFLOXACIN
J01M A18	PAZUFLOXACIN
J01M A19	GARENOXACIN
J01M A21	SITAFLOXACIN
J01M A23	DELAFLOXACIN
J01M B	OTHER QUINOLONES
J01M B01	ROSOXACIN
J01M B02	NALIDIXIC ACID
J01M B03	PIROMIDIC ACID
J01M B04	PIPEMIDIC ACID
J01M B05	OXOLINIC ACID
J01M B06	CINOXACIN
J01M B07	FLUMEQUINE
J01M B08	NEMONOXACIN
J01R	COMBINATIONS OF ANTIBACTERIALS
J01R A	COMBINATIONS OF ANTIBACTERIALS
J01R A01	"PENICILLINS, COMBINATIONS WITH OTHER ANTIBACTERIALS"
J01R A02	"SULFONAMIDES, COMBINATIONS WITH OTHER ANTIBACTERIALS (EXCL. TRIMETHOPRIM)"
J01R A03	CEFUROXIME AND METRONIDAZOLE
J01R A04	SPIRAMYCIN AND METRONIDAZOLE
J01R A05	LEVOFLOXACIN AND ORNIDAZOLE
J01R A06	CEFEPIME AND AMIKACIN
J01R A07	"AZITHROMYCIN, FLUCONAZOLE AND SECNIDAZOLE"
J01R A08	TETRACYCLINE AND OLEANDOMYCIN
J01R A09	OFLOXACIN AND ORNIDAZOLE
J01R A10	CIPROFLOXACIN AND METRONIDAZOLE
J01R A11	CIPROFLOXACIN AND TINIDAZOLE
J01R A12	CIPROFLOXACIN AND ORNIDAZOLE
J01R A13	NORFLOXACIN AND TINIDAZOLE
J01X	OTHER ANTIBACTERIALS
J01X A	GLYCOPEPTIDE ANTIBACTERIALS
J01X A01	VANCOMYCIN
J01X A02	TEICOPLANIN
J01X A03	TELAVANCIN
J01X A04	DALBAVANCIN
J01X A05	ORITAVANCIN
J01X B	POLYMYXINS
J01X B01	COLISTIN
J01X B02	POLYMYXIN B
J01X C	STEROID ANTIBACTERIALS
J01X C01	FUSIDIC ACID
J01X D	IMIDAZOLE DERIVATIVES
J01X D01	METRONIDAZOLE
J01X D02	TINIDAZOLE
J01X D03	ORNIDAZOLE
J01X E	NITROFURAN DERIVATIVES
J01X E01	NITROFURANTOIN
J01X E02	NIFURTOINOL
J01X E03	FURAZIDIN
J01X E51	"NITROFURANTOIN, COMBINATIONS"
J01X X	OTHER ANTIBACTERIALS
J01X X01	FOSFOMYCIN
J01X X02	XIBORNOL
J01X X03	CLOFOCTOL
J01X X04	SPECTINOMYCIN
J01X X05	METHENAMINE
J01X X06	MANDELIC ACID
J01X X07	NITROXOLINE
J01X X08	LINEZOLID
J01X X09	DAPTOMYCIN
J01X X10	BACITRACIN
J01X X11	TEDIZOLID
J02	ANTIMYCOTICS FOR SYSTEMIC USE
J02A	ANTIMYCOTICS FOR SYSTEMIC USE
J02A A	ANTIBIOTICS
J02A A01	AMPHOTERICIN B
J02A A02	HACHIMYCIN
J02A B	IMIDAZOLE DERIVATIVES
J02A B01	MICONAZOLE
J02A B02	KETOCONAZOLE
J02A C	TRIAZOLE DERIVATIVES
J02A C01	FLUCONAZOLE
J02A C02	ITRACONAZOLE
J02A C03	VORICONAZOLE
J02A C04	POSACONAZOLE
J02A C05	ISAVUCONAZOLE
J02A X	OTHER ANTIMYCOTICS FOR SYSTEMIC USE
J02A X01	FLUCYTOSINE
J02A X04	CASPOFUNGIN
J02A X05	MICAFUNGIN
J02A X06	ANIDULAFUNGIN
J04	ANTIMYCOBACTERIALS
J04A	DRUGS FOR TREATMENT OF TUBERCULOSIS
J04A A	AMINOSALICYLIC ACID AND DERIVATIVES
J04A A01	AMINOSALICYLIC ACID
J04A A02	SODIUM AMINOSALICYLATE
J04A A03	CALCIUM AMINOSALICYLATE
J04A B	ANTIBIOTICS
J04A B01	CYCLOSERINE
J04A B02	RIFAMPICIN
J04A B03	RIFAMYCIN
J04A B04	RIFABUTIN
J04A B05	RIFAPENTINE
J04A B30	CAPREOMYCIN
J04A C	HYDRAZIDES
J04A C01	ISONIAZID
J04A C51	"ISONIAZID, COMBINATIONS"
J04A D	THIOCARBAMIDE DERIVATIVES
J04A D01	PROTIONAMIDE
J04A D02	TIOCARLIDE
J04A D03	ETHIONAMIDE
J04A K	OTHER DRUGS FOR TREATMENT OF TUBERCULOSIS
J04A K01	PYRAZINAMIDE
J04A K02	ETHAMBUTOL
J04A K03	TERIZIDONE
J04A K04	MORINAMIDE
J04A K05	BEDAQUILINE
J04A K06	DELAMANID
J04A K07	THIOACETAZONE
J04A M	COMBINATIONS OF DRUGS FOR TREATMENT OF TUBERCULOSIS
J04A M01	STREPTOMYCIN AND ISONIAZID
J04A M02	RIFAMPICIN AND ISONIAZID
J04A M03	ETHAMBUTOL AND ISONIAZID
J04A M04	THIOACETAZONE AND ISONIAZID
J04A M05	"RIFAMPICIN, PYRAZINAMIDE AND ISONIAZID"
J04A M06	"RIFAMPICIN, PYRAZINAMIDE, ETHAMBUTOL AND ISONIAZID"
J04B	DRUGS FOR TREATMENT OF LEPRA
J04B A	DRUGS FOR TREATMENT OF LEPRA
J04B A01	CLOFAZIMINE
J04B A02	DAPSONE
J04B A03	ALDESULFONE SODIUM
J05	ANTIVIRALS FOR SYSTEMIC USE
J05A	DIRECT ACTING ANTIVIRALS
J05A A	THIOSEMICARBAZONES
J05A A01	METISAZONE
J05A B	NUCLEOSIDES AND NUCLEOTIDES EXCL. REVERSE TRANSCRIPTASE INHIBITORS
J05A B01	ACICLOVIR
J05A B02	IDOXURIDINE
J05A B03	VIDARABINE
J05A B04	RIBAVIRIN - OLD CODE
J05A B05	ZIDOVUDINE - OLD CODE
J05A B06	GANCICLOVIR
J05A B07	DIDANOSINE - OLD CODE
J05A B08	ZALCITABINE - OLD CODE
J05A B09	FAMCICLOVIR
J05A B10	LAMIVUDINE - OLD CODE
J05A B11	VALACICLOVIR
J05A B12	CIDOFOVIR
J05A B13	PENCICLOVIR
J05A B14	VALGANCICLOVIR
J05A B15	BRIVUDINE
J05A B20	LAMIVUDINE AND ZIDOVUDINE
J05A B54	"RIBAVIRIN, COMBINATIONS - OLD CODE"
J05A C	CYCLIC AMINES
J05A C02	RIMANTADINE
J05A C03	TROMANTADINE
J05A D	PHOSPHONIC ACID DERIVATIVES
J05A D01	FOSCARNET
J05A D02	FOSFONET
J05A E	PROTEASE INHIBITORS
J05A E01	SAQUINAVIR
J05A E02	INDINAVIR
J05A E03	RITONAVIR
J05A E04	NELFINAVIR
J05A E05	AMPRENAVIR
J05A E06	LOPINAVIR
J05A E07	FOSAMPRENAVIR
J05A E08	ATAZANAVIR
J05A E09	TIPRANAVIR
J05A E10	DARUNAVIR
J05A E11	TELAPREVIR - OLD CODE
J05A E12	BOCEPREVIR - OLD CODE
J05A E13	FALDAPREVIR - OLD CODE
J05A E14	SIMEPREVIR - OLD CODE
J05A E15	ASUNAPREVIR - OLD CODE
J05A F	NUCLEOSIDE AND NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS
J05A F01	ZIDOVUDINE
J05A F02	DIDANOSINE
J05A F03	ZALCITABINE
J05A F04	STAVUDINE
J05A F05	LAMIVUDINE
J05A F06	ABACAVIR
J05A F07	TENOFOVIR DISOPROXIL
J05A F08	ADEFOVIR DIPIVOXIL
J05A F09	EMTRICITABINE
J05A F10	ENTECAVIR
J05A F11	TELBIVUDINE
J05A F12	CLEVUDINE
J05A F13	TENOFOVIR ALAFENAMIDE
J05A F30	COMBINATIONS - OLD CODE
J05A G	NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS
J05A G01	NEVIRAPINE
J05A G02	DELAVIRDINE
J05A G03	EFAVIRENZ
J05A G04	ETRAVIRINE
J05A G05	RILPIVIRINE
J05A H	NEURAMINIDASE INHIBITORS
J05A H01	ZANAMIVIR
J05A H02	OSELTAMIVIR
J05A P	ANTIVIRALS FOR TREATMENT OF HCV INFECTIONS
J05A P01	RIBAVIRIN
J05A P02	TELAPREVIR
J05A P03	BOCEPREVIR
J05A P04	FALDAPREVIR
J05A P05	SIMEPREVIR
J05A P06	ASUNAPREVIR
J05A P07	DACLATASVIR
J05A P08	SOFOSBUVIR
J05A P09	DASABUVIR
J05A P51	SOFOSBUVIR AND LEDIPASVIR
J05A P52	"DASABUVIR, OMBITASVIR, PARITAPREVIR AND RITONAVIR"
J05A P53	"OMBITASVIR, PARITAPREVIR AND RITONAVIR"
J05A P54	ELBASVIR AND GRAZOPREVIR
J05A P55	SOFOSBUVIR AND VELPATASVIR
J05A P56	"SOFOSBUVIR, VELPATASVIR AND VOXILAPREVIR"
J05A R	"ANTIVIRALS FOR TREATMENT OF HIV INFECTIONS, COMBINATIONS"
J05A R01	ZIDOVUDINE AND LAMIVUDINE
J05A R02	LAMIVUDINE AND ABACAVIR
J05A R03	TENOFOVIR DISOPROXIL AND EMTRICITABINE
J05A R04	"ZIDOVUDINE, LAMIVUDINE AND ABACAVIR"
J05A R05	"ZIDOVUDINE, LAMIVUDINE AND NEVIRAPINE"
J05A R06	"EMTRICITABINE, TENOFOVIR DISOPROXIL AND EFAVIRENZ"
J05A R07	"STAVUDINE, LAMIVUDINE AND NEVIRAPINE"
J05A R08	"EMTRICITABINE, TENOFOVIR DISOPROXIL AND RILPIVIRINE"
J05A R09	"EMTRICITABINE, TENOFOVIR DISOPROXIL, ELVITEGRAVIR AND COBICISTAT"
J05A R10	LOPINAVIR AND RITONAVIR
J05A R11	"LAMIVUDINE, TENOFOVIR DISOPROXIL AND EFAVIRENZ"
J05A R12	LAMIVUDINE AND TENOFOVIR DISOPROXIL
J05A R13	"LAMIVUDINE, ABACAVIR AND DOLUTEGRAVIR"
J05A R14	DARUNAVIR AND COBICISTAT
J05A R15	ATAZANAVIR AND COBICISTAT
J05A R16	LAMIVUDINE AND RALTEGRAVIR
J05A R17	EMTRICITABINE AND TENOFOVIR ALAFENAMIDE
J05A R18	"EMTRICITABINE, TENOFOVIR ALAFENAMIDE, ELVITEGRAVIR AND COBICISTAT"
J05A R19	"EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND RILPIVIRINE"
J05A R20	"EMTRICITABINE, TENOFOVIR ALAFENAMIDE AND BICTEGRAVIR"
J05A R21	DOLUTEGRAVIR AND RILPIVIRINE
J05A R22	"EMTRICITABINE, TENOFOVIR ALAFENAMIDE, DARUNAVIR AND COBICISTAT"
J05A X	OTHER ANTIVIRALS
J05A X01	MOROXYDINE
J05A X02	LYSOZYME
J05A X03	NEVIRAPINE - OLD CODE
J05A X04	STAVUDINE - OLD CODE
J05A X05	INOSINE PRANOBEX
J05A X06	PLECONARIL
J05A X07	ENFUVIRTIDE
J05A X08	RALTEGRAVIR
J05A X09	MARAVIROC
J05A X10	MARIBAVIR
J05A X11	ELVITEGRAVIR
J05A X12	DOLUTEGRAVIR
J05A X13	UMIFENOVIR
J05A X14	DACLATASVIR - OLD CODE
J05A X15	SOFOSBUVIR - OLD CODE
J05A X16	DASABUVIR - OLD CODE
J05A X65	SOFOSBUVIR AND LEDIPASVIR - OLD CODE
J05A X66	"DASABUVIR, OMBITASVIR, PARITAPREVIR AND RITONAVIR - OLD CODE"
J05A X67	"OMBITASVIR, PARITAPREVIR AND RITONAVIR - OLD CODE"
J05A X68	ELBASVIR AND GRAZOPREVIR - OLD CODE
J05A X69	SOFOSBUVIR AND VELPATASVIR - OLD CODE
J06	IMMUNE SERA AND IMMUNOGLOBULINS
J06A	IMMUNE SERA
J06A A	IMMUNE SERA
J06A A01	DIPHTERIA ANTITOXIN
J06A A02	TETANUS ANTITOXIN
J06A A03	SNAKE VENOM ANTISERUM
J06A A04	BOTULINUM ANTITOXIN
J06A A05	GAS-GANGRENE SERA
J06A A06	RABIES SERUM
J06B	IMMUNOGLOBULINS
J06B A	"IMMUNOGLOBULINS, NORMAL HUMAN"
J06B A01	"IMMUNOGLOBULINS, NORMAL HUMAN, FOR EXTRAVASCULAR ADM."
J06B A02	"IMMUNOGLOBULINS, NORMAL HUMAN, FOR INTRAVASCULAR ADM."
J06B B	SPECIFIC IMMUNOGLOBULINS
J06B B01	ANTI-D (RH) IMMUNOGLOBULIN
J06B B02	TETANUS IMMUNOGLOBULIN
J06B B03	VARICELLA/ZOSTER IMMUNOGLOBULIN
J06B B04	HEPATITIS B IMMUNOGLOBULIN
J06B B05	RABIES IMMUNOGLOBULIN
J06B B06	RUBELLA IMMUNOGLOBULIN
J06B B07	VACCINIA IMMUNOGLOBULIN
J06B B08	STAPHYLOCOCCUS IMMUNOGLOBULIN
J06B B09	CYTOMEGALOVIRUS IMMUNOGLOBULIN
J06B B10	DIPHTHERIA IMMUNOGLOBULIN
J06B B11	HEPATITIS A IMMUNOGLOBULIN
J06B B12	"ENCEPHALITIS, TICK BORNE IMMUNOGLOBULIN"
J06B B13	PERTUSSIS IMMUNOGLOBULIN
J06B B14	MEASLES IMMUNOGLOBULIN
J06B B15	MUMPS IMMUNOGLOBULIN
J06B B16	PALIVIZUMAB
J06B B17	MOTAVIZUMAB
J06B B18	RAXIBACUMAB
J06B B19	ANTHRAX IMMUNOGLOBULIN
J06B B21	BEZLOTOXUMAB
J06B B22	OBILTOXAXIMAB
J06B B30	COMBINATIONS
J06B C	OTHER IMMUNOGLOBULINS
J06B C01	NEBACUMAB
J07	VACCINES
J07A	BACTERIAL VACCINES
J07A C	ANTHRAX VACCINES
J07A C01	ANTHRAX ANTIGEN
J07A D	BRUCELLOSIS VACCINES
J07A D01	BRUCELLA ANTIGEN
J07A E	CHOLERA VACCINES
J07A E01	"CHOLERA, INACTIVATED, WHOLE CELL"
J07A E02	"CHOLERA, LIVE ATTENUATED"
J07A E51	"CHOLERA, COMBINATIONS WITH TYPHOID VACCINE, INACTIVATED, WHOLE CELL"
J07A F	DIPHTHERIA VACCINES
J07A F01	DIPHTHERIA TOXOID
J07A G	HEMOPHILUS INFLUENZAE B VACCINES
J07A G01	"HEMOPHILUS INFLUENZAE B, PURIFIED ANTIGEN CONJUGATED"
J07A G51	"HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH TOXOIDS"
J07A G52	"HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH PERTUSSIS AND TOXOIDS"
J07A G53	"HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH MENINGOCOCCUS C, CONJUGATED"
J07A H	MENINGOCOCCAL VACCINES
J07A H01	"MENINGOCOCCUS A, PURIFIED POLYSACCHARIDES ANTIGEN"
J07A H02	OTHER MENINGOCOCCAL MONOVALENT PURIFIED POLYSACCHARIDES ANTIGEN
J07A H03	"MENINGOCOCCUS A,C, BIVALENT PURIFIED POLYSACCHARIDES ANTIGEN"
J07A H04	"MENINGOCOCCUS A,C,Y,W-135, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN"
J07A H05	OTHER MENINGOCOCCAL POLYVALENT PURIFIED POLYSACCHARIDES ANTIGEN
J07A H06	"MENINGOCOCCUS B, OUTER MEMBRANE VESICLE VACCINE"
J07A H07	"MENINGOCOCCUS C, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"
J07A H08	"MENINGOCOCCUS A,C,Y,W-135, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"
J07A H09	"MENINGOCOCCUS B, MULTICOMPONENT VACCINE"
J07A H10	"MENINGOCOCCUS A, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"
J07A J	PERTUSSIS VACCINES
J07A J01	"PERTUSSIS, INACTIVATED, WHOLE CELL"
J07A J02	"PERTUSSIS, PURIFIED ANTIGEN"
J07A J51	"PERTUSSIS, INACTIVATED, WHOLE CELL, COMBINATIONS WITH TOXOIDS"
J07A J52	"PERTUSSIS, PURIFIED ANTIGEN, COMBINATIONS WITH TOXOIDS"
J07A K	PLAGUE VACCINES
J07A K01	"PLAGUE, INACTIVATED, WHOLE CELL"
J07A L	PNEUMOCOCCAL VACCINES
J07A L01	"PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN"
J07A L02	"PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"
J07A L52	"PNEUMOCOCCUS PURIFIED POLYSACCHARIDES ANTIGEN AND HAEMOPHILUS INFLUENZAE, CONJUGATED"
J07A M	TETANUS VACCINES
J07A M01	TETANUS TOXOID
J07A M51	"TETANUS TOXOID, COMBINATIONS WITH DIPHTHERIA TOXOID"
J07A M52	"TETANUS TOXOID, COMBINATIONS WITH TETANUS IMMUNOGLOBULIN"
J07A N	TUBERCULOSIS VACCINES
J07A N01	"TUBERCULOSIS, LIVE ATTENUATED"
J07A P	TYPHOID VACCINES
J07A P01	"TYPHOID, ORAL, LIVE ATTENUATED"
J07A P02	"TYPHOID, INACTIVATED, WHOLE CELL"
J07A P03	"TYPHOID, PURIFIED POLYSACCHARIDE ANTIGEN"
J07A P10	"TYPHOID, COMBINATIONS WITH PARATYPHI TYPES"
J07A R	TYPHUS (EXANTHEMATICUS) VACCINES
J07A R01	"TYPHUS EXANTHEMATICUS, INACTIVATED, WHOLE CELL"
J07A X	OTHER BACTERIAL VACCINES
J07B	VIRAL VACCINES
J07B A	ENCEPHALITIS VACCINES
J07B A01	"ENCEPHALITIS, TICK BORNE, INACTIVATED, WHOLE VIRUS"
J07B A02	"ENCEPHALITIS, JAPANESE, INACTIVATED, WHOLE VIRUS"
J07B A03	"ENCEPHALITIS, JAPANESE, LIVE ATTENUATED"
J07B B	INFLUENZA VACCINES
J07B B01	"INFLUENZA, INACTIVATED, WHOLE VIRUS"
J07B B02	"INFLUENZA, PURIFIED ANTIGEN"
J07B B03	"INFLUENZA, LIVE ATTENUATED"
J07B C	HEPATITIS VACCINES
J07B C01	"HEPATITIS B, PURIFIED ANTIGEN"
J07B C02	"HEPATITIS A, INACTIVATED, WHOLE VIRUS"
J07B C20	COMBINATIONS
J07B D	MEASLES VACCINES
J07B D01	"MEASLES, LIVE ATTENUATED"
J07B D51	"MEASLES, COMBINATIONS WITH MUMPS, LIVE ATTENUATED"
J07B D52	"MEASLES, COMBINATIONS WITH MUMPS AND RUBELLA, LIVE ATTENUATED"
J07B D53	"MEASLES, COMBINATIONS WITH RUBELLA, LIVE ATTENUATED"
J07B D54	"MEASLES, COMBINATIONS WITH MUMPS, RUBELLA AND VARICELLA, LIVE ATTENUATED"
J07B E	MUMPS VACCINES
J07B E01	"MUMPS, LIVE ATTENUATED"
J07B F	POLIOMYELITIS VACCINES
J07B F01	"POLIOMYELITIS ORAL, MONOVALENT LIVE ATTENUATED"
J07B F02	"POLIOMYELITIS ORAL, TRIVALENT, LIVE ATTENUATED"
J07B F03	"POLIOMYELITIS, TRIVALENT, INACTIVATED, WHOLE VIRUS"
J07B F04	"POLIOMYELITIS ORAL, BIVALENT, LIVE ATTENUTATED"
J07B G	RABIES VACCINES
J07B G01	"RABIES, INACTIVATED, WHOLE VIRUS"
J07B H	ROTA VIRUS DIARRHEA VACCINES
J07B H01	"ROTA VIRUS, LIVE ATTENUATED"
J07B H02	"ROTA VIRUS, PENTAVALENT, LIVE, REASSORTED"
J07B J	RUBELLA VACCINES
J07B J01	"RUBELLA, LIVE ATTENUATED"
J07B J51	"RUBELLA, COMBINATIONS WITH MUMPS, LIVE ATTENUATED"
J07B K	VARICELLA ZOSTER VACCINES
J07B K01	"VARICELLA, LIVE ATTENUATED"
J07B K02	"ZOSTER, LIVE ATTENUATED"
J07B K03	"ZOSTER, PURIFIED ANTIGEN"
J07B L	YELLOW FEVER VACCINES
J07B L01	"YELLOW FEVER, LIVE ATTENUATED"
J07B M	PAPILLOMAVIRUS VACCINES
J07B M01	"PAPILLOMAVIRUS (HUMAN TYPES 6, 11, 16, 18)"
J07B M02	"PAPILLOMAVIRUS (HUMAN TYPES 16, 18)"
J07B M03	"PAPILLOMAVIRUS (HUMAN TYPES 6, 11, 16, 18, 31, 33, 45, 52, 58)"
J07B X	OTHER VIRAL VACCINES
J07B X01	"SMALLPOX, LIVE ATTENUATED"
J07C	"BACTERIAL AND VIRAL VACCINES, COMBINED"
J07C A	"BACTERIAL AND VIRAL VACCINES, COMBINED"
J07C A01	DIPHTHERIA-POLIOMYELITIS-TETANUS
J07C A02	DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS
J07C A03	DIPHTHERIA-RUBELLA-TETANUS
J07C A04	HEMOPHILUS INFLUENZAE B AND POLIOMYELITIS
J07C A05	DIPHTHERIA-HEPATITIS B-PERTUSSIS-TETANUS
J07C A06	DIPHTHERIA-HEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS
J07C A07	DIPHTHERIA-HEPATITIS B-TETANUS
J07C A08	HEMOPHILUS INFLUENZAE B AND HEPATITIS B
J07C A09	DIPHTHERIA-HEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS-HEPATITIS B
J07C A10	TYPHOID-HEPATITIS A
J07C A11	DIPHTHERIA-HAEMOPHILUS INFLUENZAE B-PERTUSSIS-TETANUS-HEPATITIS B
J07C A12	DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS-HEPATITIS B
J07C A13	DIPHTHERIA-HEMOPHILUS INFLUENZAE B-PERTUSSIS-TETANUS-HEPATITIS B-MENINGOCOCCUS A + C
J07X	OTHER VACCINES
L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01	ANTINEOPLASTIC AGENTS
L01A	ALKYLATING AGENTS
L01A A	NITROGEN MUSTARD ANALOGUES
L01A A01	CYCLOPHOSPHAMIDE
L01A A02	CHLORAMBUCIL
L01A A03	MELPHALAN
L01A A05	CHLORMETHINE
L01A A06	IFOSFAMIDE
L01A A07	TROFOSFAMIDE
L01A A08	PREDNIMUSTINE
L01A A09	BENDAMUSTINE
L01A B	ALKYL SULFONATES
L01A B01	BUSULFAN
L01A B02	TREOSULFAN
L01A B03	MANNOSULFAN
L01A C	ETHYLENE IMINES
L01A C01	THIOTEPA
L01A C02	TRIAZIQUONE
L01A C03	CARBOQUONE
L01A D	NITROSOUREAS
L01A D01	CARMUSTINE
L01A D02	LOMUSTINE
L01A D03	SEMUSTINE
L01A D04	STREPTOZOCIN
L01A D05	FOTEMUSTINE
L01A D06	NIMUSTINE
L01A D07	RANIMUSTINE
L01A G	EPOXIDES
L01A G01	ETOGLUCID
L01A X	OTHER ALKYLATING AGENTS
L01A X01	MITOBRONITOL
L01A X02	PIPOBROMAN
L01A X03	TEMOZOLOMIDE
L01A X04	DACARBAZINE
L01B	ANTIMETABOLITES
L01B A	FOLIC ACID ANALOGUES
L01B A01	METHOTREXATE
L01B A03	RALTITREXED
L01B A04	PEMETREXED
L01B A05	PRALATREXATE
L01B B	PURINE ANALOGUES
L01B B02	MERCAPTOPURINE
L01B B03	TIOGUANINE
L01B B04	CLADRIBINE
L01B B05	FLUDARABINE
L01B B06	CLOFARABINE
L01B B07	NELARABINE
L01B C	PYRIMIDINE ANALOGUES
L01B C01	CYTARABINE
L01B C02	FLUOROURACIL
L01B C03	TEGAFUR
L01B C04	CARMOFUR
L01B C05	GEMCITABINE
L01B C06	CAPECITABINE
L01B C07	AZACITIDINE
L01B C08	DECITABINE
L01B C25	FLUOROURACIL
L01B C52	"FLUOROURACIL, COMBINATIONS"
L01B C53	"TEGAFUR, COMBINATIONS"
L01B C59	"TRIFLURIDINE, COMBINATIONS"
L01C	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01C A	VINCA ALKALOIDS AND ANALOGUES
L01C A01	VINBLASTINE
L01C A02	VINCRISTINE
L01C A03	VINDESINE
L01C A04	VINORELBINE
L01C A05	VINFLUNINE
L01C A06	VINTAFOLIDE
L01C B	PODOPHYLLOTOXIN DERIVATIVES
L01C B01	ETOPOSIDE
L01C B02	TENIPOSIDE
L01C C	COLCHICINE DERIVATIVES
L01C C01	DEMECOLCINE
L01C D	TAXANES
L01C D01	PACLITAXEL
L01C D02	DOCETAXEL
L01C D03	PACLITAXEL POLIGLUMEX
L01C D04	CABAZITAXEL
L01C X	OTHER PLANT ALKALOIDS AND NATURAL PRODUCTS
L01C X01	TRABECTEDIN
L01D	CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01D A	ACTINOMYCINES
L01D A01	DACTINOMYCIN
L01D B	ANTHRACYCLINES AND RELATED SUBSTANCES
L01D B01	DOXORUBICIN
L01D B02	DAUNORUBICIN
L01D B03	EPIRUBICIN
L01D B04	ACLARUBICIN
L01D B05	ZORUBICIN
L01D B06	IDARUBICIN
L01D B07	MITOXANTRONE
L01D B08	PIRARUBICIN
L01D B09	VALRUBICIN
L01D B10	AMRUBICIN
L01D B11	PIXANTRONE
L01D C	OTHER CYTOTOXIC ANTIBIOTICS
L01D C01	BLEOMYCIN
L01D C02	PLICAMYCIN
L01D C03	MITOMYCIN
L01D C04	IXABEPILONE
L01X	OTHER ANTINEOPLASTIC AGENTS
L01X A	PLATINUM COMPOUNDS
L01X A01	CISPLATIN
L01X A02	CARBOPLATIN
L01X A03	OXALIPLATIN
L01X A04	SATRAPLATIN
L01X A05	POLYPLATILLEN
L01X B	METHYLHYDRAZINES
L01X B01	PROCARBAZINE
L01X C	MONOCLONAL ANTIBODIES
L01X C01	EDRECOLOMAB
L01X C02	RITUXIMAB
L01X C03	TRASTUZUMAB
L01X C04	ALEMTUZUMAB - OLD CODE
L01X C05	GEMTUZUMAB OZOGAMICIN
L01X C06	CETUXIMAB
L01X C07	BEVACIZUMAB
L01X C08	PANITUMOMAB
L01X C09	CATUMAXOMAB
L01X C10	OFATUMUMAB
L01X C11	IPILIMUMAB
L01X C12	BRENTUXIMAB VEDOTIN
L01X C13	PERTUZUMAB
L01X C14	TRASTUZUMAB EMTANSINE
L01X C15	OBINUTUZUMAB
L01X C16	DINUTUXIMAB
L01X C17	NIVOLUMAB
L01X C18	PEMBROLIZUMAB
L01X C19	BLINATUMOMAB
L01X C21	RAMUCIRUMAB
L01X C22	NECITUMUMAB
L01X C23	ELOTUZUMAB
L01X C24	DARATUMUMAB
L01X C25	MOGAMULIZUMAB
L01X C26	INOTUZUMAB OZOGAMICIN
L01X C27	OLARATUMAB
L01X C28	DURVALUMAB
L01X C29	ERMEKUMAB
L01X C31	AVELUMAB
L01X D	SENSITIZERS USED IN PHOTODYNAMIC/RADIATION THERAPY
L01X D01	PORFIMER SODIUM
L01X D02	VERTEPORFIN - OLD CODE
L01X D03	METHYL AMINOLEVULINATE
L01X D04	AMINOLEVULINIC ACID
L01X D05	TEMOPORFIN
L01X D06	EFAPROXIRAL
L01X D07	PADELIPORFIN
L01X E	PROTEIN KINASE INHIBITORS
L01X E01	IMATINIB
