source	count	destination
TEK-iFLASH3	20	IGNORE
HLA-Ab;P	20	IGNORE
Projekt HER2N	20	IGNORE
2015-075 3 mL LiHep x 1	19	IGNORE
Troponin T-poct;P	19	IGNORE
Toxoplasma gondii-Ab(IgM);P	19	IGNORE
Candida mannan-Ab;P	19	IGNORE
Pseudomonas aeruginosa-Ab (0 1);P	19	IGNORE
Borrelia burgdorferi-Ab(IgM);Csv/P	19	IGNORE
Rødspætte (f254)-IgE;P	19	IGNORE
TPMT-gen;DNA	19	IGNORE
Kortisol (2 d);P	19	IGNORE
Hepatitis C udredning;P	19	IGNORE
Borrelia burgdorferi-Ab(IgG);Csv/P	19	IGNORE
Kolesterol;Asc	19	IGNORE
Alifatisk carboxylat (C14-26);F	19	IGNORE
Candida mannan(ag);P	19	IGNORE
2015-075 4 mL EDTA x 3	19	IGNORE
Dyrkning (bacterium+fungus);B(cvB)	19	IGNORE
PCR til Patologer;B	19	IGNORE
Schistocytter til patologer - OUH;B	19	IGNORE
M-komponent i %;U	19	IGNORE
Morphin;U	19	IGNORE
Amyloid  beta 1-40;Csv	18	IGNORE
Erytrocytter(polykrome);B	18	IGNORE
Pregnantriolon;Pt(U)	18	IGNORE
P-ANCA(IgG);P	18	IGNORE
Prasteron;Pt(U)	18	IGNORE
17-Hydroxypregnanolon;Pt(U)	18	IGNORE
Alfa-1-antitrypsin-mangel	18	IGNORE
Tetrahydrokortikosteron;Pt(U)	18	IGNORE
Calcitriol;P	18	IGNORE
3-alfa-,5-beta-Alfadolon;Pt(U)	18	IGNORE
16-Ketoandrostendiol;Pt(U)	18	IGNORE
Etiokolanolon;Pt(U)	18	IGNORE
Amfetamin;U	18	IGNORE
Streptolysin O-Ab;P	18	IGNORE
Pregnantriol;Pt(U)	18	IGNORE
EDTA 10ml x 1, Projekt miRNA	18	IGNORE
Streptococcus DNAse B-Ab;P	18	IGNORE
Neurofilament light polypeptid;P	18	IGNORE
Glutam.decarb.(gad65)-IgG;Csv	18	IGNORE
Phospholipid-Ab (RPR, kvant.);P	18	IGNORE
Projekt miRNA	18	IGNORE
Glucose-6-P-dehydrogenase / Hb;B	18	IGNORE
3-alfa-,5-beta,20R-Cortolon;Pt(U)	18	IGNORE
Coronavirus SARS-CoV-2-Ab gruppe;P	18	IGNORE
T-spot.TB;B	18	IGNORE
Pregnandiol;Pt(U)	18	IGNORE
Glucose::Glucose;P(kB)	18	Glucose
Se notat i EPJ af dato;Pt:	18	IGNORE
Amyloid  beta 1-42/1-40 ratio;Csv	18	IGNORE
Steroidmetabolit (16-OH-P);Pt(U)	18	IGNORE
Coronavirus SARS-CoV-2-IgA;P	18	IGNORE
Influenza virus A+B & RSV(RNA);Sekr	18	IGNORE
Fødevare (f1;2;3;4;13;14)-IgE;P	18	IGNORE
Steroidmetabolit (Allo-THB);Pt(U)	18	IGNORE
Tomat (f25)-IgE;P	18	IGNORE
Tetrahydrokortisol;Pt(U)	18	IGNORE
ANCA(IgG);P	18	IGNORE
Androsteron;Pt(U)	18	IGNORE
Cytochrom P450 2D6-antistof(IgG);P	18	IGNORE
Amyloid  beta 1-42;Csv	18	IGNORE
Tetrahydrokortison;Pt(U)	18	IGNORE
5-Androsten-3,16-diol-17-on;Pt(U)	18	IGNORE
Cortolon;Pt(U)	18	IGNORE
Collagen I,krydsbundne CTx;P(fPt)	18	IGNORE
Allotetrahydrokortisol;Pt(U)	18	IGNORE
2017-056 R 4,0 mL EDTA x 1	18	IGNORE
11-beta-Hydroxyandrosteron;Pt(U)	18	IGNORE
5-Androsten-3,16,17-triol;Pt(U)	18	IGNORE
2017-056 R 6,0 mL RØD x 1	18	IGNORE
2017-056 R 2,7 mL BLÅ x 1	18	IGNORE
Tetrahydro-11-dexoxykortisol;Pt(U)	18	IGNORE
2017-056 R 4,0 mL EDTA x 4	18	IGNORE
Ribavirin;P	17	IGNORE
Citrat 2,7 ml x 2, MetSyn	17	IGNORE
Amylase (k87)-IgE;P	17	IGNORE
TØRGLAS 4ml x1, Projekt miRNA	17	IGNORE
Projekt OC Neo	17	IGNORE
beta-1,3-Glucan;P	17	IGNORE
Li-Hep Grøn 4 ml x 5, MetSyn	17	IGNORE
Knogledonorer virusscreening;P	17	IGNORE
Mikrocytter;B	17	IGNORE
Gluten (f79)-IgE;P	17	IGNORE
Epstein-Barr virus DNA;P	17	IGNORE
2015-053 9 mL Heparin (fra RH)	17	IGNORE
Mandel (f20)-IgE;P	17	IGNORE
EDTA lilla 9 ml x 2, MetSyn	17	IGNORE
EDTA 4ml x 1, Projekt miRNA	17	IGNORE
Cocain;U	17	IGNORE
HEPARIN 4 ml x 1, Projekt miRNA	17	IGNORE
Cannabinol;U	17	IGNORE
Rød serum 10 ml x 1, OC Neo	17	IGNORE
Serum Rød 10 ml x 2, MetSyn	17	IGNORE
Urat;Pt(U)	17	IGNORE
Mycobacterium tuberculosis;Plv	17	IGNORE
2015-058 L Lest Spot Urin	17	IGNORE
Projekt MetSyn	17	IGNORE
LIHEP grøn 4 ml x1, INDEED	17	IGNORE
Aspergillus niger (m207)-IgE;P	17	IGNORE
Vitamin C;P	17	IGNORE
Oxalat;Pt(U)	17	IGNORE
Projekt Lever ctDNA	17	IGNORE
Hemoglobin::Hæmoglobin - POCT;B	17	Hemoglobin
NK-VUE 1 ml x 1, Lever ctDNA	17	IGNORE
Transkobalamin frit;P	17	IGNORE
SERUM rød 10 ml x 1, Lever ctDNA	17	IGNORE
EDTA lilla 9 ml x 3, Lever ctDNA	17	IGNORE
Haptokorrin frit;P	17	IGNORE
2015-075 Y Voknse+børn >50kg	17	IGNORE
NK-VUE 1 ml x 1, OC Neo	17	IGNORE
C-reaktivt protein [CRP] - POCT;P	17	IGNORE
EDTA lilla 4 ml x1, INDEED	17	IGNORE
CITRAT 2,7ml x1,Projekt miRNA	17	IGNORE
Bigift (i1)-IgE;P	16	IGNORE
EDTA k2 lilla 9 ml x 1	16	IGNORE
2018-051 R 3mL Hirudin x 1 AGGGASP	16	IGNORE
2018-051 R 3mL Hirudin x 1 AGGTRP32	16	IGNORE
EDTA lilla 9 ml x 3, CIMPRIL	16	IGNORE
Neurofilament light polypeptide;Csv	16	IGNORE
2018-051 R Lungecancer BIOBANK	16	IGNORE
2018-051 R Lungecancer BLOD	16	IGNORE
2018-051 R 4 mL EDTA x 1	16	IGNORE
Selen;P	16	IGNORE
Skimmelsvamp (m1;2;4;6)-IgG;P	16	IGNORE
Hæmogl. deriv.gruppe;Csv	16	IGNORE
Toxoplasma gondii-IgG;P	16	IGNORE
Oxcarbazepin;P	16	IGNORE
Complement C1 esteraseinhibitor;P	16	IGNORE
Nucleusprik-Ab(IgG);P	16	IGNORE
2018-051 R 3mL Hirudin x 1 AGGADP64	16	IGNORE
NK-VUE 1 ml x 1, CIMPRIL	16	IGNORE
SERUM rød 10 ml x 1, CIMPRIL	16	IGNORE
Projekt CIMPRIL	16	IGNORE
Projekt INDEED-Urin	16	IGNORE
Topiramat;P	16	IGNORE
2015-075 Y Tr Voknse+børn Urin	16	IGNORE
Aspergillus(Galactomannan Ag);P	16	IGNORE
2015-075 6 mL Urin x 3	16	IGNORE
EDTA k2 lilla 9 ml x 2, OC Neo	16	IGNORE
Toxoplasma gondii-IgM;P	16	IGNORE
Teknisk analyse til Tacrolimus	16	IGNORE
Toxoplasma gondii-Ab(IgG);P	16	IGNORE
Acanthocytter;B	16	IGNORE
Projekt Aerify2	16	IGNORE
2018-051 R 4mL EDTA x 1	16	IGNORE
Ribonucleoprotein-IgG [RNP];P	16	IGNORE
2015-075 4 mL RØD x 2	15	IGNORE
CD163;P	15	IGNORE
DPYD-gen(ILE560SER);DNA	15	IGNORE
Hepatitis B efter vaccine;P	15	IGNORE
DPYD-gen(GLU412GLU);DNA	15	IGNORE
DNA topoisomerase 1-Ab(IgG);P	15	IGNORE
2021-R01 KFE 21.05 COVID VACC V3	15	IGNORE
Hepatitis C virus-Ab(IgG),konfirm;P	15	IGNORE
Complement C1 est.inh.(akt./norm);P	15	IGNORE
Epstein-Barr virus-antistof [EBV];P	15	IGNORE
GLP55 - dummy	15	IGNORE
Enterovirus (RNA);Csv	15	IGNORE
DPYD-gen(1905+1G>A);DNA	15	IGNORE
2015-044-001 C Dansk  Reuma Biobank	15	IGNORE
Kapillærblødning Duke;Pt	15	IGNORE
EXOSC10-IgG [PM-Scl100];P	15	IGNORE
2017-042 S 4 mL EDTA 2 af 4	15	IGNORE
2017-042 S 4 mL EDTA 4 af 4	15	IGNORE
Micropolyspora faeni (m22)-IgG;P	15	IGNORE
Trc.hæm. P2Y12(VerifyNow);Trc(B)	15	IGNORE
2017-042 S 4 mL EDTA 1 af 4	15	IGNORE
DPYD-gen(ASP949VAL);DNA	15	IGNORE
Proinsulin;P	15	IGNORE
Herpes simplexvirus-Ab;P	15	IGNORE
2015-058 L Lest Urin Biobank	15	IGNORE
Latex (k82)-IgE;P	15	IGNORE
2015-058 2mL sarstedt x 5	15	IGNORE
2015-058 15 mL rør x 1	15	IGNORE
2017-042 S 4 mL EDTA 3 af 4	15	IGNORE
EDTA k2 lilla 9 ml x 2, OVH2N	14	IGNORE
Koriogonadotropin+beta[HCGgravid];P	14	IGNORE
Inhalations-Ag(g6;m2;6;t3;w6)-IgE;P	14	IGNORE
SERUM rød 10 ml x2 Col-Rect biobank	14	IGNORE
Nucleolus-Ab(IgG);P	14	IGNORE
Nucleusmembran-Ab(IgG);P	14	IGNORE
CASR-gen;DNA	14	IGNORE
Methadon;U	14	IGNORE
Kortisol (2d) (LC-MS/MS);P	14	IGNORE
Mitose spindel-Ab(IgG);P	14	IGNORE
beta-Caroten;P	14	IGNORE
Prolifererende nucleus-Ab(IgG);P	14	IGNORE
Thyroxinbindende globulin;P	14	IGNORE
Hepatitis, kronisk udredning;P	14	IGNORE
EDTA lilla 3 ml x1 Col-Rect biobank	14	IGNORE
PCNA-Ab;P	14	IGNORE
Øvrig-Ab(IgE);P	14	IGNORE
Cor.SARS(COVID19)DNA/RNA(POCT);Sekr	14	IGNORE
Thermoactinomyc. v. (m23)-IgG;P	14	IGNORE
2013-078 10 mL Urin x 1	14	IGNORE
EDTA lilla 9 ml x1 Col-Rect biobank	14	IGNORE
ImmunglobulinE;P	14	IGNORE
Herpes simplexvirus-Ab(IgG);P	14	IGNORE
AP2S1-gen;DNA	14	IGNORE
Diverse Blod;B	14	IGNORE
Glukose, middel (fra HbA1c)(POCT);P	14	IGNORE
Borrelia burgdorferi-IgM;P	14	IGNORE
SERPINA1-gen;DNA	14	IGNORE
Projekt BOREAS	14	IGNORE
Parietalcelle-IgG [PCA];P	14	IGNORE
Projekt Col-Rect biobank	14	IGNORE
Aspergillus(galactomannan ag);P	14	IGNORE
Helicobacter pylori(CO2[13C]),Maves	13	IGNORE
Rugmel (f5)-IgE;P	13	IGNORE
Plasma-viskositet;P	13	IGNORE
Fæcesopsamlingstid;Pt	13	IGNORE
Bas.fos. tarmtype(semikvant);P	13	IGNORE
Bas.fos. levertype(semikvant);P	13	IGNORE
Kreatinin (teknisk);U	13	IGNORE
Hexacarboxylporfyrin / Kreatinin;U	13	IGNORE
Pentacarboxyl / Kreatinin;U	13	IGNORE
Lipase;P	13	IGNORE
Kit til Hæmoglobin i Fæces	13	IGNORE
Amylase, pancreatic::Amylase;P	13	Amylase
Neuron-specifik enolase;P	13	IGNORE
Pentacarboxylporfyrin;U	13	IGNORE
2017-042 S 2,5  mL PAXGEN x 1	13	IGNORE
Borrelia burgdorferi-Ab grp;Csv/P	13	IGNORE
Koproporfyrin III / Kreatinin;U	13	IGNORE
Koproporfyrin I;U	13	IGNORE
Heptacarboxyl / Kreatinin;U	13	IGNORE
Hexacarboxylporfyrin;U	13	IGNORE
Serum RØD 10 ml x 1, FOLFOXIRI-Toco	13	IGNORE
Heptacarboxylporfyrin;U	13	IGNORE
Fosfatidylethanol;B	13	IGNORE
Østradiol(LC-MS/MS);P	13	IGNORE
Bas.fos. knogletype(semikvant);P	13	IGNORE
Cytomegalovirus(DNA);Csv	13	IGNORE
Koproporfyrin III;U	13	IGNORE
GABA-B receptor 1-IgG;P	13	IGNORE
Uroporfyrin;U	13	IGNORE
Koproporfyrin I / Kreatinin;U	13	IGNORE
Parvovirus B-19 IgG;P	13	IGNORE
NK-VUE 1 ml x 1, FOLFOXIRI-Toco	13	IGNORE
Trombocytaggregater-EDTA;B	13	IGNORE
EDTA lilla 9 ml x 2, FOLFOXIRI-Toco	13	IGNORE
Legionella pneumophila [LUT] (Ag);U	13	IGNORE
Projekt FOLFOXIRI-Toco	13	IGNORE
Hepatitis C virus(RNA), Kval;P	12	IGNORE
Rheumafaktor;Plv	12	IGNORE
Complement C2;P	12	IGNORE
HLA-klasse I-gen gruppe;DNA	12	IGNORE
Fosfat;Pt(U)	12	IGNORE
Projekt PREDICT Belastning	12	IGNORE
EDTA k2 lilla 9 ml x 1, TRC miRNA	12	IGNORE
AMPAR1-IgG;P	12	IGNORE
Aldolase;P	12	IGNORE
Rheumafaktor(IgA);P	12	IGNORE
EDTA lilla 9 ml x 3, DETECT	12	IGNORE
Borrelia burgd.-Ab(IgG)(Csv/P);Csv	12	IGNORE
Hepatitis C virus(RNA) (0 1)[HCV];P	12	IGNORE
NMDAR1-IgG;P	12	IGNORE
CASPR2-IgG;P	12	IGNORE
2015-101 4 mL EDTA x 2	12	IGNORE
Serum rød 10 ml x 1, DETECT	12	IGNORE
EDTA lilla 4 ml x 1, DETECT	12	IGNORE
Projekt TRC miRNA	12	IGNORE
Glukose (0 min);P(kB)	12	IGNORE
Breath-test x 4, DETECT	12	IGNORE
Lacosamid;P	12	IGNORE
Treponema pallidum-Ab;P	12	IGNORE
Glomerulær basalmembran-Ab;P	12	IGNORE
2014-063 4,5 mL BLÅ x 2	12	IGNORE
2014-063 4,0 mL RØD x 1	12	IGNORE
SERUM rød 10 ml x 1, ctDNA Metastat	12	IGNORE
EDTA lilla 9 ml x 3, ctDNA Metastat	12	IGNORE
Melatonin;P	12	IGNORE
Teknisk analyse til Ciclosporin	12	IGNORE
Projekt Rhema afd NordStarDRB 2017	12	IGNORE
Projekt ctDNA Metastatisk	12	IGNORE
Dehydroepiandro.[DHEAS](LC-MS/MS);P	12	IGNORE
2015-053 B STEMI V2, 14.45-06.30	12	IGNORE
LGI1-IgG;P	12	IGNORE
Borrelia burgd.-Ab(IgM)(Csv/P);Csv	12	IGNORE
2015-101 4 mL RØD x 2	12	IGNORE
AMPAR2-IgG;P	12	IGNORE
2015-101 3 mL LiHep x 2	12	IGNORE
NK-VUE 1 ml x 1, DETECT	12	IGNORE
Pr. 2011-050 PEQ Infektions Biobank	12	IGNORE
Proj-002 4 mL EDTA 1 af 1	12	IGNORE
Rotem, hepariniseret patient;B	12	IGNORE
Parvovirus B19 (DNA);P	12	IGNORE
Projekt AVADEC	11	IGNORE
Plasminogenaktivatorinhib.1(imm.);P	11	IGNORE
Laktatdehydrogenase 3;LDH(P)	11	IGNORE
Hepatitis B virus(DNA),genotype;P	11	IGNORE
Rivaroxaban;P	11	IGNORE
2017-042 S 4,5 NUNC x 2 URIN	11	IGNORE
FISH(OUH);B	11	IGNORE
Selenium transferase-IgG [SLA/LP];P	11	IGNORE
Projekt NeoToc	11	IGNORE
Neutrophils::Neutrophilocytter - POCT;B	11	Neutrophils#
Laktatdehydrogenase 2;LDH(P)	11	IGNORE
Serum rød 10 ml x 1, NeoToc	11	IGNORE
Tek Parathyrin;P	11	IGNORE
Thrombintid;P	11	IGNORE
Laktatdehydrogenase 4;LDH(P)	11	IGNORE
Platelets::Trombocytter (mikr);B	11	Platelets
Poikilocytter;B	11	IGNORE
Histamin Releasing test;B	11	IGNORE
Aspergillus niger (m207)-IgG;P	11	IGNORE
Protein S frit (imm.);P	11	IGNORE
HLA-B27(Ag);Lkc(B)	11	IGNORE
Schistocytter;B	11	IGNORE
2017-042 S FÆCESRØR x 2	11	IGNORE
Ehrlichia IgG+IgM;P	11	IGNORE
Coronavirus SARS-Cov-2-IgM;P	11	IGNORE
DPYD-tolkning	11	IGNORE
qPCR, patientspecifik;B	11	IGNORE
Laktatdehydrogenase 5;LDH(P)	11	IGNORE
Lymfocytter, B/T/NK;B	11	IGNORE
Projekt Course	11	IGNORE
Projekt information	11	IGNORE
Glucose, middel (fra HbA1c)(POCT);P	11	IGNORE
Vasoaktivt intestinalt polypeptid;P	11	IGNORE
Glukose (30 min);P(kB)	11	IGNORE
Laktatdehydrogenase 1;LDH(P)	11	IGNORE
Glukose (60 min);P(kB)	11	IGNORE
RNA pol III RPC1-IgG;P	11	IGNORE
EDTA k2 lilla 9 ml x 2, NeoToc	11	IGNORE
Herpes simplexvirus (DNA);P	11	IGNORE
Nucleus(homogen farvning)-IgG;P	11	IGNORE
Leucocytes::Leukocytter - POCT;B	11	WBC
Enterovirus (RNA);P	11	IGNORE
Familiær Hyperkolesterolæmi;DNA(B)	11	IGNORE
Eosinophils::Eosinofilocytter - POCT;B	11	Eosinophils#
Coronavirus SARS-CoV-2-Ab;P	10	IGNORE
Amylase, spyttype;P	10	IGNORE
Human herpesvirus 6(DNA);Csv	10	IGNORE
Acetylcholinreceptor-Ab(IgG);P	10	IGNORE
Herpes simplexvirus 1(DNA);Csv	10	IGNORE
RBGB COVID3 - TEK 4 mL EDTA 3 af 3	10	IGNORE
EXOSC9-IgG [PM-Scl75];P	10	IGNORE
Polymyositis(Ku)-IgG;P	10	IGNORE
Cryptococcus neofor/galtti(DNA);Csv	10	IGNORE
Bas.fos. abnormt bånd(semikvant);P	10	IGNORE
Leukocytter(polynukl.);Lkc(Ledv)	10	IGNORE
Trombofiliudredning;Pt	10	IGNORE
SAE1-IgG;P	10	IGNORE
Cancer Antigen 19-9 (Roche);P	10	IGNORE
RBGB COVID1 - TEK 4 mL EDTA 1 af 3	10	IGNORE
2014-062 4mL EDTA x 2	10	IGNORE
RBGB COVID2 - TEK 4 mL EDTA 2 af 3	10	IGNORE
2011-050 4 mL EDTA x 3	10	IGNORE
Intrinsic faktor-IgG;P	10	IGNORE
Oxyhæmoglobin;Csv	10	IGNORE
Parechovirus(RNA);Csv	10	IGNORE
Glat muskel-Ab(IgG);P	10	IGNORE
Blodtype(AB0; Rh D);Erc(B)	10	IGNORE
Afd. E OUH: Booking af tid til prvt	10	IGNORE
NK-VUE 1 ml x 1, BioProstCur	10	IGNORE
SERUM rød 10 ml x 1, BioProstCur	10	IGNORE
Inhalations-Ag (d1;e1;3;5;82)-IgE;P	10	IGNORE
NK-VUE 1 ml x 1, NeoToc	10	IGNORE
Streptococcus pneumoniae(DNA);Csv	10	IGNORE
Mi2-alpha-IgG;P	10	IGNORE
Leukocytter(mononukl.);Lkc(Ledv)	10	IGNORE
IGF-bindende protein 3;P	10	IGNORE
2014-062 6 mL RØD x 2	10	IGNORE
RBGB COVID5 - TEK 6 mL RØD 2 af 2	10	IGNORE
Projekt BioProstCur	10	IGNORE
Human alphaherpesvirus 3(DNA);Csv	10	IGNORE
Listeria monocytogenes(DNA);Csv	10	IGNORE
2015-007 J GSK2269557	10	IGNORE
Neisseria meningitidis(DNA);Csv	10	IGNORE
Isoleuc.-tRNA synthet-IgG[OJ];P	10	IGNORE
Streptococcus agalactiae(DNA);Csv	10	IGNORE
2013-014 4 ml EDTA x 2	10	IGNORE
2013-014 6 ml RØD x 7	10	IGNORE
MORC3-IgG;P	10	IGNORE
2013-014 3 ml Lihep x 6	10	IGNORE
2014-069 S VALHEM Korttarmssyndrom	10	IGNORE
2014-069 4,0 mL EDTA x 2	10	IGNORE
2014-069 3,0 mL LiHe x 2	10	IGNORE
EDTA k2 lilla 4 ml x 2, BoneBio	10	IGNORE
Pr2016 BoneBio behandling	10	IGNORE
2019-034 X BONE Biobank R-lab	10	IGNORE
2019-034 X Bone 10 mL EDTA 2 af 2	10	IGNORE
Projekt SOUL	10	IGNORE
2014-069 6,0 mL RØD x 2	10	IGNORE
2019-034 X Bone  9 mL RØD 1 af 1	10	IGNORE
Procollagen III, N-terminal propeptid,P	10	IGNORE
Protein(0 1 2 3 );U	10	IGNORE
Haemophilus influenzae(DNA);Csv	10	IGNORE
Mannanbindende lectin;P	10	IGNORE
CXCL13;Csv	10	IGNORE
Escherichia coli(DNA);Csv	10	IGNORE
2013-014 9 ml EDTA x 1	10	IGNORE
HLA-klasse II-Ab;P	10	IGNORE
TIF1-gamma-IgG;P	10	IGNORE
TEK-LILLA3	10	IGNORE
2019-034 X Bone 10 mL EDTA 1 af 2	10	IGNORE
Dyrkning;Csv	10	IGNORE
2013-014 1 x Paxgene	10	IGNORE
2014-062 J COPD	10	IGNORE
Glycyl-tRNA synthet.-IgG [Ej];P	10	IGNORE
Herpes simplexvirus 2(DNA);Csv	10	IGNORE
RBGB COVID4 - TEK 6 mL RØD 1 af 2	10	IGNORE
Polymyositis(SRP)-IgG;P	10	IGNORE
Hydrogencarbonaat (standard);P	10	IGNORE
2014-062 3 mL LiHe x 2	10	IGNORE
Koriogonadotropin+beta[HCGtumor];P	10	IGNORE
Glukose-ratio;Csv/P	10	IGNORE
2013-014 S Leversygdom	10	IGNORE
2021 INDEED projekt	10	IGNORE
Bynkeambrosie (w1)-IgE;P	10	IGNORE
Insulin;P	10	IGNORE
PVT ikke mulig pga. undersøgelse	10	IGNORE
LDL::KolesterolLDL(direkte);P	10	LDL
SARS-CoV-2 Nucleprotein-IgG;P	10	IGNORE
T-lymphocytter(helper);B	10	IGNORE
EDTA lilla 9 ml x 3, BioProstCur	10	IGNORE
Polymyositis(PL-7)-IgG;P	10	IGNORE
MDA-5-IgG;P	10	IGNORE
Mitose spindel-IgG;P	9	IGNORE
Ecstacy;U	9	IGNORE
GABA-B receptor 1-IgG;Csv	9	IGNORE
2017-042 S 3 mL LiHep 2 af 5	9	IGNORE
Morbillivirus-Ab(IgG);P	9	IGNORE
Projekt MATINEE, EKG	9	IGNORE
Taljeomkreds;Pt	9	IGNORE
Immunglobulin E;P(nsB)	9	IGNORE
Paraneoplastic Tr-IgG;Csv	9	IGNORE
LGI1-IgG;Csv	9	IGNORE
Protein S frit;P	9	IGNORE
AMPAR1-IgG;Csv	9	IGNORE
Neuroncellekerne Hu-IgG;Csv	9	IGNORE
2017-042 S 6 mL RØD 3 af 3	9	IGNORE
2015-053 4 mL EDTA x 1	9	IGNORE
Steroid-metabolit gruppe;Pt(U)	9	IGNORE
2013-080  J ENERGITO	9	IGNORE
2017-042 S 6 mL RØD 3 af 7	9	IGNORE
Udred. af forlænget APTT;P	9	IGNORE
Centromer-IgG;P	9	IGNORE
DRP-5-IgG;Csv	9	IGNORE
Amphiphysin-IgG;Csv	9	IGNORE
2017-042 S 6 mL RØD 1 af 7	9	IGNORE
Nucleusmembran-IgG;P	9	IGNORE
2017-042 S 6 mL RØD 1 af 3	9	IGNORE
2017-042 S 3 mL LiHep 3 af 5	9	IGNORE
2014-029 B LOOP	9	IGNORE
Herpes simplex virus(DNA) [HSV];P	9	IGNORE
2017-042 S 3 mL LiHep 1 af 5	9	IGNORE
Cocain+metabolit;U	9	IGNORE
Recoverin-IgG;Csv	9	IGNORE
Polymyositis/Dermatomyocitis;P	9	IGNORE
GAD65-Ab (neurologi) kvant;P	9	IGNORE
PNMA2-IgG;Csv	9	IGNORE
2018-025 N Cannabis EKG	9	IGNORE
2017-056 R LIFE Under behandling	9	IGNORE
2017-027 S Antitrypsin FU DK	9	IGNORE
AMPAR2-IgG;Csv	9	IGNORE
Nucleolus-IgG;P	9	IGNORE
CDR2-IgG;Csv	9	IGNORE
2017-042 S 3 mL LiHEP 2 af 3	9	IGNORE
Clomipramin;P	9	IGNORE
3,4-Methylendioxymetamfetamin;U	9	IGNORE
2018-015 L 2,0 mL Sartedt x 6	9	IGNORE
Myelinassoc. glykoprot.-IgM;P	9	IGNORE
2018-016 L Bone Post	9	IGNORE
EDTA 9 ml x 3, RAS/RAF	9	IGNORE
MPT/KAT, tolkning;P	9	IGNORE
HLA-klasse I-Ab;P	9	IGNORE
Projekt RAS/RAF	9	IGNORE
Infliximab;P	9	IGNORE
Cannabinoid;U	9	IGNORE
Immunglobulin-oligokloni;Csv	9	IGNORE
Total Calcium * fosfat produkt;P	9	IGNORE
Nucleusprik-IgG;P	9	IGNORE
Glukose;Ledv	9	IGNORE
Clomipramin+desmethylclomipramin;P	9	IGNORE
Metadon;U	9	IGNORE
Monocytes::Monocytter - POCT;B	9	Monocytes#
Infliximab-Ab;P	9	IGNORE
2017-042 S 3 mL LiHEP 1 af 3	9	IGNORE
2017-042 S 4 mL EDTA 1 af 1	9	IGNORE
NMDAR1-IgG;Csv	9	IGNORE
Morbillivirus-Ab(IgM);P	9	IGNORE
Hantavirus IgG+IgM;P	9	IGNORE
Lever cytosol type 1-IgG;P	9	IGNORE
Calcitonin;P(fPt)	9	IGNORE
2017-042 S 6 mL RØD 2 af 3	9	IGNORE
2017-042 S 3 mL LiHEP 3 af 3	9	IGNORE
Trc.hæmning, P2Y12(VerifyNow);Trc	9	IGNORE
2017-042 S 6 mL RØD 2 af 7	9	IGNORE
BMI;Pt	9	IGNORE
RØD 10 ml x 3, RAS/RAF	9	IGNORE
2018-016 L Bone Post 4 mL EDTA x 2	9	IGNORE
Desmethylclomipramin;P	9	IGNORE
Hamsterepitel (e84)-IgE;P	9	IGNORE
Streptococcus pneumoniae(ag);U	9	IGNORE
Ribonucleoprotein-Ab(IgG) [RNP];P	9	IGNORE
Cerebellum-IgG;P	9	IGNORE
Valnød (f256)-IgE;P	9	IGNORE
Zinc finger prot ZIC 4-IgG;Csv	9	IGNORE
Aspergillus terreus (m36)-IgE;P	9	IGNORE
CASPR2-IgG;Csv	9	IGNORE
Titin-IgG;Csv	9	IGNORE
Projekt FOKUS blod	9	IGNORE
SOX-1-IgG;Csv	9	IGNORE
NOVA1-IgG;Csv	9	IGNORE
Aspergillus versic. (m25-1)-IgE;P	9	IGNORE
Borrelia burgdorferi IgG+IgM;P	9	IGNORE
Borrelia burgdorferi-Ab gruppe;Csv	8	IGNORE
SERPINA1 (Standard) (SLB Vejle)	8	IGNORE
Polymyositis(PL-12)-IgG;P	8	IGNORE
RØD serum 9 ml, PerPros	8	IGNORE
Blå-citrat(KF-lab)	8	IGNORE
Blodtryk(diastolisk);Arm	8	IGNORE
Blodtryk(systolisk);Arm	8	IGNORE
Corona SARS-Cov-2-Ab (personale);P	8	IGNORE
Teknisk analyse 7, 25OHD3	8	IGNORE
P-Bindevævssygdom-relateret-Ab;P	8	IGNORE
Kolesterol;Plv	8	IGNORE
Koproporfyr. III / Koproporfyr. I;U	8	IGNORE
KIA-Knoglebank	8	IGNORE
Dyrkning (bacterium+fungus);aB sæt2	8	IGNORE
Projekt CanArt biobank	8	IGNORE
EDTA k2 lilla 9 ml  CanArt	8	IGNORE
Husstøv (h2;d1;2;i6)-IgE;P	8	IGNORE
2013-011 R Kamil,Basel,C1,EC,28PT	8	IGNORE
Choriogonadotropin alfa [HCG];P	8	IGNORE
Rickettsia typhi-Ab(IgG);P	8	IGNORE
LiHep4,5 ml INDEED	8	IGNORE
Arkivprøve;Csv	8	IGNORE
2017-042 S 4,5 NUNC x 1 SPYT RNA	8	IGNORE
Treponema pallidum flagel-IgG;P	8	IGNORE
DNA-oprensning til opbevaring	8	IGNORE
Complement C4;P	8	IGNORE
2020-034 V COVIPOC 4 mL EDTA 1 af 1	8	IGNORE
Bordetella pertussis-Ab;P	8	IGNORE
Anulocytter;B	8	IGNORE
Kappa-kæde(frit;monoklonalt);U	8	IGNORE
Lymphocytes::Lymfocytter - POCT;B	8	Lymphocytes#
Legeme masse;Pt	8	IGNORE
Uroporfyrin / Kreatinin;U	8	IGNORE
Rickettsia typhi-Ab(IgM);P	8	IGNORE
