Read0	Read1	Read3	Read4	Read code	description	internal comment 2016	status 2016	type 2016	organ 2016	internal comment 2015	status 2015	type 2015	organ 2015	read_code	medical_freq	ahd_freq
4	48	484	484	B484.00	Malignant neoplasm of epididymis					tumor	cancer	na	na	B484.00	4	
4	48	486	486	B486.00	Malignant neoplasm of scrotum					tumor	cancer	na	na	B486.00	118	
4	48	48y	48y.	B48y.00	Malignant neoplasm of other male genital organ					tumor	cancer	na	na	B48y.00	13	
4	48	48y	48yz	B48yz00	Malignant neoplasm of other male genital organ NOS					tumor	cancer	na	na	B48yz00	8	
4	49	49	49..	B49..00	Malignant neoplasm of urinary bladder		Cancer	Bladder	Bladder	tumor	cancer	bladder	bladder	B49..00	30777	476
4	49	490	490	B490.00	Malignant neoplasm of trigone of urinary bladder					tumor	cancer	bladder	bladder	B490.00	47	
4	49	491	491	B491.00	Malignant neoplasm of dome of urinary bladder					tumor	cancer	bladder	bladder	B491.00	58	
4	49	492	492	B492.00	Malignant neoplasm of lateral wall of urinary bladder					tumor	cancer	bladder	bladder	B492.00	203	1
4	49	493	493	B493.00	Malignant neoplasm of anterior wall of urinary bladder					tumor	cancer	bladder	bladder	B493.00	41	
4	49	494	494	B494.00	Malignant neoplasm of posterior wall of urinary bladder					tumor	cancer	bladder	bladder	B494.00	95	
4	49	495	495	B495.00	Malignant neoplasm of bladder neck					tumor	cancer	bladder	bladder	B495.00	88	
4	49	496	496	B496.00	Malignant neoplasm of ureteric orifice					tumor	cancer	na	na	B496.00	146	1
4	49	49y	49y.	B49y.00	Malignant neoplasm of other site of urinary bladder					tumor	cancer	bladder	bladder	B49y.00	63	
4	49	49y	49y0	B49y000	"Malignant neoplasm, overlapping lesion of bladder"					tumor	cancer	bladder	bladder	B49y000	7	
4	49	49z	49z.	B49z.00	Malignant neoplasm of urinary bladder NOS					tumor	cancer	bladder	bladder	B49z.00	4571	38
4	4A	4A.	4A..	B4A..00	Malig neop of kidney and other unspecified urinary organs		Cancer	Kidney	Kidney	tumor	cancer	kidney	kidney	B4A..00	3184	57
4	4A	4A.	4A..	B4A..11	Renal malignant neoplasm					tumor	cancer	kidney	kidney	B4A..11	1728	55
4	4A	4A0	4A0.	B4A0.00	Malignant neoplasm of kidney parenchyma					tumor	cancer	kidney	kidney	B4A0.00	3713	31
4	4A	4A0	4A00	B4A0000	Hypernephroma					tumor	cancer	na	na	B4A0000	590	18
4	4A	4A1	4A1.	B4A1.00	Malignant neoplasm of renal pelvis					tumor	cancer	kidney	kidney	B4A1.00	447	7
4	4A	4A1	4A1z	B4A1z00	Malignant neoplasm of renal pelvis NOS					tumor	cancer	kidney	kidney	B4A1z00	113	1
4	4A	4A2	4A2.	B4A2.00	Malignant neoplasm of ureter					tumor	cancer	na	na	B4A2.00	534	7
4	4A	4A3	4A3.	B4A3.00	Malignant neoplasm of urethra		Cancer	Bladder	Bladder	tumor	cancer	na	na	B4A3.00	149	4
4	4A	4Ay	4Ay.	B4Ay.00	Malignant neoplasm of other urinary organs					tumor	cancer	na	na	B4Ay.00	16	
4	4A	4Az	4Az.	B4Az.00	Malignant neoplasm of kidney or urinary organs NOS					tumor	cancer	kidney	kidney	B4Az.00	1627	33
4	4y	4y.	4y..	B4y..00	Malignant neoplasm of genitourinary organ OS		Cancer	Genitourinary	na	tumor	cancer	na	na	B4y..00	54	
4	4z	4z.	4z..	B4z..00	Malignant neoplasm of genitourinary organ NOS		Cancer	Genitourinary	na	tumor	cancer	na	na	B4z..00	62	
5	5	5..	5...	B5...00	Malignant neoplasm of other and unspecified sites					tumor	morph	na	na	B5...00	2365	31
5	5	5..	5...	B5...11	Carcinoma of other and unspecified sites					medr_tumor;tumor	cancer	na	na	B5...11	643	62
5	50	50	50..	B50..00	Malignant neoplasm of eye					tumor	cancer	na	na	B50..00	386	
5	50	500	500z	B500z00	Malignant neoplasm of eyeball NOS					tumor	cancer	na	na	B500z00	13	
5	50	501	501	B501.00	Malignant neoplasm of orbit					tumor	cancer	na	na	B501.00	28	
5	50	503	503	B503.00	Malignant neoplasm of conjunctiva					tumor	cancer	na	na	B503.00	32	
5	50	504	504	B504.00	Malignant neoplasm of cornea					tumor	cancer	na	na	B504.00	7	
5	50	505	505	B505.00	Malignant neoplasm of retina					tumor	cancer	na	na	B505.00	35	1
5	50	506	506	B506.00	Malignant neoplasm of choroid					tumor	cancer	na	na	B506.00	415	
5	50	507	5070	B507000	Malignant neoplasm of lacrimal sac					tumor	cancer	na	na	B507000	1	
5	50	508	508	B508.00	"Malignant neoplasm, overlapping lesion of eye and adnexa"					tumor	cancer	na	na	B508.00	20	
5	50	50y	50y.	B50y.00	Malignant neoplasm of other specified site of eye					tumor	cancer	na	na	B50y.00	21	
5	50	50z	50z.	B50z.00	Malignant neoplasm of eye NOS					tumor	cancer	na	na	B50z.00	28	
5	51	51	51..	B51..00	Malignant neoplasm of brain		Cancer	Brain	Brain	tumor	cancer	na	na	B51..00	3245	132
5	51	51	51..	B51..11	Cerebral tumour - malignant					tumor	cancer	na	na	B51..11	690	48
5	51	510	510	B510.00	Malignant neoplasm cerebrum (excluding lobes and ventricles)					tumor	cancer	na	na	B510.00	144	
5	51	510	5101	B510100	Malignant neoplasm of cerebral cortex					tumor	cancer	na	na	B510100	32	2
5	51	510	5105	B510500	Malignant neoplasm of thalamus					tumor	cancer	na	na	B510500	17	1
5	51	510	510z	B510z00	Malignant neoplasm of cerebrum NOS					tumor	cancer	na	na	B510z00	29	1
5	51	511	511	B511.00	Malignant neoplasm of frontal lobe					tumor	cancer	na	na	B511.00	192	1
5	51	512	512	B512.00	Malignant neoplasm of temporal lobe					tumor	cancer	na	na	B512.00	89	1
5	51	512	512z	B512z00	Malignant neoplasm of temporal lobe NOS					tumor	cancer	na	na	B512z00	28	
5	51	513	513	B513.00	Malignant neoplasm of parietal lobe					tumor	cancer	na	na	B513.00	129	5
5	51	514	514	B514.00	Malignant neoplasm of occipital lobe					tumor	cancer	na	na	B514.00	35	1
5	51	516	516	B516.00	Malignant neoplasm of cerebellum					tumor	cancer	na	na	B516.00	124	6
5	51	51y	51y.	B51y.00	Malignant neoplasm of other parts of brain					tumor	cancer	na	na	B51y.00	20	1
5	51	51y	51y0	B51y000	Malignant neoplasm of corpus callosum					tumor	cancer	na	na	B51y000	10	
5	51	51z	51z.	B51z.00	Malignant neoplasm of brain NOS					tumor	cancer	na	na	B51z.00	507	4
5	52	52	52..	B52..00	Malig neop of other and unspecified parts of nervous system					tumor	cancer	na	na	B52..00	14	
5	52	520	5200	B520000	Malignant neoplasm of olfactory bulb					tumor	cancer	na	na	B520000	2	
5	52	520	5202	B520200	Malignant neoplasm of acoustic nerve					tumor	cancer	na	na	B520200	14	
5	52	521	521	B521.00	Malignant neoplasm of cerebral meninges					tumor	cancer	na	na	B521.00	36	1
5	52	522	522	B522.00	Malignant neoplasm of spinal cord					tumor	cancer	na	na	B522.00	89	
5	52	523	523	B523.00	Malignant neoplasm of spinal meninges					tumor	cancer	na	na	B523.00	9	
5	52	524	5242	B524200	"Malignant neoplasm of peripheral nerve of low limb, incl hip"					tumor	cancer	na	na	B524200	1	
5	52	524	5245	B524500	Malignant neoplasm of peripheral nerve of pelvis					tumor	cancer	na	na	B524500	5	
5	52	525	525	B525.00	Malignant neoplasm of cauda equina					tumor	cancer	na	na	B525.00	42	1
5	53	53	53..	B53..00	Malignant neoplasm of thyroid gland		Cancer	Thyroid	Thyroid	medr_tumor;tumor	cancer	na	na	B53..00	4860	40
5	54	54	54..	B54..00	Malig neop of other endocrine glands and related structures					tumor	cancer	na	na	B54..00	51	
5	54	540	540	B540.00	Malignant neoplasm of adrenal gland					tumor	cancer	na	na	B540.00	170	3
5	54	540	540	B540.11	Phaeochromocytoma		Benign	na	na	tumor;benign	benign	na	na	B540.11	854	8
5	54	540	540z	B540z00	Malignant neoplasm of adrenal gland NOS					tumor	cancer	na	na	B540z00	17	1
5	54	541	541	B541.00	Malignant neoplasm of parathyroid gland					tumor	cancer	na	na	B541.00	43	1
5	54	542	542	B542.00	Malignant neoplasm pituitary gland and craniopharyngeal duct					tumor	cancer	na	na	B542.00	3	
5	54	542	5420	B542000	Malignant neoplasm of pituitary gland					tumor	cancer	na	na	B542000	83	3
5	54	545	5450	B545000	Malignant neoplasm of glomus jugulare					tumor	cancer	na	na	B545000	29	1
5	54	545	5451	B545100	Malignant neoplasm of aortic body					tumor	cancer	na	na	B545100	2	
5	54	54y	54y.	B54y.00	Malignant neoplasm of other specified endocrine gland					tumor	cancer	na	na	B54y.00	9	
5	54	54z	54z.	B54z.00	Malig neop of endocrine gland or related structure NOS					tumor	cancer	na	na	B54z.00	10	
5	55	55	55..	B55..00	Malignant neoplasm of other and ill-defined sites					tumor	cancer	na	na	B55..00	193	3
5	55	550	550	B550.00	"Malignant neoplasm of head, neck and face"					tumor	cancer	na	na	B550.00	4953	
5	55	550	5500	B550000	Malignant neoplasm of head NOS					tumor	cancer	na	na	B550000	66	
5	55	550	5501	B550100	Malignant neoplasm of cheek NOS					tumor	cancer	na	na	B550100	84	
5	55	550	5502	B550200	Malignant neoplasm of nose NOS					tumor	cancer	na	na	B550200	80	1
5	55	550	5503	B550300	Malignant neoplasm of jaw NOS					tumor	cancer	na	na	B550300	28	1
5	55	550	5504	B550400	Malignant neoplasm of neck NOS					tumor	cancer	na	na	B550400	149	2
5	55	550	5505	B550500	Malignant neoplasm of supraclavicular fossa NOS					tumor	cancer	na	na	B550500	14	
5	55	550	550z	B550z00	"Malignant neoplasm of head, neck and face NOS"					tumor	cancer	na	na	B550z00	34	
5	55	551	5510	B551000	Malignant neoplasm of axilla NOS					tumor	cancer	na	na	B551000	48	
5	55	551	5511	B551100	Malignant neoplasm of chest wall NOS					tumor	cancer	na	na	B551100	51	1
5	55	551	5512	B551200	Malignant neoplasm of intrathoracic site NOS					tumor	cancer	na	na	B551200	3	
5	55	551	551z	B551z00	Malignant neoplasm of thorax NOS					tumor	cancer	na	na	B551z00	7	
5	55	552	552	B552.00	Malignant neoplasm of abdomen					tumor	cancer	na	na	B552.00	193	
5	55	553	553	B553.00	Malignant neoplasm of pelvis					tumor	cancer	na	na	B553.00	33	
5	55	553	5530	B553000	Malignant neoplasm of inguinal region NOS					tumor	cancer	na	na	B553000	6	
5	55	553	553z	B553z00	Malignant neoplasm of pelvis NOS					tumor	cancer	na	na	B553z00	11	
5	55	554	554	B554.00	Malignant neoplasm of upper limb NOS					tumor	cancer	na	na	B554.00	47	
5	55	555	555	B555.00	Malignant neoplasm of lower limb NOS					tumor	cancer	na	na	B555.00	85	1
5	55	55y	55y.	B55y.00	Malignant neoplasm of other specified sites					tumor	cancer	na	na	B55y.00	44	
5	55	55y	55y0	B55y000	Malignant neoplasm of back NOS					tumor	cancer	na	na	B55y000	15	
5	55	55y	55yz	B55yz00	Malignant neoplasm of specified site NOS					tumor	cancer	na	na	B55yz00	95	
5	55	55z	55z.	B55z.00	Malignant neoplasm of other and ill defined site NOS					tumor	cancer	na	na	B55z.00	28	
5	56	56	56..	B56..00	Secondary and unspecified malignant neoplasm of lymph nodes		Metastases To	Metastases	Lymph Nodes	tumor	cancer	na	na	B56..00	730	2
5	56	56	56..	B56..11	Lymph node metastases					tumor	cancer	na	na	B56..11	1904	6
5	56	560	560	B560.00	Secondary and unspec malig neop lymph nodes head/face/neck					tumor	cancer	na	na	B560.00	65	1
5	56	560	5600	B560000	Secondary and unspec malig neop of superficial parotid LN					tumor	cancer	na	na	B560000	7	
5	56	560	5601	B560100	Secondary and unspec malignant neoplasm mastoid lymph nodes					tumor	cancer	na	na	B560100	3	
5	56	560	5602	B560200	Secondary and unspec malig neop superficial cervical LN					tumor	cancer	na	na	B560200	12	
5	56	560	5603	B560300	Secondary and unspec malignant neoplasm occipital lymph node					tumor	cancer	na	na	B560300	4	
5	56	560	5609	B560900	Secondary and unspec malig neop deep cervical LN					tumor	cancer	na	na	B560900	7	
5	56	560	560z	B560z00	Secondary unspec malig neop lymph nodes head/face/neck NOS					tumor	cancer	na	na	B560z00	16	
5	56	561	561	B561.00	Secondary and unspec malig neop intrathoracic lymph nodes					tumor	cancer	na	na	B561.00	19	
5	56	561	5612	B561200	Secondary and unspec malig neop diaphragmatic lymph nodes					tumor	cancer	na	na	B561200	4	
5	56	561	5613	B561300	Secondary and unspec malig neop ant mediastinal lymph nodes					tumor	cancer	na	na	B561300	27	
5	56	561	5615	B561500	Secondary and unspec malig neop paratracheal lymph nodes					tumor	cancer	na	na	B561500	8	
5	56	561	5618	B561800	Secondary and unspec malig neop bronchopulmonary lymph nodes					tumor	cancer	na	na	B561800	9	
5	56	561	5619	B561900	Secondary and unspec malig neop pulmonary lymph nodes					tumor	cancer	na	na	B561900	43	
5	56	561	561z	B561z00	Secondary and unspec malig neop intrathoracic LN NOS					tumor	cancer	na	na	B561z00	7	
5	56	562	5621	B562100	Secondary and unspec malig neop superficial mesenteric LN					tumor	cancer	na	na	B562100	3	
5	56	563	563	B563.00	Secondary and unspec malig neop axilla and upper limb LN					tumor	cancer	na	na	B563.00	40	
5	56	563	5630	B563000	Secondary and unspec malig neop axillary lymph nodes					tumor	cancer	na	na	B563000	95	
5	56	564	5640	B564000	Secondary and unspec malig neop superficial inguinal LN					tumor	cancer	na	na	B564000	12	
5	56	564	564z	B564z00	Secondary and unspec malig neop of inguinal and leg LN NOS					tumor	cancer	na	na	B564z00	8	
5	56	565	565	B565.00	Secondary and unspec malig neop intrapelvic lymph nodes					medr_tumor;tumor	cancer	na	na	B565.00	20	
5	56	56z	56z.	B56z.00	Secondary and unspec malig neop lymph nodes NOS					tumor	cancer	na	na	B56z.00	197	
5	57	57	57..	B57..00	Secondary malig neop of respiratory and digestive systems		Metastases To	Metastases	na	tumor	cancer	na	na	B57..00	183	2
5	57	57	57..	B57..11	Metastases of respiratory and/or digestive systems					tumor	morph	na	na	B57..11	1681	72
5	57	57	57..	B57..12	Secondary carcinoma of respiratory and/or digestive systems					tumor	cancer	na	na	B57..12	40	2
5	57	570	570	B570.00	Secondary malignant neoplasm of lung		Metastases To	Metastases	Lung and Bronchus	medr_tumor;tumor	cancer	lung	lung	B570.00	4234	81
5	57	571	571	B571.00	Secondary malignant neoplasm of mediastinum					tumor	cancer	na	na	B571.00	40	1
5	57	572	572	B572.00	Secondary malignant neoplasm of pleura					tumor	cancer	na	na	B572.00	280	1
5	57	575	575	B575.00	Secondary malignant neoplasm of large intestine and rectum					tumor	cancer	crc	rectum;colon	B575.00	30	3
5	57	575	5750	B575000	Secondary malignant neoplasm of colon					tumor	cancer	na	na	B575000	122	8
5	57	575	5751	B575100	Secondary malignant neoplasm of rectum					tumor	cancer	crc	rectum	B575100	22	1
5	57	575	575z	B575z00	Secondary malig neop of large intestine or rectum NOS					tumor	cancer	crc	rectum;colon	B575z00	10	
5	57	576	5760	B576000	Secondary malignant neoplasm of retroperitoneum					tumor	cancer	na	na	B576000	31	
5	57	576	5761	B576100	Secondary malignant neoplasm of peritoneum					tumor	cancer	na	na	B576100	274	1
5	57	576	5762	B576200	Malignant ascites					tumor	cancer	na	na	B576200	688	3
5	57	576	576z	B576z00	Secondary malig neop of retroperitoneum or peritoneum NOS					tumor	cancer	na	na	B576z00	6	
5	57	577	577	B577.00	Secondary malignant neoplasm of liver		Metastases To	Metastases	Liver	tumor	cancer	liver	meta	B577.00	4176	46
5	57	577	577	B577.11	Liver metastases		Metastases To	Metastases	Liver	medr_tumor;tumor	cancer	liver	meta	B577.11	11420	220
5	57	577	5770	B577000	Secondary malignant neoplasm of liver intrahepatic bile duct					tumor;liver	cancer	liver	meta			
5	57	57y	57y.	B57y.00	Secondary malignant neoplasm of other digestive organ					tumor	cancer	na	na	B57y.00	40	1
5	58	58	58..	B58..00	Secondary malignant neoplasm of other specified sites		Metastases To	Metastases	na	tumor	morph	na	na	B58..00	5440	126
5	58	58	58..	B58..11	Secondary carcinoma of other specified sites					tumor	cancer	na	na	B58..11	162	1
5	58	580	580	B580.00	Secondary malignant neoplasm of kidney		Metastases To	Metastases	Kidney	tumor	cancer	kidney	meta	B580.00	160	2
5	58	581	5811	B581100	Secondary malignant neoplasm of bladder					tumor	cancer	na	na	B581100	78	6
5	58	582	582	B582.00	Secondary malignant neoplasm of skin					tumor	cancer	na	na	B582.00	269	23
5	58	582	5820	B582000	Secondary malignant neoplasm of skin of head					tumor	cancer	na	na	B582000	17	
5	58	582	5822	B582200	Secondary malignant neoplasm of skin of neck					tumor	cancer	na	na	B582200	11	
5	58	582	5826	B582600	Secondary malignant neoplasm of skin of breast					tumor	cancer	na	na	B582600	57	1
5	58	582	582z	B582z00	Secondary malignant neoplasm of skin NOS					tumor	cancer	na	na	B582z00	26	
5	58	583	583	B583.00	Secondary malignant neoplasm of brain and spinal cord					tumor	cancer	na	na	B583.00	412	2
5	58	583	5830	B583000	Secondary malignant neoplasm of brain		Metastases To	Metastases	Brain	tumor	cancer	na	na	B583000	2449	18
5	58	583	5831	B583100	Secondary malignant neoplasm of spinal cord					tumor	cancer	na	na	B583100	116	2
5	58	583	5832	B583200	Cerebral metastasis		Metastases To	Metastases	Brain	tumor	cancer	na	na	B583200	4842	196
5	58	583	583z	B583z00	Secondary malignant neoplasm of brain or spinal cord NOS					tumor	cancer	na	na	B583z00	21	2
5	58	585	585	B585.00	Secondary malignant neoplasm of bone and bone marrow		Metastases To	Metastases	Bones	medr_tumor;tumor	cancer	na	na	B585.00	6480	30
5	58	585	5850	B585000	Pathological fracture due to metastatic bone disease					tumor	cancer	na	na	B585000	851	5
5	58	586	586	B586.00	Secondary malignant neoplasm of ovary					tumor	cancer	na	na	B586.00	121	
5	58	587	587	B587.00	Secondary malignant neoplasm of adrenal gland					tumor	cancer	na	na	B587.00	130	
5	58	58y	58y.	B58y.00	Secondary malignant neoplasm of other specified sites					tumor	cancer	na	na	B58y.00	213	2
5	58	58y	58y0	B58y000	Secondary malignant neoplasm of breast					tumor	cancer	na	na	B58y000	291	9
5	58	58y	58y2	B58y200	Secondary malignant neoplasm of cervix uteri					tumor	cancer	na	na	B58y200	11	1
5	58	58y	58y3	B58y300	Secondary malignant neoplasm of vagina					tumor	cancer	na	na	B58y300	11	
5	58	58y	58y5	B58y500	Secondary malignant neoplasm of prostate					tumor	cancer	prostate	prostate	B58y500	288	18
5	58	58y	58yz	B58yz00	Secondary malignant neoplasm of other specified site NOS					tumor	cancer	na	na	B58yz00	229	3
5	58	58z	58z.	B58z.00	Secondary malignant neoplasm of other specified site NOS					tumor	cancer	na	na	B58z.00	662	1
5	59	59	59..	B59..00	Malignant neoplasm of unspecified site		Cancer	na	na	tumor	cancer	na	na	B59..00	187	10
5	59	590	590	B590.00	Disseminated malignancy NOS		Metastases To	Metastases	na	tumor	morph	na	na	B590.00	15278	638
5	59	590	590	B590.11	Carcinomatosis					medr_tumor;tumor	morph	na	na	B590.11	5867	3237
5	59	591	591	B591.00	Other malignant neoplasm NOS		Cancer	na	na	tumor	cancer	na	na	B591.00	117	1
5	59	593	593	B593.00	Primary malignant neoplasm of unknown site		Cancer	na	na	tumor	cancer	na	na	B593.00	296	85
5	59	594	594	B594.00	Secondary malignant neoplasm of unknown site		Metastases To	Metastases	na	tumor	cancer	na	na	B594.00	83	2
5	59	59z	59z.	B59z.00	Malignant neoplasm of unspecified site NOS					tumor	cancer	na	na	B59z.00	79	1
5	59	59z	59zX	B59zX00	"Kaposi's sarcoma, unspecified"					tumor	cancer	na	na	B59zX00	38	
5	5y	5y.	5y..	B5y..00	Malignant neoplasm of other and unspecified site OS					tumor	cancer	na	na	B5y..00	63	
5	5z	5z.	5z..	B5z..00	Malignant neoplasm of other and unspecified site NOS					medr_tumor;tumor	cancer	na	na	B5z..00	7811	11
6	6	6..	6...	B6...00	Malignant neoplasm of lymphatic and haemopoietic tissue		Cancer	Blood	na	tumor	cancer	blood	NHL	B6...00	1664	3
6	60	601	601	B601.00	Lymphosarcoma					tumor	cancer	na	na	B601.00	168	
6	60	601	601z	B601z00	Lymphosarcoma NOS					tumor	cancer	na	na	B601z00	8	1
6	60	602	602	B602.00	Burkitt's lymphoma		Cancer	Blood	NHL	tumor	cancer	blood	NHL	B602.00	369	7
6	60	602	6023	B602300	Burkitt's lymphoma of intra-abdominal lymph nodes		Cancer	Blood	NHL	tumor	cancer	blood	NHL	B602300	4	
6	61	61	61..	B61..00	Hodgkin's disease		Cancer	Blood	HODG	tumor	cancer	blood	HODG	B61..00	8694	25
6	61	613	613	B613.00	"Hodgkin's disease, lymphocytic-histiocytic predominance"					tumor	cancer	blood	HODG	B613.00	30	
6	61	614	614	B614.00	"Hodgkin's disease, nodular sclerosis"					tumor	cancer	blood	HODG	B614.00	463	1
6	61	614	614z	B614z00	"Hodgkin's disease, nodular sclerosis NOS"					tumor	cancer	blood	HODG	B614z00	49	
6	61	616	6167	B616700	"Hodgkin's disease, lymphocytic depletion of spleen"					tumor	cancer	blood	HODG	B616700	1	
6	61	61z	61z.	B61z.00	Hodgkin's disease NOS					tumor	cancer	blood	HODG	B61z.00	167	
6	61	61z	61z1	B61z100	"Hodgkin's disease NOS of lymph nodes of head, face and neck"					tumor	cancer	blood	HODG	B61z100	29	
6	61	61z	61z2	B61z200	Hodgkin's disease NOS of intrathoracic lymph nodes					tumor	cancer	blood	HODG	B61z200	15	
6	61	61z	61z8	B61z800	Hodgkin's disease NOS of lymph nodes of multiple sites					tumor	cancer	blood	HODG	B61z800	10	
6	61	61z	61zz	B61zz00	Hodgkin's disease NOS					tumor	cancer	blood	HODG	B61zz00	145	
6	62	62	62..	B62..00	Other malignant neoplasm of lymphoid and histiocytic tissue		Cancer	Blood	NHL	tumor	cancer	blood	NHL	B62..00	182	2
6	62	620	6201	B620100	"Nodular lymphoma of lymph nodes of head, face and neck"					tumor	cancer	blood	NHL	B620100	25	
6	62	620	620z	B620z00	Nodular lymphoma NOS					tumor	cancer	blood	NHL	B620z00	44	
6	62	621	621	B621.00	Mycosis fungoides					tumor	cancer	blood	NHL	B621.00	2008	1
6	62	621	621z	B621z00	Mycosis fungoides NOS					tumor	cancer	blood	NHL	B621z00	28	
6	62	622	622	B622.00	Sezary's disease					tumor	cancer	blood	NHL	B622.00	76	2
6	62	624	624	B624.00	Leukaemic reticuloendotheliosis		Cancer	Blood	LEU	tumor	cancer	blood	LEU	B624.00	47	
6	62	624	624	B624.12	Hairy cell leukaemia		Cancer	Blood	HCL	tumor	cancer	blood	HCL	B624.12	299	3
6	62	625	625	B625.00	Letterer-Siwe disease					tumor	cancer	blood	UNS	B625.00	45	
6	62	625	625	B625.11	"Histiocytosis X (acute, progressive)"					tumor	cancer	blood	UNS	B625.11	156	1
6	62	627	627	B627.00	Non - Hodgkin's lymphoma					medr_tumor;tumor	cancer	blood	NHL	B627.00	12806	304
6	62	627	627	B627.11	Non-Hodgkin lymphoma					tumor	cancer	blood	NHL	B627.11	109	1
6	62	627	6270	B627000	Follicular non-Hodgkin's small cleaved cell lymphoma					tumor	cancer	blood	NHL	B627000	90	2
6	62	627	6272	B627200	Follicular non-Hodgkin's large cell lymphoma					tumor	cancer	blood	NHL	B627200	51	1
6	62	627	6277	B627700	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma					tumor	cancer	blood	NHL	B627700	82	
6	62	627	6278	B627800	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)					tumor	cancer	blood	NHL	B627800	15	
6	62	627	627A	B627A00	Diffuse non-Hodgkin's large cell lymphoma					tumor	cancer	blood	NHL	B627A00	76	2
6	62	627	627B	B627B00	Other types of follicular non-Hodgkin's lymphoma					tumor	cancer	blood	NHL	B627B00	56	1
6	62	627	627C	B627C00	Follicular non-Hodgkin's lymphoma					tumor	cancer	blood	NHL	B627C00	682	2
6	62	627	627C	B627C11	Follicular lymphoma NOS					tumor	cancer	blood	NHL	B627C11	1117	4
6	62	627	627E	B627E00	Diffuse large B-cell lymphoma					tumor	cancer	blood	NHL	B627E00	477	6
6	62	627	627W	B627W00	Unspecified B-cell non-Hodgkin's lymphoma					tumor	cancer	blood	NHL	B627W00	616	8
6	62	627	627X	B627X00	"Diffuse non-Hodgkin's lymphoma, unspecified"					tumor	cancer	blood	NHL	B627X00	105	1
6	62	628	628	B628.00	Follicular lymphoma					tumor	cancer	blood	NHL	B628.00	676	6
6	62	62x	62x.	B62x.00	Malignant lymphoma otherwise specified					tumor	cancer	blood	NHL	B62x.00	841	26
6	62	62x	62x0	B62x000	T-zone lymphoma					tumor	cancer	blood	NHL	B62x000	11	
6	62	62x	62x2	B62x200	Peripheral T-cell lymphoma					tumor	cancer	blood	NHL	B62x200	151	1
6	62	62x	62xX	B62xX00	Oth and unspecif peripheral & cutaneous T-cell lymphomas					tumor	cancer	blood	NHL	B62xX00	131	
6	62	62y	62y.	B62y.00	Malignant lymphoma NOS					tumor	cancer	blood	NHL	B62y.00	4931	54
6	62	62y	62y0	B62y000	Malignant lymphoma NOS of unspecified site					tumor	cancer	blood	NHL	B62y000	24	
6	62	62y	62y1	B62y100	"Malignant lymphoma NOS of lymph nodes of head, face and neck"					tumor	cancer	blood	NHL	B62y100	41	
6	62	62y	62y2	B62y200	Malignant lymphoma NOS of intrathoracic lymph nodes					tumor	cancer	blood	NHL	B62y200	6	
6	62	62y	62y4	B62y400	Malignant lymphoma NOS of lymph nodes of axilla and arm					tumor	cancer	blood	NHL	B62y400	5	
6	62	62y	62y5	B62y500	Malignant lymphoma NOS of lymph node inguinal region and leg					tumor	cancer	blood	NHL	B62y500	10	
6	62	62y	62y6	B62y600	Malignant lymphoma NOS of intrapelvic lymph nodes					tumor	cancer	blood	NHL	B62y600	3	
6	62	62y	62y7	B62y700	Malignant lymphoma NOS of spleen					tumor	cancer	blood	NHL	B62y700	23	
6	62	62y	62y8	B62y800	Malignant lymphoma NOS of lymph nodes of multiple sites					tumor	cancer	blood	NHL	B62y800	109	
6	62	62y	62yz	B62yz00	Malignant lymphoma NOS					tumor	cancer	blood	NHL	B62yz00	695	2
6	62	62z	62z.	B62z.00	Malignant neoplasms of lymphoid and histiocytic tissue NOS					tumor	cancer	blood	NHL	B62z.00	5	
6	62	62z	62z1	B62z100	Unspec malig neop lymphoid/histiocytic lymph node head/neck					tumor	cancer	blood	NHL	B62z100	6	
6	62	62z	62z5	B62z500	Unspec malig neop lymphoid/histiocytic nodes inguinal/leg					tumor	cancer	blood	NHL	B62z500	5	
6	63	63	63..	B63..00	Multiple myeloma and immunoproliferative neoplasms		Cancer	Blood	MM	tumor	cancer	blood	MM	B63..00	74	4
6	63	630	630	B630.00	Multiple myeloma					medr_tumor;tumor	cancer	blood	MM	B630.00	11755	337
6	63	630	630	B630.12	Myelomatosis					tumor	cancer	blood	MM	B630.12	278	4
6	63	630	6300	B630000	"Malignant plasma cell neoplasm, extramedullary plasmacytoma"					tumor	cancer	blood	MM	B630000	83	
6	63	630	6301	B630100	Solitary myeloma					tumor	cancer	blood	MM	B630100	327	3
6	63	630	6302	B630200	Plasmacytoma NOS					tumor	cancer	blood	MM	B630200	621	2
6	63	630	6303	B630300	Lambda light chain myeloma					tumor	cancer	blood	MM	B630300	180	
6	63	631	631	B631.00	Plasma cell leukaemia		Cancer	Blood	LEU	tumor	cancer	blood	LEU	B631.00	102	3
6	63	63y	63y.	B63y.00	Other immunoproliferative neoplasms		Cancer	Blood	na	tumor	cancer	na	na	B63y.00	12	
6	63	63z	63z.	B63z.00	Immunoproliferative neoplasm or myeloma NOS					tumor	cancer	blood	MM	B63z.00	33	1
6	64	64	64..	B64..00	Lymphoid leukaemia		Cancer	Blood	LEU	medr_tumor;tumor	cancer	blood	LEU	B64..00	1119	32
6	64	64	64..	B64..11	Lymphatic leukaemia					tumor	cancer	blood	LEU	B64..11	1717	14
