RC	RN
Fb	Serum HCG Scr
Fa	Serum HCG Scrn
Hw	Serum Immunofix
lz	Serum Lipase
K9	Serum appear
Z5	Sex Hormone Binding Globulin
qc	Sex:
pz	Sezary Cells
Ye	Shape
zD	Sheep sorrel weed
zF	Sheep sorrel weed
jB	Shell Vial 24 hr results:
Jb	Shell Vial results:
Qu	Shig Poly A
Qv	Shig Poly B
Qw	Shig Poly C
Qx	Shig Poly D
O7	Shrimp
O8	Shrimp
sC	Sickle Cell Screen:
oY	Silicon, Blood
Yb	Size
Hc	Size in mm
Yc	Size in mm
pq	Sjogren's Antibodies
Ol	Slide Coag
Lk	Slide Count
a4	Sm/RNP Ab
sy	Smear Processing
Uz	Smear Review by:
si	Smear..........:
rP	Smith-Magenis
rn	Smith-Magenis FISH analysis
rk	Smith-Magenis probe
IU	Sodium
ca	Sodium
hj	Sodium Dialysate
yL	Sodium POCT
nc	Sodium Urine
nd	Sodium Urine
1L	Sodium, WB
qi	Sodium, WB
Ar	Sodium- BF...:
Sn	Sorb Mac
nR	Sotalol
9H	Source
9I	Source
Hb	Source
LT	Source
Zo	Source
Zp	Source
b6	Source
uP	Source
vb	Source
I6	Source for APT
u9	Source for Pertussis:
BI	Source- BF...:
Kk	Source- BF...:
Kl	Source- BF...:
Km	Source- BF...:
Kn	Source- BF...:
SI	Source.......
V4	Source........:
O3	Soybean
O4	Soybean
fO	Spec Gravity
fP	Spec Gravity
ud	Spec Gravity
uz	Spec Gravity
ty	Spec Quality
ZC	Specific Gravity
A2	Specimen
tD	Specimen
LX	Specimen Quality
Hk	Specimen Submitted
TR	Specimen Type
UQ	Specimen Type
et	Specimen Type
qY	Specimen Type
qZ	Specimen Type:
7h	Specimen information
H9	Specimen outdate (BB)
rX	Specimens Received
1u	Sperm
bQ	Sperm Ab IgA
bS	Sperm Ab IgM
AW	Sperm Concentration
ZL	Split Fat
KV	Spouse's HR Number
hx	Spun Hct
Zj	Squam Epi
vz	Staphaurex
z2	Stat Ionized Ca
Va	State Med Invest.No.
KE	State Where Marriage Performed
p6	Status of Unit
oz	Steroids
tm	Stool Occult Blood
31	Stool Occult Blood IA
qN	Stool Osmolality
tq	Stool Phenolphthalein
tr	Stool Porphyrin
n2	Strep Group B Ag
sF	Strep group B
we	Strep pneumo Antigens
sE	Strep pneumoniae
=h	Streptex A
=b	Streptex B
=c	Streptex C
=j	Streptex D
=i	Streptex F
=g	Streptex G
kB	Strepto AB Scr
Ry	Streptomycin
Um	Streptomycin synergy
lG	Striated Muscle Ab
Up	Suc Control
Su	Sucrose Hemolysis
LY	Suggested Follow-Up
pO	Sulfadiazine
Uj	Sulfamethoxazole
oq	Sulfonylurea Hypoglycemic Scrn
qQ	Sulftide Ab
mz	Summary Comment
Qr	Superoxyl 30% H2O2
WW	Surf Mark Bone Marrow
9D	Surface Markers
9G	Surface Markers
um	Symptomatic:
sQ	Synercid
pL	Synergy Studies
pN	Synergy Studies
Mk	Synthesis Rate IgG,CSF
ol	System Delivery
Ca	T Cell Clonality by PCR
Es	T. gondii IgM Ab, EIA
fX	T3 Uptake
Xz	T3, Total
UM	T4 Comments
pr	T4 Evaluation
BW	T4 Free (By Dialysis)
HQ	T4 Results
0Y	TB SUSCEP
ph	TBI Immunoglob
v7	TC PCO2
v8	TC PCO2
kg	THC (Marijuana)
GV	THC Quant (ng/mL)
LJ	THC/Creat Ratio (ng/mg)
eg	TIBC
ku	TIBC/R
GS	TOTAL CELLS
=n	TOXIN 1
=o	TOXIN 2
RE	TSA Growth
RB	TSA Slant
Q7	TSA for subs
hW	TSA/Choc
VM	TSA/MAC Sub
fW	TSH
UN	TSH Comments
py	TSH Evaluation
HR	TSH Results
0h	TSH repeat
sM	TSH(Reflex T4F)
T6	TSH, Newborn Screen
Sq	TSI
Ot	Taxo A
Ou	Taxo P (6-14 Neg)
Dr	Tay Sachs Carrier,Serum
gV	Tc PCO2
gU	Tc PO2
nM	Teichoic acid Ab, ID
v6	Temp
gS	Temp.
01	Test 01
02	Test 02
TS	Test Item
0D	Test Name
0d	Test Name
F6	Test Name
FM	Testosterone
Z8	Testosterone Free
Z6	Testosterone,Free & Total
an	Tetanus Ab Titer
Rz	Tetracycline
nQ	Thallium Blood
cq	Thallium, 24 hr Urine
dA	Theo LD Date
dB	Theo LD Time
dC	Theo ND Date
dD	Theo ND Time
dz	Theophylline
Lh	Therapy
nP	Thiazide Diuretic Survey
Nn	Thick Smear
tl	Thick Smear
tk	Thin Smear
No	Thin smear
hI	Thioridazine, (Mellaril)
md	Thiothixene (Navane)
u4	Thrombin Clotting Time
lH	Thyroglb Ab
Y0	Thyroglob Cyst Fluid
Y1	Thyroglobulin
Z1	Thyroid Stim Immunoglob
2n	Thyroperoxidase Ab.
YV	Thyroxine Binding Globulin
BV	Thyroxine T4 - Total
pj	Tiagabine
S0	Ticarcillin
g0	Tidal Volume
26	Tigecycline
Ga	Time Ended Collection
6Z	Time Orig Coll
A4	Time Received
GY	Time Start Collection (urine)
6X	Time in hours
X3	Time of call:
S1	Timentin
Nv	Timothy grass
Nw	Timothy grass
aS	Tiss TG IgA Ab
GC	Tissue
zQ	Tissue Transglutaminase IGG
tF	Titer
nB	Tob Pk LD Date
nC	Tob Pk LD Time
nD	Tob Pk ND Date
nE	Tob Pk ND Time
cT	Tob Tr LD Date
cU	Tob Tr LD Time
cV	Tob Tr ND Date
cW	Tob Tr ND Time
S3	Tobramycin
cS	Tobramycin Peak
Ct	Tobramycin Ran
cX	Tobramycin Tr
eP	Vancom Trough
=C	Vancomycin
S6	Vancomycin
QA	Vancomycin (5ug)
2t	Vancomycin CSF
eJ	Vancomycin Peak
lg	Vancomycin, Quan CSF
Xq	Vanilmandelic Acid HPLC
hQ	Varicella Ab
hR	Varicella ID
js	Varicella Zoster IgG
YW	Vasoactive Intestinal Polypep
FU	Ve-L
pg	Vent
gZ	Vent Rate
oS	Verapamil
sg	Vibrio Culture.:
CZ	Viral Load
CX	Viral Load Collection Date:
AU	Viscosity
ZS	Viscosity, Serum
YY	Vit B12 Binding Capacity
Yn	Vit D 1,25-Dihydroxy
2e	Vit D 25OH, D2
2d	Vit D 25OH, D3
YC	Vitamin A
qP	Vitamin B1 (Thiamine)
Xl	Vitamin B6
W0	Vitamin D 125
wE	Vitamin D 25-Hydroxy
lC	Vitamin E
AT	Volume
Fu	Volume
GL	Volume
dM	Volume
qz	Volume
GM	Volume on site
Eq	Von W Activity
OS	Von Will factor multimers
19	Voriconazole
FS	Vt Machine
v1	Vt Machine
FT	Vt Spontaneous
pa	Vt/Ve
2S	W-LMV QC
2R	W-SMV QC
Zg	WBC
uM	WBC
w.	WBC
wc	WBC
2l	WBC CSF/ cu mm
AR	WBC's
Br	WBC's / cu mm
uq	WBC/HPF
1p	WBC/uL
NJ	Walnut Tree
NK	Walnut Tree
zt	Walnut tree, Californian
zx	Walnut tree, Californian
K4	Washington Newborn Screen
IC	Weeks Gest. Age Based On
hF	Weeks of Gestation
xv	West Nile Ab CSF
O1	Wheat
O2	Wheat
NL	White Ash tree
NM	White Ash tree
CO	White Faced Hornet
CP	White Faced Hornet
KS	Wife Pregnant?
rQ	Williams
rl	Williams FISH analysis
rm	Williams probe
NB	Willow tree
NC	Willow tree
SL	Workup
tc	Worm Identification
sZ	Wound Culture Type
1v	X'tal
hU	XLD Sub
RG	XXAmikacin
RI	XXAztreonam
RQ	XXCefixime
RZ	XXChloramphenicol
Rj	XXImipenem
Rp	XXNaladixic Acid
Rr	XXNorfloxacin
Rt	XXOfloxacin
Rv	XXPenicillin
Rx	XXRifampin
qK	Xanax
2g	Xanthochromia
1w	YLC
tw	Yeast
yc	Yeast Culture
CK	Yellow Hornet
CL	Yellow Hornet
CI	Yellow Jacket
CJ	Yellow Jacket
oh	Yersinia Ab
ys	Yersinia Culture
=3	Yst Def ID
I3	ZU Body Fl C3
Hs	ZU IGG Synthesis Rate
so	Zeil-Nelson....:
QX	Ziel Nielsen
zn	Zinc - Plasma
e0	Zinc Protoporphrin
ob	Zinc, 24 Hr Urine
bu	Zinc, Plasma
X8	Zonisamide (Zonegran[R])
nv	a/A
7b	aPTT for Lupus Panel
R2	api 20E
0L	comment for aml
Ez	ctO2
mr	d-Xylose
oX	d-Xylose, 1 Hr
7f	dRVVT Confirm for Inet use.
q9	hCG Tumor Marker CSF
/1	hl7 only
/2	hl7 only
/3	hl7 only
/4	hl7 only
/5	hl7 only
/6	hl7 only
/7	hl7 only
/8	hl7 only
/9	hl7 only
3M	hs Cardiac CRP
l8	iCa POCT
Hi	msAFP Only (OHSU)
i4	msAFP Screen
2x	organic base worklist
ay	pCO2
B8	pH
b5	pH
g4	pH
gK	pH
ib	pH
uL	pH STOOL
eq	pH Scalp
Zq	pH Urine
qk	pH, WB
OW	pH,Pleural Fl.
AK	pH- BF.......:
az	pO2
s7	qc item
EG	sO2
yq	sO2 POC
wW	tHB POC
Ey	tHb
Gv	temp rh
r1	type of heparin
Gg	used in ali
Ep	vonWillebrand Ag
oQ	Tocainide, Serum
ZI	Topiramate (Topomax)
Bd	Total
Bm	Total
kk	Total
kp	Total
cH	Total Bili Neonatal
cn	Total Bilirubin
2C	Total CO2
b3	Total CO2
gQ	Total CO2
ia	Total CO2
ih	Total CO2
yv	Total CO2 POCT
2F	Total Cell Count
BL	Total Cells Ct
Bu	Total Cells Ct
hg	Total Fetal RBC
I1	Total Galactose
Ls	Total Hgb
Be	Total Motile
Bn	Total Motile/Insemination
AP	Total Motility
Bg	Total Motility
OZ	Total Phenytoin
6F	Total Protein
ct	Total Protein
MW	Total Protein, CSF
MU	Total Protein,Serum
hf	Total RBC
AX	Total Sperm Number
G0	Total T3
fV	Total T4
Gt	Total T4 (OHSU Only)
Fz	Total Vit D
kx	Total Vol 24 Hr
pK	Total Weight
XK	Total Weight (Fecal Fat)
Sl	Touch Prep
wp	Toxoplas DNA Qual
Er	Toxoplasmosis Anti IgG
i2	Toxoplasmosis CSF
i3	Toxoplasmosis IgG Ab
Lm	Toxoplasmosis IgG Ab
eh	Transferrin Sat
a1	Transferrin, Serum
HI	Transfusion Rx Workup
C2	Transplant History:
bg	Trazodone, Serum
rC	Trehalose
qy	Tri18 Interpretation
s6	Tri18 Pat Risk Calc
qt	Tri18 Patient Risk
qu	Tri18 Risk Flag
qx	Tri18 Screen Result
o7	Trichinella Antibodies
nO	Trichloroacetic Acid
tv	Trichomonas
tM	Tricyclic Antidepressants:
tR	Tricyclic Confirm Urine
wF	Tricyclics ID and Quant
lf	Trifluoperazine (Stelazine)
AB	Triglycer, BF
KB	Triglycer,Fast
dE	Triglycer,Fast
ea	Triglycer,NF
oR	Trihexyphenidyl
S5	Trimeth/Sulfa
nY	Trimethadione
S4	Trimethoprim
m4	Trimipramine
WP	Troponin I
MM	Troponin-I
xV	TruCount High QC
x3	TruCount Low QC
xX	TruCount Med QC
h2	Trypsin, Serum
h1	Tryptase
oH	Tryptase
nX	Tryptophan
hi	Tube #
Om	Tube Coag
QN	Tween 80
hr	Type of Fluid
Mm	Type of Heparin
2b	U2 Review Wet/Dry
tO	UA Tested at:
ei	UIBC
Fx	UR Free Cort
dY	UUN Random
QD	UV
p3	Unit ABO
p2	Unit Number
p4	Unit Rh
ko	Ur Amp (QC)
k1	Ur BE (QC)
l2	Ur Codeine (QC)
VX	Ur Creat g/L
Fw	Ur Free Cort
7W	Ur Hydrocodone (QC)
7X	Ur Hydromorphone (QC)
3W	Ur MDMA (QC)
9e	Ur MDMA (QC)
l0	Ur Metaamp (QC)
tP	Ur Micro Tested at:
l3	Ur Morphine (QC)
7Y	Ur Oxycodone (QC)
7Z	Ur Oxymorphone (QC)
s9	Ur. Ca
dW	Ur. Creat.
dX	Ur. Creatinine
Ps	Urea
dI	Urea Urine
dJ	Urea Urine
dK	Urea Urine
AO	Urea, BF
ok	Ureaplasma Urealyticum Clt
d4	Uric Ac Random
cl	Uric Acid
d2	Uric Acid Urine
AC	Uric Acid- BF:
rY	Urinary Calculi
Ha	Urine Creat
He	Urine Creat
gy	Urine Drug Screen
kf	Urine Drug Screen/Ref
Gi	Urine Ethanol
FE	Urine Ethanol:
LD	Urine Glucose
fQ	Urine HCG
Hx	Urine Immunofixation
=2	Urine Pres ID
rv	Urine Specimen Type
3h	Urine culture for DYNAMB
dG	Urine volume
s8	Urine. Ca
uJ	Urobilinogen
m5	Urobilinogen, Urine
oo	Uroporphyrinogen-1 Syn
lQ	Uroporphyrinogen-1-Synthase
gI	VLDL Chol
kA	VMA
PX	VP
jA	VZ Final
Qh	VZ IFA
ao	VZV Ab IgM, IFA
C8	VZVG QCem
0S	Va Disk (6-14 R)
04	Va well/sub
dk	Valpro LD Date
k6	Valpro LD Date
dl	Valpro LD Time
k7	Valpro LD Time
dm	Valpro ND Date
k8	Valpro ND Date
dn	Valpro ND Time
k9	Valpro ND Time
dj	Valproic Acid
kw	Valproic Acid
EK	Vanc LD Date
EL	Vanc LD Time
EM	Vanc ND Date
EN	Vanc ND Time
eK	Vanc Pk LD Date
eL	Vanc Pk LD Time
eM	Vanc Pk ND Date
eN	Vanc Pk ND Time
ES	Vancom Random
