PC	PN
UCO	UR CHEMSTRIP ONLY MASTER
UC1	UR CREAT FOR CFU
TH1	UR CREAT FOR TOX
UP1	UR PROTEIN, UPE
RUN	UREA NITROGEN UR. RANDOM
UUN	UREA NITROGEN,URINE
BUR	UREA, BODY FLUID
UUC	UREAPLASMA UREALYTIC CLT
URA	URIC ACID
UUA	URIC ACID URINE
RUA	URIC ACID URINE RANDOM
BUA	URIC ACID, BODY FLUID
U3	URINALYSIS (NO CULTURE)
URN	URINE CULTURE
URX	URINE CULTURE MASTER
CFU	URINE FREE CORTISOL
P76	URINE POS ID #2
P77	URINE POS ID #3
P79	URINE POS ID #5
P80	URINE POS ID #8
UPE	URINE PRO ELECTROPHORESIS
PES	URINE PROT ELECTRO,RANDOM
UPC	URINE PROTEIN /CRE RANDOM
UPQ	URINE PROTEIN QUANTITATED
URE	URINE REDUCING SUBSTANCES
URS	URINE SENSITIVITY
RAH	URINE UROBILINOGEN QUANT
P81	URINE YEAST PANEL
UUR	UROBILINOGEN,URINE
P75	UTINE ID POS#1
VAL	VALPROIC ACID
RVA	VALPROIC ACID/REFERRED
VAP	VANCOMYCIN PEAK
VAN	VANCOMYCIN RANDOM
VAT	VANCOMYCIN TROUGH
VAG	VARICELLA IGM
VZ	VARICELLA ZOSTER CULTURE
VAR	VARICELLA ZOSTER IGG
RVI	VASOACTIVE INTEST POLYPEP
VDR	VDRL, CSF
VEN	VENIPUNCTURE METHOD
VNF	VENIPUNCTURE METHOD,SNF
VOC	VERBAL ORDER CONFRIM
VLC	VERY LONG CHAIN F ACIDS
VIB	VIBRIO CULTURE
VSA	VIRAL STUDIES, ACUTE
VSC	VIRAL STUDIES, CONVALESNT
VDI	VIRUS DEFINITIVE ID
VIS	VISCOSITY
VIA	VITAMIN A
VB1	VITAMIN B1 (THIAMINE)
VBB	VITAMIN B12 BND CAPACITY
VB6	VITAMIN B6
VIC	VITAMIN C
D25	VITAMIN D,25 HYDROXY
VID	VITAMIN D-1,25 DIHYDROXY
VIE	VITAMIN E
RVM	VMA (VANILLYLMANDELIC A)
FRA	VON W FACTOR ACTIVITY
F8X	VON WILL FACTOR MULTIMERS
VOR	VORICONAZOLE LEVEL
VRR	VRE SCREEN CULTURE
VRX	VRE SCREEN MASTER
VRS	VRE SCREEN SENSITIVITY
JY	VZ PRELIM 2
JZ	VZ PRELIM 3
WLA	WALNUT IGE ALLERGEN
WHA	WHEAT IGE ALLERGEN
WFH	WHITE FACED HRNT IGE ALRN
WIF	WILLIAMS FISH
HID	WORKLOAD HPLC ID
WMI	WORM IDENTIFICATION
WAN	WOUND ANA BILLING
WND	WOUND CULTURE
WNG	WOUND CULTURE GRAM STAIN
WNX	WOUND CULTURE MASTER
WNS	WOUND SENSITIVITY
RBM	XANAX
BF	XB12/FOLATE(HOMOCYSTEINE)
F24	XFECAL FAT 24 HR QUANT
F48	XFECAL FAT 48 HR QUANT
SP1	XTOTAL PROTEIN FOR SPE
UC2	XUR CREAT FOR THC
XAC	XX ACTIVATED CLOT TIME
PHB	XX BLOOD, PH
X15	XX CA 15-3
CIS	XX CHROMSOME INSTABILITY
RE1	XX CYCLIC AMP
DGT	XX DNA GENETIC TESTING
DGA	XX DNA TESTING AMNIO FLD
DER	XX DRUG EXPAN SEDATIVE SC
DSR	XX DRUG SCREEN SEDATIVES
XG2	XX GTT 2 HOUR ABRIEV
XG1	XX GTT 2HR ROUTINE
XHA	XX HEP A AB IGG
XLD	XX LEGIONELLA DNA PROBE
XNB	XX NEUT BACTERICIDAL AS
XSZ	XX STREPTOZYME
XSN	XX SUSEPTIBILITY
RDS	XX URINE DRUG SCREEN/REF
HAM	XXACID HEMOLYSIN (HAM)
CAL	XXALBUMIN, CSF
RB4	XXAMIODARONE
RSY	XXANA (SYNOVIAL FLUID)
ACA	XXANTI-CENTROMERE AB
DNT	XXANTI-NDNA TITER
MIC	XXANTIB.SENS.AERO MIC/MBC
MIF	XXANTIBIO.SENS.MIC.FUNG
BAG	XXBACT AG DETECTION CSF
UBI	XXBILIRUBIN,URINE
BT	XXBLEEDING TIME, SIMPLATE
ABG	XXBLOOD GAS MASTER
LPG	XXBLOOD GAS MED OFFICE
BC3	XXBODY FLUID C3
BC4	XXBODY FLUID C4
RKF	XXCAFFEINE LEVEL
CAU	XXCARBAMAZEPINE, UNBOUND
CDP	XXCHLORDIAZEPOXIDE, SERUM
BCL	XXCHLORIDE, BODY FLUID
CHY	XXCHYLOMICRONS
CCK	XXCK,CARDIAC
RCF	XXCLOSTRIDIUM DIFF TOXIN
CH	XXCMV,RUBELLA,HERPES(TORC
RC6	XXCOMPLEMENT 6
RCS	XXCREATINE
CPE	XXCSF PROTEIN ELECT
CY4	XXCYSTICERCOSIS AB, CSF
RCN	XXCYSTINE QUAL URINE
C01	XXCYTOLOGY BODY FLUID
C06	XXCYTOLOGY BRUSHINGS
C08	XXCYTOLOGY HERPES(TZANCK)
C04	XXCYTOLOGY SPUTUM
C05	XXCYTOLOGY WASHINGS
^UR	XXCYTOLOGY, URINE
RDX	XXD-XYLOSE ABSORPTION
DES	XXDESIPRAMINE
NRP	XXDISOPYRAMIDE
DRG	XXDRUGS--OTHER REQUESTS
REN	XXENCAINIDE
EEG	XXENDOGENOUS ERYTHROID GW
FLM	XXFETAL LUNG MATURITY
RPZ	XXFLUOXETINE
FHT	XXFOLATE HCT
FMA	XXFORMIC ACID, URINE
RLS	XXFUROSEMIDE
GAB	XXGABAPENTIN (NEURONTIN)
GTP	XXGLU 3 H(GTT),PREG,UR
G3H	XXGLUCOSE 3H
G4H	XXGLUCOSE 4H
G5H	XXGLUCOSE 5H
G6H	XXGLUCOSE 6H
GPI	XXGLUCOSE PHOS ISOMERASE
G2A	XXGLUCOSE TOL 2H ABB UR
TT1	XXGLUCOSE TOLERANCE 2H
FOB	XXHEMOCCULT-COLON CANCER
OCC	XXHEMOCCULT-COLON CANCER
HEF	XXHEMOGLOBIN F
RO2	XXHEMOGLOBIN O2 AFFINITY
HRL	XXHEP C RNA PCR, QUAL
HRC	XXHEPATITIS C RIBA 3.0
HDM	XXHEPATITIS D IGM AB
HEX	XXHEX PHOSPHOLIPID APTT
RHV	XXHOMOVANILLIC ACID
HYP	XXHYPERAL PANEL
IBU	XXIBUPROFEN
IAB	XXIGA SECRETORY
IMI	XXIMIPRAMINE/DESIPRAMINE
IFL	XXINFLUENZA AB TYPE AANDB
FLU	XXINFLUENZAE A AND B AG
HFI	XXINR - HOME FINGERSTICK
IFB	XXINSULIN TOTAL FREE & BN
JAK	XXJAK2 MUTATION ANALYSIS
RKC	XXKAOLIN CLOTTING TIME
SKE	XXKETONES, SERUM
UKE	XXKETONES,URINE
LAA	XXLACTATE ARTERIAL
LAW	XXLACTATE WHOLE BLOOD
LAP	XXLEUK ALK PHOS
RL3	XXLYMPH AG & MIT PROLIFL
LUD	XXMAPROTILINE
MAL	XXME ALCOHOL PANEL
MAM	XXME AMPHETAMINE CONFIRM
BOB	XXME BLOOD ORGANIC BASE
MCM	XXME CARBON MONOXIDE
MCO	XXME COCAINE CONFIRM
MCR	XXME CREATININE, VIT.FL.
MDE	XXME DEMOGRAPHICS
MGL	XXME GLUCOSE, VIT. FL
ME	XXME MED EXAMNR DRUG SCR
MMS	XXME MISCELLANEOUS
MOP	XXME OPIATE CONFIRM
MRW	XXME REFERRED WORK
MSE	XXME SEDATIVE SCREEN
MUN	XXME UREA, VIT.FL.
UOB	XXME URINE ORGANIC BASE
MVF	XXME VITREOUS FLUID MASTE
MVL	XXME VITREOUS LYTES
MSD	XXMESORIDAZINE (SERENTIL)
REL	XXMETHSUXIMIDE
MHA	XXMETHYLHIPPURIC ACID
RME	XXMEXILETINE
ZBF	XXMISC BODY FLUID
FRE	XXMOLEC FRAGILE XE
FMD	XXMOLEC FSHMD
BCR	XXMOLECULAR BCR/ABL QUAL
MCZ	XXMORICIZINE (ETHMOZINE)
MYO	XXMYOCARDIAL AB
NPT	XXNEOPTERIN
RPL	XXNIFEDIPINE
NTG	XXNITRATE, BLOOD
TPN	XXNUTRITION (BASE/MON)
ENH	XXNUTRITION-ENTERAL /THUR
ENB	XXNUTRITION-ENTERAL(B/M)
TPD	XXNUTRITION-TPN D2,3,4
OH2	XXOCC HEALTH PANEL 2
PP3	XXOR NA,K,HCT
OST	XXOSTEOCALCIN
IOX	XXOXYCODONE URINE CONFIRM
PCN	XXPANA ANTIBODY
RBN	XXPCB(POLYCHLORINATE BIPH
PEP	XXPEDS ENDOCRIN PANEL
PHS	XXPH SCALP
PHN	XXPHENCYCLIDINE SCREEN
PCP	XXPHENCYCLIDINE, SERUM
PLZ	XXPHENELZINE
PTZ	XXPHENOTHIAZINE SCREEN
PP7	XXPOC SEVEN PLUS PROFILE
PP6	XXPOC SIX PLUS PROFILE
RPA	XXPOLY RIBOSE PHOS AB
BK	XXPOTASSIUM, BODY FLUID
PI1	XXPREG HYPERTENS PROF
RBZ	XXPROPAFENONE(RHYTHMAL)
PPX	XXPROPOXYPHENE (DARVON)
PRX	XXPROPOXYPHENE SCREEN
FPS	XXPSA FREE, % FREE
PSF	XXPSA,FREE AND TOTAL
PCX	XXPYRIDINIUM COLLAGEN XLI
DCR	XXREFLEX COMP. DRUG SCR.
SCB	XXSECOBARBITAL
GAS	XXSETTINGS - BLOOD GASES
BNA	XXSODIUM, BODY FLUID
SOT	XXSOTALOL
SUC	XXSUCROSE HEMOLYSIS
T3	XXT3 UPTAKE
TAA	XXTEICHOIC ACID ANTIBODES
TSB	XXTESTOSTERONE, BIOAVAIL
C07	XXTOLOGY NIPPLE DISCHARGE
THD	XXTOTAL HYDROXYPROLINE
TPS	XXTOTAL PSA/REFLEX FREE
T4	XXTOTAL T4
XTP	XXTRIAL3HOUR, PRENATAL
GT2	XXURINE GLU FOR TOLERANCE
UPI	XXUROPORPHYRINOGEN I-SYN
UPG	XXUROPORPHYRINOGEN, ERYTH
VCS	XXVANCOMYCIN, CSF
RVP	XXVERAPAMIL
PEI	XXXB PERTUSSIS AB PANEL
CTD	XXXCYTOMEG DNA BY PCR
WBG	XXXPOC GLUCOSE BY METER
RBG	XXXREPTILASE R-TIME
RAJ	XXYERSINIA ENTERO AB
UP	XXZU (OHSU) PORPHOBILINOG
ZUA	XXZU AFB SENSITIVITIES,RE
IAO	XXZU CSF IGA
AMG	XXZU CSF IGA,IGM,IGG QUAN
IGO	XXZU CSF IGG
ISR	XXZU IGG SYNTH RATE
IGB	XXZU IGG, BODY FLUID
IMB	XXZU IGM, BODY FLUID
BFR	XXZU RA FACTOR, B.FLUID
MIB	XXZU SUSC ANAER BACTER M
P73	YEAST GENERAL WKUP
YSU	YEAST SUSCEPTIBILITY
YHA	YELLOW HORNET IGE ALLRGN
YJA	YELLOW JACKET IGE ALLRGN
YER	YERSINIA CULTURE
RYR	YERSINIA PSEUDOTUBERCULOS
ZT	Z TEST
ZN	ZINC - PLASMA
RZP	ZINC PROTOPORPHRIN
RZU	ZINC URINE
ZNE	ZONISAMIDE
UB1	ZU (OHSU) B12
UD1	ZU (OHSU) DRUG SCREEN P1
UD2	ZU (OHSU) DRUG SCREEN P2
UD3	ZU (OHSU) DRUG SCREEN P3
UD4	ZU (OHSU) DRUG SCREEN P4
UD5	ZU (OHSU) DRUG SCREEN P5
UB2	ZU (OHSU) FOLATE
CRF	ZU CRYOFIBRINOGEN
CYG	ZU CRYOGLOBULIN
IMO	ZU CSF IGM
EXC	ZU EXUDATE CULTURE, QUANT
GCG	ZU GC/GENITAL CULTURE
HAT	ZU HEP A AB, TOTAL
HBN	ZU HEP B CORE AB, TOTAL
HCA	ZU HEP C ANTIBODY
UAF	ZU PRENATAL SCRN AMNIO
STS	ZU STERILITY CULTURE SENS
T4O	ZU TOTAL T4 (OHSU ONLY)
PTO	ZU(OHSU)PARATHYROID HOR
AI	ZY ANTIBODY IDENT
MIS	ZY MISCELLANEOUS
ACP	ZZ ACID PHOSPHATASE
AF1	ZZ AFB PRELIM 1
GBM	ZZ ANTI-GLOM MEMB, QUAL
CDT	ZZ CHLAMYDIA DIRECT TEST
CFH	ZZ CHROMO STUDIES FLUORES
FI1	ZZ FUNGUS ISOLATE PRELIM
FU1	ZZ FUNGUS PRELIMINARY 1
IRG	ZZ GENETIC COUNSELING
AL5	ZZ IBT ALLERGENS
XAP	ZZ MIXING STUDY, APTT
MPT	ZZ MOLEC PAT TESTING
RE0	ZZ MYCOPLASMA IGM BY EIA
PWF	ZZ PRADER-WILLI FISH
SPD	ZZ SPORDI TEST
PTX	ZZ TIME
DU1	ZZ URINE DRUG SCR #1
DU2	ZZ URINE DRUG SCREEN #2
