"icd","ccs","ccsdesc","icddesc","icdvers"
"5312","85","Ing/fem hern","BILAT IND ING HERN REP","ICD-9-CM"
"5313","85","Ing/fem hern","BIL DIR/IND ING HRN REP","ICD-9-CM"
"5314","85","Ing/fem hern","BIL DIR ING HRN REP-GRFT","ICD-9-CM"
"5315","85","Ing/fem hern","BIL IND ING HRN REP-GRFT","ICD-9-CM"
"5316","85","Ing/fem hern","BIL DIR/IND ING HERN-PRO","ICD-9-CM"
"5317","85","Ing/fem hern","BIL ING HRN REP-GRFT NOS","ICD-9-CM"
"5321","85","Ing/fem hern","UNIL FEMOR HRN REP-GRFT","ICD-9-CM"
"5329","85","Ing/fem hern","UNIL FEMOR HERN REP NEC","ICD-9-CM"
"5331","85","Ing/fem hern","BIL FEM HERN REPAIR-GRFT","ICD-9-CM"
"5339","85","Ing/fem hern","BIL FEM HERN REPAIR NEC","ICD-9-CM"
"5341","86","Ot hern repr","UMBIL HERNIA REPAIR-GRFT","ICD-9-CM"
"5342","86","Ot hern repr","LAP UMBIL HERNIA-GRAFT (Begin 2008)","ICD-9-CM"
"5343","86","Ot hern repr","LAP UMBILICAL HERNIA NEC (Begin 2008)","ICD-9-CM"
"5349","86","Ot hern repr","UMBIL HERNIA REPAIR NEC","ICD-9-CM"
"5351","86","Ot hern repr","INCISIONAL HERNIA REPAIR","ICD-9-CM"
"5359","86","Ot hern repr","ABD WALL HERN REPAIR NEC","ICD-9-CM"
"5361","86","Ot hern repr","INCIS HERNIA REPAIR-GRFT","ICD-9-CM"
"5362","86","Ot hern repr","LAP INCIS HERN REPR-GRFT (Begin 2008)","ICD-9-CM"
"5363","86","Ot hern repr","LAP HERN ANT ABD-GFT NEC (Begin 2008)","ICD-9-CM"
"5369","86","Ot hern repr","ABD HERN REPAIR-GRFT NEC","ICD-9-CM"
"537","86","Ot hern repr","ABD REPAIR-DIAPHR HERNIA (End 2008)","ICD-9-CM"
"5371","86","Ot hern repr","LAP ABD REP-DIAPHR HERN (Begin 2008)","ICD-9-CM"
"5372","86","Ot hern repr","OPN ABD DIAPHRM HERN NEC (Begin 2008)","ICD-9-CM"
"5375","86","Ot hern repr","ABD REP-DIAPHR HERN NOS (Begin 2008)","ICD-9-CM"
"5380","86","Ot hern repr","THOR REP-DIAPH HERN NOS","ICD-9-CM"
"5381","86","Ot hern repr","DIAPHRAGMATIC PLICATION","ICD-9-CM"
"5382","86","Ot hern repr","PARASTERN HERNIA REPAIR","ICD-9-CM"
"5383","86","Ot hern repr","LAP THORC APP-DIAPH HERN (Begin 2008)","ICD-9-CM"
"5384","86","Ot hern repr","OPN THORC DIAPH HERN NEC (Begin 2008)","ICD-9-CM"
"539","86","Ot hern repr","OTHER HERNIA REPAIR","ICD-9-CM"
"540","99","OR GI Rx prs","ABDOMINAL WALL INCISION","ICD-9-CM"
"5411","89","Explor lap","EXPLORATORY LAPAROTOMY","ICD-9-CM"
"5412","99","OR GI Rx prs","REOPEN RECENT LAP SITE","ICD-9-CM"
"5419","99","OR GI Rx prs","LAPAROTOMY NEC","ICD-9-CM"
"5421","87","Laparoscopy","LAPAROSCOPY","ICD-9-CM"
"5422","97","Ot GI Dx prs","ABDOMINAL WALL BIOPSY","ICD-9-CM"
"5423","97","Ot GI Dx prs","PERITONEAL BIOPSY","ICD-9-CM"
"5424","97","Ot GI Dx prs","CLOSED INTRA-ABD MASS BX (Begin 1987)","ICD-9-CM"
"5425","97","Ot GI Dx prs","PERITONEAL LAVAGE (Begin 1993)","ICD-9-CM"
"5429","97","Ot GI Dx prs","ABD REGION DX PROC NEC","ICD-9-CM"
"543","99","OR GI Rx prs","DESTRUCT ABD WALL LESION","ICD-9-CM"
"544","99","OR GI Rx prs","DESTRUCT PERITONEAL TISS","ICD-9-CM"
"545","90","Exc perit ad","PERITONEAL ADHESIOLYSIS (End 1996)","ICD-9-CM"
"5451","90","Exc perit ad","LAPSC LYSIS ABD ADHES (Begin 1996)","ICD-9-CM"
"5459","90","Exc perit ad","OTH LYSIS ABD ADHES (Begin 1996)","ICD-9-CM"
"5461","99","OR GI Rx prs","RECLOSE POST OP DISRUPT","ICD-9-CM"
"5462","99","OR GI Rx prs","DELAYED CLOS ABD WOUND","ICD-9-CM"
"5463","99","OR GI Rx prs","ABD WALL SUTURE NEC","ICD-9-CM"
"5464","99","OR GI Rx prs","PERITONEAL SUTURE","ICD-9-CM"
"5471","99","OR GI Rx prs","REPAIR OF GASTROSCHISIS","ICD-9-CM"
"5472","99","OR GI Rx prs","ABDOMEN WALL REPAIR NEC","ICD-9-CM"
"5473","99","OR GI Rx prs","PERITONEAL REPAIR NEC","ICD-9-CM"
"5474","99","OR GI Rx prs","OMENTAL REPAIR NEC","ICD-9-CM"
"5475","99","OR GI Rx prs","MESENTERIC REPAIR NEC","ICD-9-CM"
"5491","88","Abd paracent","ABDOMINAL PARACENTESIS","ICD-9-CM"
"5492","99","OR GI Rx prs","REMOVE FB FROM PERITON","ICD-9-CM"
"5493","99","OR GI Rx prs","CREATE CUTANPERITON FIST","ICD-9-CM"
"5494","99","OR GI Rx prs","CREAT PERITONEOVAS SHUNT","ICD-9-CM"
"5495","99","OR GI Rx prs","PERITONEAL INCISION","ICD-9-CM"
"5496","98","nOR GI Rx pr","INJEC AIR-PERITON CAVITY","ICD-9-CM"
"5497","98","nOR GI Rx pr","INJ THERAP SUBST PERITON","ICD-9-CM"
"5498","91","Perit dialys","PERITONEAL DIALYSIS","ICD-9-CM"
"5499","98","nOR GI Rx pr","ABDOMEN REGION OPS NEC","ICD-9-CM"
"5501","103","Nephrotomy","NEPHROTOMY","ICD-9-CM"
"5502","103","Nephrotomy","NEPHROSTOMY","ICD-9-CM"
"5503","103","Nephrotomy","PERCU NEPHROSTM W/O FRAG (Begin 1986)","ICD-9-CM"
"5504","103","Nephrotomy","PERCU NEPHROSTMY W FRAG (Begin 1986)","ICD-9-CM"
"5511","103","Nephrotomy","PYELOTOMY","ICD-9-CM"
"5512","103","Nephrotomy","PYELOSTOMY","ICD-9-CM"
"5521","100","Urin endosco","NEPHROSCOPY","ICD-9-CM"
"5522","100","Urin endosco","PYELOSCOPY","ICD-9-CM"
"5523","110","Dx prc urin","CLOSED RENAL BIOPSY","ICD-9-CM"
"5524","110","Dx prc urin","OPEN RENAL BIOPSY","ICD-9-CM"
"5529","110","Dx prc urin","RENAL DIAGNOST PROC NEC","ICD-9-CM"
"5531","112","OR Rx urin","RENAL LES MARSUPIALIZAT","ICD-9-CM"
"5532","112","OR Rx urin","OPN ABLTN RENAL LES/TISS (Begin 2006)","ICD-9-CM"
"5533","112","OR Rx urin","PERC ABLTN RENL LES/TISS (Begin 2006)","ICD-9-CM"
"5534","112","OR Rx urin","LAP ABLTN RENAL LES/TISS (Begin 2006)","ICD-9-CM"
"5535","112","OR Rx urin","ABLTN RENAL LES/TISS NEC (Begin 2006)","ICD-9-CM"
"5539","112","OR Rx urin","LOC DESTR RENAL LES NEC","ICD-9-CM"
"554","104","Nephrectomy","PARTIAL NEPHRECTOMY","ICD-9-CM"
"5551","104","Nephrectomy","NEPHROURETERECTOMY","ICD-9-CM"
"5552","104","Nephrectomy","SOLITARY KIDNEY NEPHRECT","ICD-9-CM"
"5553","104","Nephrectomy","REJECTED KIDNEY NEPHRECT","ICD-9-CM"
"5554","104","Nephrectomy","BILATERAL NEPHRECTOMY","ICD-9-CM"
"5561","105","Kidney trans","RENAL AUTOTRANSPLANT","ICD-9-CM"
"5569","105","Kidney trans","KIDNEY TRANSPLANT NEC","ICD-9-CM"
"557","112","OR Rx urin","NEPHROPEXY","ICD-9-CM"
"5581","112","OR Rx urin","SUTURE KIDNEY LACERATION","ICD-9-CM"
"5582","112","OR Rx urin","CLOSE NEPHROST & PYELOST","ICD-9-CM"
"5583","112","OR Rx urin","CLOSE RENAL FISTULA NEC","ICD-9-CM"
"5584","112","OR Rx urin","REDUCE RENAL PEDICL TORS","ICD-9-CM"
"5585","112","OR Rx urin","SYMPHYSIOTOMY","ICD-9-CM"
"5586","112","OR Rx urin","RENAL ANASTOMOSIS","ICD-9-CM"
"5587","112","OR Rx urin","CORRECT URETEROPELV JUNC","ICD-9-CM"
"5589","112","OR Rx urin","RENAL REPAIR NEC","ICD-9-CM"
"5591","112","OR Rx urin","RENAL DECAPSULATION","ICD-9-CM"
"5592","111","nOR Rx urin","PERCUTAN RENAL ASPIRAT","ICD-9-CM"
"5593","111","nOR Rx urin","REPLACE NEPHROSTOMY TUBE","ICD-9-CM"
"5594","111","nOR Rx urin","REPLACE PYELOSTOMY TUBE","ICD-9-CM"
"5595","111","nOR Rx urin","LOCAL RENAL PERFUSION","ICD-9-CM"
"5596","111","nOR Rx urin","RENAL INJECTION NEC","ICD-9-CM"
"5597","112","OR Rx urin","IMPLANT MECHANIC KIDNEY","ICD-9-CM"
"5598","112","OR Rx urin","REMOV MECHANICAL KIDNEY","ICD-9-CM"
"5599","112","OR Rx urin","RENAL OPERATION NEC","ICD-9-CM"
"560","101","Transur rem","TU REMOV URETER OBSTRUCT","ICD-9-CM"
"561","112","OR Rx urin","URETERAL MEATOTOMY","ICD-9-CM"
"562","112","OR Rx urin","URETEROTOMY","ICD-9-CM"
"5631","100","Urin endosco","URETEROSCOPY","ICD-9-CM"
"5632","110","Dx prc urin","CLOSED URETERAL BIOPSY","ICD-9-CM"
"5633","100","Urin endosco","CLOS ENDOSC URETERAL BX (Begin 1987)","ICD-9-CM"
"5634","110","Dx prc urin","OPEN URETERAL BIOPSY (Begin 1987)","ICD-9-CM"
"5635","110","Dx prc urin","ENDOSCOPIC ILEAL CONDUIT (Begin 1987)","ICD-9-CM"
"5639","110","Dx prc urin","URETERAL DX PROCEDUR NEC","ICD-9-CM"
"5640","112","OR Rx urin","URETERECTOMY NOS","ICD-9-CM"
"5641","112","OR Rx urin","PARTIAL URETERECTOMY","ICD-9-CM"
"5642","112","OR Rx urin","TOTAL URETERECTOMY","ICD-9-CM"
"5651","112","OR Rx urin","FORM CUTAN ILEOURETEROST","ICD-9-CM"
"5652","112","OR Rx urin","REVIS CUTAN ILEOURETEROS","ICD-9-CM"
"5661","112","OR Rx urin","FORM CUTAN URETEROSTOMY","ICD-9-CM"
"5662","112","OR Rx urin","REVIS CUTAN URETEROS NEC","ICD-9-CM"
"5671","112","OR Rx urin","URIN DIVERSION TO BOWEL","ICD-9-CM"
"5672","112","OR Rx urin","REVIS URETEROENTEROSTOMY","ICD-9-CM"
"5673","112","OR Rx urin","NEPHROCYSTANASTOMOSI NOS","ICD-9-CM"
"5674","112","OR Rx urin","URETERONEOCYSTOSTOMY","ICD-9-CM"
"5675","112","OR Rx urin","TRANSURETEROURETEROSTOMY","ICD-9-CM"
"5679","112","OR Rx urin","URETERAL ANASTOMOSIS NEC","ICD-9-CM"
"5681","112","OR Rx urin","INTRALUM URETE ADHESIOLY","ICD-9-CM"
"5682","112","OR Rx urin","SUTURE URETERAL LACERAT","ICD-9-CM"
"5683","112","OR Rx urin","URETEROSTOMY CLOSURE","ICD-9-CM"
"5684","112","OR Rx urin","CLOSE URETER FISTULA NEC","ICD-9-CM"
"5685","112","OR Rx urin","URETEROPEXY","ICD-9-CM"
"5686","112","OR Rx urin","REMOVE URETERAL LIGATURE","ICD-9-CM"
"5689","112","OR Rx urin","REPAIR OF URETER NEC","ICD-9-CM"
"5691","111","nOR Rx urin","URETERAL MEATUS DILATION","ICD-9-CM"
"5692","112","OR Rx urin","IMPLANT URETERAL STIMUL","ICD-9-CM"
"5693","112","OR Rx urin","REPLACE URETERAL STIMUL","ICD-9-CM"
"5694","112","OR Rx urin","REMOVE URETERAL STIMULAT","ICD-9-CM"
"5695","112","OR Rx urin","LIGATION OF URETER","ICD-9-CM"
"5699","112","OR Rx urin","URETERAL OPERATION NEC","ICD-9-CM"
"570","101","Transur rem","TU BLADDER CLEARANCE","ICD-9-CM"
"5711","111","nOR Rx urin","PERCUTAN BLADDER ASPIRAT","ICD-9-CM"
"5712","112","OR Rx urin","CYSTOTOMY & ADHESIOLYSIS","ICD-9-CM"
"5717","111","nOR Rx urin","PERCUTANEOUS CYSTOSTOMY (Begin 1989)","ICD-9-CM"
"5718","112","OR Rx urin","OTHER SUPRAPU CYSTOSTOMY (Begin 1989)","ICD-9-CM"
"5719","112","OR Rx urin","CYSTOTOMY NEC","ICD-9-CM"
"5721","112","OR Rx urin","CYSTOSTOMY (Begin 1989)","ICD-9-CM"
"5722","112","OR Rx urin","REVISE CYSTOSTOMY (Begin 1989)","ICD-9-CM"
"5731","110","Dx prc urin","CYSTOSCOPY THRU STOMA","ICD-9-CM"
"5732","100","Urin endosco","CYSTOSCOPY NEC","ICD-9-CM"
"5733","100","Urin endosco","CLOS TRANSURETH BLADD BX","ICD-9-CM"
"5734","110","Dx prc urin","OPEN BLADDER BIOPSY","ICD-9-CM"
"5739","110","Dx prc urin","BLADDER DIAGNOS PROC NEC","ICD-9-CM"
"5741","101","Transur rem","TU ADHESIOLYSIS BLADDER","ICD-9-CM"
"5749","101","Transur rem","TU DESTRUC BLADD LES NEC","ICD-9-CM"
"5751","112","OR Rx urin","EXCISION OF URACHUS","ICD-9-CM"
"5759","112","OR Rx urin","BLADDER LES DESTRUCT NEC","ICD-9-CM"
"576","112","OR Rx urin","PARTIAL CYSTECTOMY","ICD-9-CM"
"5771","112","OR Rx urin","RADICAL CYSTECTOMY","ICD-9-CM"
"5779","112","OR Rx urin","TOTAL CYSTECTOMY NEC","ICD-9-CM"
"5781","112","OR Rx urin","SUTURE BLADDER LACERAT","ICD-9-CM"
"5782","112","OR Rx urin","CYSTOSTOMY CLOSURE","ICD-9-CM"
"5783","112","OR Rx urin","ENTEROVESICO FIST REPAIR","ICD-9-CM"
"5784","112","OR Rx urin","VESIC FISTULA REPAIR NEC","ICD-9-CM"
"5785","112","OR Rx urin","CYSTOURETHROPLASTY","ICD-9-CM"
"5786","112","OR Rx urin","BLADDER EXSTROPHY REPAIR","ICD-9-CM"
"5787","112","OR Rx urin","BLADDER RECONSTRUCTION","ICD-9-CM"
"5788","112","OR Rx urin","BLADDER ANASTOMOSIS NEC","ICD-9-CM"
"5789","112","OR Rx urin","BLADDER REPAIR NEC","ICD-9-CM"
"5791","112","OR Rx urin","BLADDER SPHINCTEROTOMY","ICD-9-CM"
"5792","111","nOR Rx urin","BLADDER NECK DILATION","ICD-9-CM"
"5793","112","OR Rx urin","CONTROL BLADD HEMORRHAGE","ICD-9-CM"
"5794","108","Urine cath","INSERT INDWELLING CATH","ICD-9-CM"
"5795","111","nOR Rx urin","REPLACE INDWELLING CATH","ICD-9-CM"
"5796","112","OR Rx urin","IMPLANT BLADDER STIMULAT","ICD-9-CM"
"5797","112","OR Rx urin","REPLACE BLADDER STIMULAT","ICD-9-CM"
"5798","112","OR Rx urin","REMOVE BLADDER STIMULAT","ICD-9-CM"
"5799","112","OR Rx urin","BLADDER OPERATION NEC","ICD-9-CM"
"580","109","Prcs urethra","URETHROTOMY","ICD-9-CM"
"581","109","Prcs urethra","URETHRAL MEATOTOMY","ICD-9-CM"
"5821","110","Dx prc urin","PERINEAL URETHROSCOPY","ICD-9-CM"
"5822","100","Urin endosco","URETHROSCOPY NEC","ICD-9-CM"
"5823","100","Urin endosco","URETHRAL BIOPSY","ICD-9-CM"
"5824","110","Dx prc urin","PERIURETHRAL BIOPSY","ICD-9-CM"
"5829","110","Dx prc urin","URETHRAL DX PROC NEC","ICD-9-CM"
"583","109","Prcs urethra","EXCIS DESTR URETHRA LES (Begin 1980 End 1990)","ICD-9-CM"
"5831","109","Prcs urethra","ENDOSC DESTR URETHRA LES (Begin 1990)","ICD-9-CM"
"5839","109","Prcs urethra","OTHER DESTRU URETHRA LES (Begin 1990)","ICD-9-CM"
"5841","109","Prcs urethra","SUTURE URETHRAL LACERAT","ICD-9-CM"
"5842","109","Prcs urethra","URETHROSTOMY CLOSURE","ICD-9-CM"
"5843","109","Prcs urethra","CLOSE URETH FISTULA NEC","ICD-9-CM"
"5844","109","Prcs urethra","URETHRAL REANASTOMOSIS","ICD-9-CM"
"5845","109","Prcs urethra","HYPO-EPISPADIUS REPAIR","ICD-9-CM"
"5846","109","Prcs urethra","URETH RECONSTRUCTION NEC","ICD-9-CM"
"5847","109","Prcs urethra","URETHRAL MEATOPLASTY","ICD-9-CM"
"5849","109","Prcs urethra","URETHRAL REPAIR NEC","ICD-9-CM"
"585","109","Prcs urethra","URETH STRICTURE RELEASE","ICD-9-CM"
"586","109","Prcs urethra","URETHRAL DILATION","ICD-9-CM"
"5891","109","Prcs urethra","PERIURETHRAL INCISION","ICD-9-CM"
"5892","109","Prcs urethra","PERIURETHRAL EXCISION","ICD-9-CM"
"5893","109","Prcs urethra","IMPLT ARTF URIN SPHINCT (Begin 1986)","ICD-9-CM"
"5899","109","Prcs urethra","URETH/PERIURETH OP NEC","ICD-9-CM"
"5900","112","OR Rx urin","RETROPERIT DISSECT NOS","ICD-9-CM"
"5901","112","OR Rx urin","URETEROLYS FOR FIBROSIS","ICD-9-CM"
"5902","112","OR Rx urin","PERIREN ADHESIOLYS NEC","ICD-9-CM"
"5903","112","OR Rx urin","LAPAROSC LYSIS VESC ADH (Begin 1996)","ICD-9-CM"
"5909","112","OR Rx urin","PERIREN/URETER INCIS NEC","ICD-9-CM"
"5911","112","OR Rx urin","PERIVESICAL ADHESIOLYSIS","ICD-9-CM"
"5912","112","OR Rx urin","OTH LYSUS VESICAL ADH (Begin 1996)","ICD-9-CM"
"5919","112","OR Rx urin","PERIVESICAL INCISION NEC","ICD-9-CM"
"5921","110","Dx prc urin","PERIREN/URETERAL BIOPSY","ICD-9-CM"
"5929","110","Dx prc urin","PERIREN/URET DX PROC NEC","ICD-9-CM"
"593","106","GU incont pr","URETHROVES JUNCT PLICAT","ICD-9-CM"
"594","106","GU incont pr","SUPRAPUBIC SLING OP","ICD-9-CM"
"595","106","GU incont pr","RETROPUBIC URETH SUSPENS","ICD-9-CM"
"596","106","GU incont pr","PARAURETHRAL SUSPENSION","ICD-9-CM"
"5971","106","GU incont pr","LEVATOR MUSC SUSPENSION","ICD-9-CM"
"5972","106","GU incont pr","INJECT IMPL URETHRA (Begin 1995)","ICD-9-CM"
"5979","106","GU incont pr","URIN INCONTIN REPAIR NEC","ICD-9-CM"
"598","102","Ureter cath","URETERAL CATHETERIZATION","ICD-9-CM"
"5991","112","OR Rx urin","PERIREN/VESICLE EXCISION","ICD-9-CM"
"5992","112","OR Rx urin","PERIREN/VESICLE OP NEC","ICD-9-CM"
"5993","111","nOR Rx urin","REPLACE URETEROST TUBE","ICD-9-CM"
"5994","111","nOR Rx urin","REPLACE CYSTOSTOMY TUBE","ICD-9-CM"
"5995","107","Lithotrip ur","ULTRASON FRAGMENT-STONE","ICD-9-CM"
"5996","107","Lithotrip ur","LITHOTRIPSY URIN (Begin 1986 End 1989)","ICD-9-CM"
"5999","111","nOR Rx urin","URINARY SYSTEM OP NEC","ICD-9-CM"
"600","118","OR male gen","INCISION OF PROSTATE","ICD-9-CM"
"6011","116","Dx male gen","CLOSED PROSTATIC BX","ICD-9-CM"
"6012","116","Dx male gen","OPEN PROSTATIC BX","ICD-9-CM"
"6013","116","Dx male gen","CLOS SEMINAL VES BX","ICD-9-CM"
"6014","116","Dx male gen","OPEN SEMINAL VES BX","ICD-9-CM"
"6015","116","Dx male gen","PERIPROSTATIC BIOPSY","ICD-9-CM"
"6018","116","Dx male gen","PROSTATIC DX PROCED NEC","ICD-9-CM"
"6019","116","Dx male gen","SEMIN VES DX PROCED NEC","ICD-9-CM"
"602","113","TURP","TRANSURETHRAL PROSTATECT (End 1995)","ICD-9-CM"
"6021","113","TURP","TRANSUR ULTRAS LASER PROST (Begin 1995)","ICD-9-CM"
"6029","113","TURP","OTHER TURP (Begin 1995)","ICD-9-CM"
"603","114","Opn prostect","SUPRAPUBIC PROSTATECTOMY","ICD-9-CM"
"604","114","Opn prostect","RETROPUBIC PROSTATECTOMY","ICD-9-CM"
"605","114","Opn prostect","RADICAL PROSTATECTOMY","ICD-9-CM"
"6061","114","Opn prostect","LOS EXCIS PROSTATIC LES","ICD-9-CM"
"6062","114","Opn prostect","PERINEAL PROSTATECTOMY","ICD-9-CM"
"6069","114","Opn prostect","PROSTATECTOMY NEC","ICD-9-CM"
"6071","117","nOR male gen","PERCUT SEMIN VES ASPIRAT","ICD-9-CM"
"6072","118","OR male gen","SEMINAL VESICLE INCISION","ICD-9-CM"
"6073","118","OR male gen","SEMINAL VESICLE EXCISION","ICD-9-CM"
"6079","118","OR male gen","SEMINAL VESICLE OP NEC","ICD-9-CM"
"6081","118","OR male gen","PERIPROSTATIC INCISION","ICD-9-CM"
"6082","118","OR male gen","PERIPROSTATIC EXCISION","ICD-9-CM"
"6091","117","nOR male gen","PERCUT PROSTATIC ASPIRAT","ICD-9-CM"
"6092","117","nOR male gen","INJECTION INTO PROSTATE","ICD-9-CM"
"6093","118","OR male gen","REPAIR OF PROSTATE","ICD-9-CM"
"6094","118","OR male gen","CONTROL POSTOP PROST HEM","ICD-9-CM"
"6095","117","nOR male gen","TRANS BAL DIL PROS URETH (Begin 1991)","ICD-9-CM"
"6096","113","TURP","TRANSUR MICROWAVE THERMO PROSTATECT (Begin 2000)","ICD-9-CM"
"6097","113","TURP","TRANSUR OTHER THERMO PROSTATECT (Begin 2000)","ICD-9-CM"
"6099","118","OR male gen","PROSTATIC OPERATION NEC","ICD-9-CM"
"610","117","nOR male gen","SCROTUM & TUNICA I & D","ICD-9-CM"
"6111","116","Dx male gen","SCROTUM & TUNICA BIOPSY","ICD-9-CM"
"6119","116","Dx male gen","SCROT/TUNICA DX PROC NEC","ICD-9-CM"
"612","118","OR male gen","EXCISION OF HYDROCELE","ICD-9-CM"
"613","117","nOR male gen","SCROTAL LES DESTRUCTION","ICD-9-CM"
"6141","117","nOR male gen","SUTURE SCROTAL LACERAT","ICD-9-CM"
"6142","118","OR male gen","SCROTAL FISTULA REPAIR","ICD-9-CM"
"6149","118","OR male gen","SCROTUM/TUNIC REPAIR NEC","ICD-9-CM"
"6191","117","nOR male gen","PERCUT TUNICA ASPIRATION","ICD-9-CM"
"6192","118","OR male gen","EXCISION TUNICA LES NEC","ICD-9-CM"
"6199","118","OR male gen","SCROTUM & TUNICA OP NEC","ICD-9-CM"
"620","118","OR male gen","INCISION OF TESTES","ICD-9-CM"
"6211","116","Dx male gen","CLOSED TESTICULAR BIOPSY","ICD-9-CM"
"6212","116","Dx male gen","OPEN TESTICULAR BIOPSY","ICD-9-CM"
"6219","116","Dx male gen","TESTES DX PROCEDURE NEC","ICD-9-CM"
"622","118","OR male gen","TESTICULAR LES DESTRUCT","ICD-9-CM"
"623","118","OR male gen","UNILATERAL ORCHIECTOMY","ICD-9-CM"
"6241","118","OR male gen","REMOVE BOTH TESTES","ICD-9-CM"
"6242","118","OR male gen","REMOVE SOLITARY TESTIS","ICD-9-CM"
"625","118","OR male gen","ORCHIOPEXY","ICD-9-CM"
"6261","118","OR male gen","SUTURE TESTICULAR LACER","ICD-9-CM"
"6269","118","OR male gen","TESTICULAR REPAIR NEC","ICD-9-CM"
"627","118","OR male gen","INSERT TESTICULAR PROSTH","ICD-9-CM"
"6291","117","nOR male gen","ASPIRATION OF TESTES","ICD-9-CM"
"6292","117","nOR male gen","INJECTION INTO TESTES","ICD-9-CM"
"6299","118","OR male gen","TESTICULAR OPERATION NEC","ICD-9-CM"
"6301","116","Dx male gen","SPERMATIC CORD/VAS BIOPS","ICD-9-CM"
"6309","116","Dx male gen","SPERMAT CORD/VAS DX NEC","ICD-9-CM"
"631","118","OR male gen","EXC SPERMATIC VARICOCELE","ICD-9-CM"
"632","118","OR male gen","EXCISE EPIDIDYMIS CYST","ICD-9-CM"
"633","118","OR male gen","EXCISE CORD/EPID LES NEC","ICD-9-CM"
"634","118","OR male gen","EPIDIDYMECTOMY","ICD-9-CM"
"6351","118","OR male gen","SUTURE CORD & EPID LACER","ICD-9-CM"
"6352","117","nOR male gen","REDUCTION TORSION TESTES","ICD-9-CM"
"6353","118","OR male gen","TRANSPLANT SPERMAT CORD","ICD-9-CM"
"6359","118","OR male gen","CORD & EPIDID REPAIR NEC","ICD-9-CM"
"636","117","nOR male gen","VASOTOMY","ICD-9-CM"
"6370","117","nOR male gen","MALE STERILIZATION NOS","ICD-9-CM"
"6371","117","nOR male gen","LIGATION OF VAS DEFERENS","ICD-9-CM"
"6372","117","nOR male gen","SPERMATIC CORD LIGATION","ICD-9-CM"
"6373","117","nOR male gen","VASECTOMY","ICD-9-CM"
"6381","118","OR male gen","SUTURE VAS & EPIDID LAC","ICD-9-CM"
"6382","118","OR male gen","POSTOP VAS RECONSTRUCT","ICD-9-CM"
"6383","118","OR male gen","EPIDIDYMOVASOSTOMY","ICD-9-CM"
"6384","117","nOR male gen","REMOVAL VAS LIGATURE","ICD-9-CM"
"6385","118","OR male gen","REMOV VAS DEFERENS VALVE","ICD-9-CM"
"6389","118","OR male gen","VAS & EPIDIDY REPAIR NEC","ICD-9-CM"
"6391","117","nOR male gen","SPERMATOCELE ASPIRATION","ICD-9-CM"
"6392","118","OR male gen","EPIDIDYMOTOMY","ICD-9-CM"
"6393","118","OR male gen","SPERMATIC CORD INCISION","ICD-9-CM"
"6394","118","OR male gen","SPERM CORD ADHESIOLYSIS","ICD-9-CM"
"6395","118","OR male gen","INSERT VALVE IN VAS DEF","ICD-9-CM"
"6399","118","OR male gen","CORD/EPID/VAS OPS NEC","ICD-9-CM"
"640","115","Circumcision","CIRCUMCISION","ICD-9-CM"
"6411","116","Dx male gen","PENILE BIOPSY","ICD-9-CM"
"6419","116","Dx male gen","PENILE DIAGNOST PROC NEC","ICD-9-CM"
"642","118","OR male gen","LOCAL EXCIS PENILE LES","ICD-9-CM"
"643","118","OR male gen","AMPUTATION OF PENIS","ICD-9-CM"
"6441","118","OR male gen","SUTURE PENILE LACERATION","ICD-9-CM"
"6442","118","OR male gen","RELEASE OF CHORDEE","ICD-9-CM"
"6443","118","OR male gen","CONSTRUCTION OF PENIS","ICD-9-CM"
"6444","118","OR male gen","RECONSTRUCTION OF PENIS","ICD-9-CM"
"6445","118","OR male gen","REPLANTATION OF PENIS","ICD-9-CM"
"6449","118","OR male gen","PENILE REPAIR NEC","ICD-9-CM"
"645","118","OR male gen","SEX TRANSFORMAT OP NEC","ICD-9-CM"
"6491","117","nOR male gen","DORSAL/LAT SLIT PREPUCE","ICD-9-CM"
"6492","118","OR male gen","INCISION OF PENIS","ICD-9-CM"
"6493","118","OR male gen","DIVISION OF PENILE ADHES","ICD-9-CM"
"6494","117","nOR male gen","FIT EXT PENILE PROSTHES","ICD-9-CM"
"6495","118","OR male gen","INS NONINFL PENIS PROSTH","ICD-9-CM"
"6496","118","OR male gen","REMOVE INT PENILE PROSTH","ICD-9-CM"
"6497","118","OR male gen","INS INFLATE PENIS PROSTH (Begin 1986)","ICD-9-CM"
"6498","118","OR male gen","PENILE OPERATION NEC","ICD-9-CM"
"6499","118","OR male gen","MALE GENITAL OP NEC","ICD-9-CM"
"650","120","Ot prc ovary","OOPHOROTOMY (End 1996)","ICD-9-CM"
"6501","120","Ot prc ovary","LAPAROSC OOPHOROTOMY (Begin 1996)","ICD-9-CM"
"6509","120","Ot prc ovary","OTHER OOPHOROTOMY (Begin 1996)","ICD-9-CM"
"6511","130","Ot Dx female","OVARIAN ASPIRAT BIOPSY","ICD-9-CM"
"6512","130","Ot Dx female","OVARIAN BIOPSY NEC","ICD-9-CM"
"6513","130","Ot Dx female","LAPAR BX OVARY (Begin 1996)","ICD-9-CM"
"6514","130","Ot Dx female","OTH LAPAR DX PROCS (Begin 1996)","ICD-9-CM"
